BIN_10.genome.CDS.2129,group01153
BIN_10.genome.CDS.2128,group00586
BIN_10.genome.CDS.2125,group00451
BIN_10.genome.CDS.820,group12569
BIN_10.genome.CDS.2127,group00835
BIN_10.genome.CDS.2126,group00970
BIN_10.genome.CDS.2121,group01483
BIN_10.genome.CDS.2120,group00555
BIN_10.genome.CDS.2123,group01484
BIN_10.genome.CDS.2122,group01399
BIN_10.genome.CDS.2042,group00477
BIN_10.genome.CDS.2043,group00318
BIN_10.genome.CDS.2040,group01101
BIN_10.genome.CDS.2041,group00655
BIN_10.genome.CDS.2046,group00436
BIN_10.genome.CDS.2047,group00089
BIN_10.genome.CDS.2044,group00426
BIN_10.genome.CDS.2045,group00389
BIN_10.genome.CDS.2048,group00015
BIN_10.genome.CDS.2049,group03886
BIN_10.genome.CDS.1548,group00496
BIN_10.genome.CDS.134,group00122
BIN_10.genome.CDS.139,group01005
BIN_10.genome.CDS.138,group01005
BIN_10.genome.CDS.2071,group00718
BIN_10.genome.CDS.1546,group01264
BIN_10.genome.CDS.1148,group00256
BIN_10.genome.CDS.1149,group01077
BIN_10.genome.CDS.1899,group00050
BIN_10.genome.CDS.1142,group00868
BIN_10.genome.CDS.1143,group00518
BIN_10.genome.CDS.1140,group00162
BIN_10.genome.CDS.1141,group00162
BIN_10.genome.CDS.1146,group00593
BIN_10.genome.CDS.1147,group00256
BIN_10.genome.CDS.1144,group00107
BIN_10.genome.CDS.1145,group00107
BIN_10.genome.CDS.2068,group00320
BIN_10.genome.CDS.1917,group00219
BIN_10.genome.CDS.1543,group00213
BIN_10.genome.CDS.1418,group00747
BIN_10.genome.CDS.1419,group00042
BIN_10.genome.CDS.1414,group01156
BIN_10.genome.CDS.1415,group00924
BIN_10.genome.CDS.1416,group00018
BIN_10.genome.CDS.1417,group00702
BIN_10.genome.CDS.1410,group01052
BIN_10.genome.CDS.1411,group00575
BIN_10.genome.CDS.1412,group01126
BIN_10.genome.CDS.1413,group00937
BIN_10.genome.CDS.1900,group00139
BIN_10.genome.CDS.2190,group00158
BIN_10.genome.CDS.2191,group00059
BIN_10.genome.CDS.2192,group00853
BIN_10.genome.CDS.2193,group00104
BIN_10.genome.CDS.2194,group00106
BIN_10.genome.CDS.2195,group00299
BIN_10.genome.CDS.2196,group00657
BIN_10.genome.CDS.2197,group00136
BIN_10.genome.CDS.2198,group00381
BIN_10.genome.CDS.2199,group00257
BIN_10.genome.CDS.1901,group00386
BIN_10.genome.CDS.1222,group00689
BIN_10.genome.CDS.1568,group00142
BIN_10.genome.CDS.1569,group01069
BIN_10.genome.CDS.1481,group00585
BIN_10.genome.CDS.1480,group00600
BIN_10.genome.CDS.1487,group00008
BIN_10.genome.CDS.1486,group00465
BIN_10.genome.CDS.1485,group00447
BIN_10.genome.CDS.1484,group00741
BIN_10.genome.CDS.1560,group01025
BIN_10.genome.CDS.1561,group01347
BIN_10.genome.CDS.1489,group00446
BIN_10.genome.CDS.1488,group01179
BIN_10.genome.CDS.1565,group00254
BIN_10.genome.CDS.1566,group00081
BIN_10.genome.CDS.1567,group00191
BIN_10.genome.CDS.1241,group00098
BIN_10.genome.CDS.1240,group00097
BIN_10.genome.CDS.1243,group00115
BIN_10.genome.CDS.1245,group00145
BIN_10.genome.CDS.1244,group00172
BIN_10.genome.CDS.1247,group00244
BIN_10.genome.CDS.1249,group00312
BIN_10.genome.CDS.1248,group00708
BIN_10.genome.CDS.1807,group00866
BIN_10.genome.CDS.371,group12534
BIN_10.genome.CDS.1805,group00797
BIN_10.genome.CDS.1803,group00310
BIN_10.genome.CDS.1969,group00373
BIN_10.genome.CDS.1801,group01756
BIN_10.genome.CDS.1800,group00027
BIN_10.genome.CDS.1964,group00027
BIN_10.genome.CDS.1965,group00329
BIN_10.genome.CDS.1966,group00450
BIN_10.genome.CDS.1967,group00204
BIN_10.genome.CDS.1960,group00641
