TBhypo680.genome.CDS.1780,group14024
TBhypo680.genome.CDS.1781,group13604
TBhypo680.genome.CDS.1549,group07896
TBhypo680.genome.CDS.2574,group02456
TBhypo680.genome.CDS.1784,group00207
TBhypo680.genome.CDS.1785,group00656
TBhypo680.genome.CDS.1787,group02505
TBhypo680.genome.CDS.1788,group05402
TBhypo680.genome.CDS.2262,group00211
TBhypo680.genome.CDS.2225,group00274
TBhypo680.genome.CDS.1782,group03946
TBhypo680.genome.CDS.1561,group08902
TBhypo680.genome.CDS.2172,group13756
TBhypo680.genome.CDS.1378,group07129
TBhypo680.genome.CDS.2170,group00850
TBhypo680.genome.CDS.2171,group00797
TBhypo680.genome.CDS.1880,group00218
TBhypo680.genome.CDS.2177,group00043
TBhypo680.genome.CDS.2182,group07518
TBhypo680.genome.CDS.1371,group09128
TBhypo680.genome.CDS.1370,group00123
TBhypo680.genome.CDS.1373,group00897
TBhypo680.genome.CDS.1372,group00128
TBhypo680.genome.CDS.1375,group00044
TBhypo680.genome.CDS.2181,group07324
TBhypo680.genome.CDS.1377,group00260
TBhypo680.genome.CDS.1376,group00766
TBhypo680.genome.CDS.2477,group01312
TBhypo680.genome.CDS.2476,group02427
TBhypo680.genome.CDS.2475,group01366
TBhypo680.genome.CDS.2474,group00847
TBhypo680.genome.CDS.2473,group01586
TBhypo680.genome.CDS.1309,group00007
TBhypo680.genome.CDS.2471,group01595
TBhypo680.genome.CDS.2470,group00877
TBhypo680.genome.CDS.1656,group00728
TBhypo680.genome.CDS.1937,group00356
TBhypo680.genome.CDS.1306,group00690
TBhypo680.genome.CDS.1655,group00892
TBhypo680.genome.CDS.1652,group03919
TBhypo680.genome.CDS.1653,group00671
TBhypo680.genome.CDS.1302,group00265
TBhypo680.genome.CDS.1303,group00061
TBhypo680.genome.CDS.1965,group08262
TBhypo680.genome.CDS.2578,group00068
TBhypo680.genome.CDS.2579,group00047
TBhypo680.genome.CDS.2576,group00276
TBhypo680.genome.CDS.2577,group00963
TBhypo680.genome.CDS.1928,group00722
TBhypo680.genome.CDS.2575,group00677
TBhypo680.genome.CDS.2572,group00277
TBhypo680.genome.CDS.2573,group07147
TBhypo680.genome.CDS.2571,group00379
TBhypo680.genome.CDS.1876,group00477
TBhypo680.genome.CDS.1877,group00655
TBhypo680.genome.CDS.1874,group01004
TBhypo680.genome.CDS.1875,group11578
TBhypo680.genome.CDS.2319,group01850
TBhypo680.genome.CDS.1873,group00501
TBhypo680.genome.CDS.1979,group01180
TBhypo680.genome.CDS.1871,group01255
TBhypo680.genome.CDS.1977,group00089
TBhypo680.genome.CDS.1976,group11291
TBhypo680.genome.CDS.1974,group01596
TBhypo680.genome.CDS.1973,group00058
TBhypo680.genome.CDS.1972,group13631
TBhypo680.genome.CDS.1971,group01658
TBhypo680.genome.CDS.1970,group08503
TBhypo680.genome.CDS.2301,group01023
TBhypo680.genome.CDS.2300,group00914
TBhypo680.genome.CDS.2303,group00837
TBhypo680.genome.CDS.1233,group05021
TBhypo680.genome.CDS.2305,group00676
TBhypo680.genome.CDS.2304,group00513
TBhypo680.genome.CDS.2307,group10808
TBhypo680.genome.CDS.2306,group00913
TBhypo680.genome.CDS.2309,group04116
TBhypo680.genome.CDS.2308,group00942
TBhypo680.genome.CDS.1162,group05025
TBhypo680.genome.CDS.2374,group00900
TBhypo680.genome.CDS.2375,group01680
TBhypo680.genome.CDS.2376,group08442
TBhypo680.genome.CDS.2377,group00458
TBhypo680.genome.CDS.2370,group00470
TBhypo680.genome.CDS.2371,group08653
TBhypo680.genome.CDS.2372,group00030
TBhypo680.genome.CDS.2373,group00243
TBhypo680.genome.CDS.2275,group13604
TBhypo680.genome.CDS.1572,group00246
TBhypo680.genome.CDS.2277,group01083
TBhypo680.genome.CDS.1570,group00765
TBhypo680.genome.CDS.1577,group01272
TBhypo680.genome.CDS.1576,group01469
TBhypo680.genome.CDS.2273,group00399
TBhypo680.genome.CDS.2272,group11910
TBhypo680.genome.CDS.2440,group00231
TBhypo680.genome.CDS.773,group12412
TBhypo680.genome.CDS.776,group10801
TBhypo680.genome.CDS.1521,group11259
TBhypo680.genome.CDS.1747,group00962
TBhypo680.genome.CDS.1582,group10776
TBhypo680.genome.CDS.2398,group00823
TBhypo680.genome.CDS.2399,group00005
TBhypo680.genome.CDS.2392,group04438
TBhypo680.genome.CDS.2393,group06006
