AAA027L17.genome.CDS.360,group03873
AAA027L17.genome.CDS.1444,group01510
AAA027L17.genome.CDS.165,group03862
AAA027L17.genome.CDS.1143,group01780
AAA027L17.genome.CDS.1540,group00011
AAA027L17.genome.CDS.1541,group02204
AAA027L17.genome.CDS.1542,group00340
AAA027L17.genome.CDS.1543,group03354
AAA027L17.genome.CDS.1544,group03856
AAA027L17.genome.CDS.1545,group01229
AAA027L17.genome.CDS.1546,group03001
AAA027L17.genome.CDS.1547,group00049
AAA027L17.genome.CDS.764,group04795
AAA027L17.genome.CDS.1549,group00541
AAA027L17.genome.CDS.1382,group02467
AAA027L17.genome.CDS.1706,group02001
AAA027L17.genome.CDS.1380,group02746
AAA027L17.genome.CDS.1428,group00246
AAA027L17.genome.CDS.1386,group00182
AAA027L17.genome.CDS.1387,group00075
AAA027L17.genome.CDS.1384,group01576
AAA027L17.genome.CDS.1385,group00211
AAA027L17.genome.CDS.1423,group00554
AAA027L17.genome.CDS.1422,group01374
AAA027L17.genome.CDS.1388,group00164
AAA027L17.genome.CDS.1389,group00195
AAA027L17.genome.CDS.1427,group02214
AAA027L17.genome.CDS.1426,group02747
AAA027L17.genome.CDS.1425,group00009
AAA027L17.genome.CDS.1424,group03350
AAA027L17.genome.CDS.1229,group00522
AAA027L17.genome.CDS.2074,group01893
AAA027L17.genome.CDS.1705,group03360
AAA027L17.genome.CDS.1601,group00054
AAA027L17.genome.CDS.1578,group02752
AAA027L17.genome.CDS.1816,group01887
AAA027L17.genome.CDS.1724,group01444
AAA027L17.genome.CDS.1239,group00926
AAA027L17.genome.CDS.1817,group01888
AAA027L17.genome.CDS.1948,group02007
AAA027L17.genome.CDS.1700,group01471
AAA027L17.genome.CDS.1693,group01590
AAA027L17.genome.CDS.1944,group00507
AAA027L17.genome.CDS.1945,group00388
AAA027L17.genome.CDS.1946,group00408
AAA027L17.genome.CDS.1947,group00380
AAA027L17.genome.CDS.1940,group01944
AAA027L17.genome.CDS.1941,group00269
AAA027L17.genome.CDS.1942,group00506
AAA027L17.genome.CDS.1943,group02324
AAA027L17.genome.CDS.1429,group00192
AAA027L17.genome.CDS.1339,group01547
AAA027L17.genome.CDS.1338,group00670
AAA027L17.genome.CDS.1337,group01429
AAA027L17.genome.CDS.1336,group02514
AAA027L17.genome.CDS.1335,group01318
AAA027L17.genome.CDS.1333,group00329
AAA027L17.genome.CDS.1332,group00450
AAA027L17.genome.CDS.1331,group00204
AAA027L17.genome.CDS.1330,group00096
AAA027L17.genome.CDS.1571,group12047
AAA027L17.genome.CDS.1609,group02754
AAA027L17.genome.CDS.1570,group12048
AAA027L17.genome.CDS.1608,group01265
AAA027L17.genome.CDS.1658,group00037
AAA027L17.genome.CDS.1830,group02110
AAA027L17.genome.CDS.1063,group12076
AAA027L17.genome.CDS.1726,group01655
AAA027L17.genome.CDS.1833,group00405
AAA027L17.genome.CDS.1720,group02063
AAA027L17.genome.CDS.1835,group00474
AAA027L17.genome.CDS.1836,group02523
AAA027L17.genome.CDS.1723,group00270
AAA027L17.genome.CDS.1931,group02065
AAA027L17.genome.CDS.1839,group00014
AAA027L17.genome.CDS.1933,group00055
AAA027L17.genome.CDS.1932,group03013
AAA027L17.genome.CDS.1935,group01656
AAA027L17.genome.CDS.1934,group00046
AAA027L17.genome.CDS.1937,group00167
AAA027L17.genome.CDS.1936,group01337
AAA027L17.genome.CDS.1929,group00092
AAA027L17.genome.CDS.1777,group04388
AAA027L17.genome.CDS.1727,group01578
AAA027L17.genome.CDS.740,group02534
AAA027L17.genome.CDS.1696,group00480
AAA027L17.genome.CDS.1923,group00091
AAA027L17.genome.CDS.1618,group12055
AAA027L17.genome.CDS.1619,group02000
AAA027L17.genome.CDS.1591,group01916
