TBhypo3463.genome.CDS.2345,group13608
TBhypo3463.genome.CDS.1428,group00021
TBhypo3463.genome.CDS.1589,group01387
TBhypo3463.genome.CDS.2271,group01005
TBhypo3463.genome.CDS.1383,group01319
TBhypo3463.genome.CDS.1379,group06547
TBhypo3463.genome.CDS.2273,group00172
TBhypo3463.genome.CDS.1709,group04575
TBhypo3463.genome.CDS.1708,group00750
TBhypo3463.genome.CDS.2455,group00923
TBhypo3463.genome.CDS.1791,group00877
TBhypo3463.genome.CDS.1705,group00575
TBhypo3463.genome.CDS.395,group07147
TBhypo3463.genome.CDS.1707,group07485
TBhypo3463.genome.CDS.1706,group00655
TBhypo3463.genome.CDS.1701,group00528
TBhypo3463.genome.CDS.1700,group02257
TBhypo3463.genome.CDS.1703,group00049
TBhypo3463.genome.CDS.1384,group00317
TBhypo3463.genome.CDS.2076,group00390
TBhypo3463.genome.CDS.2077,group01051
TBhypo3463.genome.CDS.2074,group00397
TBhypo3463.genome.CDS.2075,group00481
TBhypo3463.genome.CDS.2072,group00537
TBhypo3463.genome.CDS.2276,group00744
TBhypo3463.genome.CDS.2070,group01975
TBhypo3463.genome.CDS.2071,group00830
TBhypo3463.genome.CDS.1900,group00117
TBhypo3463.genome.CDS.2370,group00492
TBhypo3463.genome.CDS.2373,group00445
TBhypo3463.genome.CDS.1386,group00090
TBhypo3463.genome.CDS.2375,group00564
TBhypo3463.genome.CDS.2374,group05403
TBhypo3463.genome.CDS.2078,group00263
TBhypo3463.genome.CDS.1670,group00879
TBhypo3463.genome.CDS.1271,group01593
TBhypo3463.genome.CDS.1420,group00374
TBhypo3463.genome.CDS.1273,group02250
TBhypo3463.genome.CDS.1320,group00616
TBhypo3463.genome.CDS.1275,group13854
TBhypo3463.genome.CDS.2176,group00787
TBhypo3463.genome.CDS.2179,group01230
TBhypo3463.genome.CDS.1421,group00394
TBhypo3463.genome.CDS.2177,group06998
TBhypo3463.genome.CDS.2216,group04683
TBhypo3463.genome.CDS.2175,group00678
TBhypo3463.genome.CDS.1849,group00067
TBhypo3463.genome.CDS.2173,group01857
TBhypo3463.genome.CDS.2172,group01123
TBhypo3463.genome.CDS.2171,group04675
TBhypo3463.genome.CDS.2217,group02087
TBhypo3463.genome.CDS.1631,group02106
TBhypo3463.genome.CDS.2029,group00471
TBhypo3463.genome.CDS.1633,group13085
TBhypo3463.genome.CDS.1632,group01809
TBhypo3463.genome.CDS.1635,group00387
TBhypo3463.genome.CDS.1634,group00449
TBhypo3463.genome.CDS.1637,group07326
TBhypo3463.genome.CDS.1636,group04664
TBhypo3463.genome.CDS.1639,group00524
TBhypo3463.genome.CDS.1638,group00987
TBhypo3463.genome.CDS.2200,group02114
TBhypo3463.genome.CDS.573,group01275
TBhypo3463.genome.CDS.1346,group00078
TBhypo3463.genome.CDS.1468,group00056
TBhypo3463.genome.CDS.1277,group00010
TBhypo3463.genome.CDS.1329,group00917
TBhypo3463.genome.CDS.2108,group00506
TBhypo3463.genome.CDS.2109,group00269
TBhypo3463.genome.CDS.1977,group01763
TBhypo3463.genome.CDS.2102,group00443
TBhypo3463.genome.CDS.2103,group00272
TBhypo3463.genome.CDS.2100,group05742
TBhypo3463.genome.CDS.2101,group00212
TBhypo3463.genome.CDS.2106,group00388
TBhypo3463.genome.CDS.2107,group00507
TBhypo3463.genome.CDS.2104,group00381
TBhypo3463.genome.CDS.2105,group01757
TBhypo3463.genome.CDS.1549,group00382
TBhypo3463.genome.CDS.2148,group01345
TBhypo3463.genome.CDS.2211,group00500
TBhypo3463.genome.CDS.1518,group13845
TBhypo3463.genome.CDS.353,group03818
TBhypo3463.genome.CDS.2519,group08158
TBhypo3463.genome.CDS.2518,group00339
TBhypo3463.genome.CDS.1519,group04914
TBhypo3463.genome.CDS.2515,group00908
TBhypo3463.genome.CDS.2514,group13125
TBhypo3463.genome.CDS.2517,group08655
TBhypo3463.genome.CDS.2516,group00858
TBhypo3463.genome.CDS.2511,group10298
TBhypo3463.genome.CDS.2522,group01079
TBhypo3463.genome.CDS.2513,group02214
TBhypo3463.genome.CDS.2512,group06765
TBhypo3463.genome.CDS.1793,group02868
TBhypo3463.genome.CDS.1340,group01853
TBhypo3463.genome.CDS.1704,group00114
TBhypo3463.genome.CDS.2149,group00038
TBhypo3463.genome.CDS.2,group04248
TBhypo3463.genome.CDS.2073,group01012
TBhypo3463.genome.CDS.2472,group03121
TBhypo3463.genome.CDS.2202,group02677
TBhypo3463.genome.CDS.1381,group00975
TBhypo3463.genome.CDS.1472,group13840
TBhypo3463.genome.CDS.1246,group02656
TBhypo3463.genome.CDS.1578,group00850
TBhypo3463.genome.CDS.1097,group00997
TBhypo3463.genome.CDS.1525,group00569
TBhypo3463.genome.CDS.2443,group00107
TBhypo3463.genome.CDS.2456,group00992
TBhypo3463.genome.CDS.1470,group00570
TBhypo3463.genome.CDS.1521,group00791
TBhypo3463.genome.CDS.2451,group08886
TBhypo3463.genome.CDS.2452,group04416
TBhypo3463.genome.CDS.1522,group13756
TBhypo3463.genome.CDS.1684,group01251
TBhypo3463.genome.CDS.1685,group02453
TBhypo3463.genome.CDS.1686,group00943
TBhypo3463.genome.CDS.1702,group00255
TBhypo3463.genome.CDS.1529,group00126
TBhypo3463.genome.CDS.1681,group02402
TBhypo3463.genome.CDS.852,group04690
TBhypo3463.genome.CDS.1683,group04666
TBhypo3463.genome.CDS.2379,group00513
TBhypo3463.genome.CDS.1964,group08680
TBhypo3463.genome.CDS.1513,group00139
TBhypo3463.genome.CDS.2378,group00722
TBhypo3463.genome.CDS.2447,group08128
TBhypo3463.genome.CDS.1362,group00134
TBhypo3463.genome.CDS.2446,group00306
TBhypo3463.genome.CDS.1828,group12900
TBhypo3463.genome.CDS.1829,group11946
