TBepi2057.genome.CDS.1399,group13210
TBepi2057.genome.CDS.1543,group07583
TBepi2057.genome.CDS.1398,group00092
TBepi2057.genome.CDS.1557,group07326
TBepi2057.genome.CDS.1556,group04578
TBepi2057.genome.CDS.1555,group00181
TBepi2057.genome.CDS.1554,group00536
TBepi2057.genome.CDS.1553,group04116
TBepi2057.genome.CDS.1552,group00018
TBepi2057.genome.CDS.1551,group00555
TBepi2057.genome.CDS.1550,group01003
TBepi2057.genome.CDS.489,group00946
TBepi2057.genome.CDS.995,group00762
TBepi2057.genome.CDS.1558,group00987
TBepi2057.genome.CDS.1896,group00285
TBepi2057.genome.CDS.1953,group12642
TBepi2057.genome.CDS.1952,group00336
TBepi2057.genome.CDS.1951,group00040
TBepi2057.genome.CDS.1950,group00110
TBepi2057.genome.CDS.1957,group00560
TBepi2057.genome.CDS.1469,group00609
TBepi2057.genome.CDS.1955,group11758
TBepi2057.genome.CDS.1954,group00063
TBepi2057.genome.CDS.360,group13627
TBepi2057.genome.CDS.1959,group00767
TBepi2057.genome.CDS.1958,group08257
TBepi2057.genome.CDS.1513,group01814
TBepi2057.genome.CDS.1392,group01761
TBepi2057.genome.CDS.400,group00306
TBepi2057.genome.CDS.1101,group00765
TBepi2057.genome.CDS.792,group05059
TBepi2057.genome.CDS.1302,group00953
TBepi2057.genome.CDS.1303,group00790
TBepi2057.genome.CDS.1300,group08680
TBepi2057.genome.CDS.1301,group00614
TBepi2057.genome.CDS.1306,group00912
TBepi2057.genome.CDS.1307,group00270
TBepi2057.genome.CDS.1304,group08655
TBepi2057.genome.CDS.1305,group00789
TBepi2057.genome.CDS.1308,group00936
TBepi2057.genome.CDS.1309,group00997
TBepi2057.genome.CDS.1827,group11479
TBepi2057.genome.CDS.1826,group02705
TBepi2057.genome.CDS.1825,group00983
TBepi2057.genome.CDS.1824,group00971
TBepi2057.genome.CDS.1823,group11743
TBepi2057.genome.CDS.1822,group00853
TBepi2057.genome.CDS.1821,group00104
TBepi2057.genome.CDS.1820,group00106
TBepi2057.genome.CDS.1416,group00155
TBepi2057.genome.CDS.1417,group01261
TBepi2057.genome.CDS.1131,group01645
TBepi2057.genome.CDS.1415,group00782
TBepi2057.genome.CDS.1412,group02822
TBepi2057.genome.CDS.1413,group00100
TBepi2057.genome.CDS.1829,group08213
TBepi2057.genome.CDS.1411,group00161
TBepi2057.genome.CDS.1929,group00053
TBepi2057.genome.CDS.1091,group00310
TBepi2057.genome.CDS.1836,group00754
TBepi2057.genome.CDS.1788,group01057
TBepi2057.genome.CDS.1789,group04449
TBepi2057.genome.CDS.1786,group00711
TBepi2057.genome.CDS.1787,group12407
TBepi2057.genome.CDS.1784,group00045
TBepi2057.genome.CDS.1785,group00761
TBepi2057.genome.CDS.1782,group04905
TBepi2057.genome.CDS.1780,group00012
TBepi2057.genome.CDS.1781,group07324
TBepi2057.genome.CDS.1236,group12593
TBepi2057.genome.CDS.1234,group00804
TBepi2057.genome.CDS.1235,group04674
TBepi2057.genome.CDS.1232,group00242
TBepi2057.genome.CDS.1233,group13629
TBepi2057.genome.CDS.1230,group00024
TBepi2057.genome.CDS.1231,group01027
TBepi2057.genome.CDS.1130,group00036
TBepi2057.genome.CDS.1095,group07301
TBepi2057.genome.CDS.1238,group00810
TBepi2057.genome.CDS.1239,group00694
TBepi2057.genome.CDS.1153,group00230
TBepi2057.genome.CDS.1609,group00012
TBepi2057.genome.CDS.1608,group02783
TBepi2057.genome.CDS.1607,group03152
TBepi2057.genome.CDS.1871,group00071
TBepi2057.genome.CDS.1605,group07759
TBepi2057.genome.CDS.1604,group01962
TBepi2057.genome.CDS.1603,group09064
TBepi2057.genome.CDS.1098,group03235
TBepi2057.genome.CDS.1601,group00063
TBepi2057.genome.CDS.1600,group00082
TBepi2057.genome.CDS.1863,group00406
TBepi2057.genome.CDS.1739,group00146
TBepi2057.genome.CDS.1738,group00126
TBepi2057.genome.CDS.1133,group11396
TBepi2057.genome.CDS.130,group00948
TBepi2057.genome.CDS.1733,group01584
TBepi2057.genome.CDS.1157,group00116
TBepi2057.genome.CDS.1731,group11291
TBepi2057.genome.CDS.1730,group00014
TBepi2057.genome.CDS.1737,group00013
TBepi2057.genome.CDS.1736,group03243
TBepi2057.genome.CDS.1735,group05055
TBepi2057.genome.CDS.1156,group00401
TBepi2057.genome.CDS.1269,group00291
TBepi2057.genome.CDS.1760,group12977
TBepi2057.genome.CDS.1528,group00540
TBepi2057.genome.CDS.1559,group00524
TBepi2057.genome.CDS.1626,group00543
TBepi2057.genome.CDS.1045,group08503
