MEint1091.genome.CDS.3652,group06006
MEint1091.genome.CDS.2259,group00014
MEint1091.genome.CDS.3650,group00148
MEint1091.genome.CDS.2708,group03982
MEint1091.genome.CDS.3656,group00026
MEint1091.genome.CDS.3657,group01350
MEint1091.genome.CDS.1818,group01507
MEint1091.genome.CDS.3655,group00203
MEint1091.genome.CDS.2251,group02110
MEint1091.genome.CDS.2250,group01829
MEint1091.genome.CDS.1814,group02299
MEint1091.genome.CDS.2700,group01546
MEint1091.genome.CDS.2707,group01476
MEint1091.genome.CDS.2709,group02576
MEint1091.genome.CDS.1810,group02358
MEint1091.genome.CDS.2256,group02523
MEint1091.genome.CDS.3094,group01296
MEint1091.genome.CDS.3095,group00576
MEint1091.genome.CDS.3096,group02420
MEint1091.genome.CDS.3097,group01511
MEint1091.genome.CDS.3090,group01747
MEint1091.genome.CDS.3091,group03178
MEint1091.genome.CDS.3092,group02228
MEint1091.genome.CDS.3093,group00113
MEint1091.genome.CDS.2282,group01663
MEint1091.genome.CDS.3098,group01288
MEint1091.genome.CDS.3099,group01512
MEint1091.genome.CDS.3654,group01639
MEint1091.genome.CDS.1819,group01447
MEint1091.genome.CDS.1816,group03863
MEint1091.genome.CDS.2701,group02733
MEint1091.genome.CDS.1817,group03964
MEint1091.genome.CDS.3658,group01267
MEint1091.genome.CDS.3476,group02038
MEint1091.genome.CDS.3477,group01324
MEint1091.genome.CDS.3474,group02037
MEint1091.genome.CDS.3659,group00140
MEint1091.genome.CDS.3472,group01905
MEint1091.genome.CDS.3473,group00739
MEint1091.genome.CDS.3470,group01833
MEint1091.genome.CDS.3471,group06086
MEint1091.genome.CDS.2255,group00474
MEint1091.genome.CDS.3478,group01631
MEint1091.genome.CDS.2706,group00210
MEint1091.genome.CDS.3388,group00158
MEint1091.genome.CDS.3389,group00157
MEint1091.genome.CDS.2257,group00015
MEint1091.genome.CDS.2280,group01364
MEint1091.genome.CDS.3380,group00108
MEint1091.genome.CDS.3381,group06079
MEint1091.genome.CDS.3382,group01957
MEint1091.genome.CDS.2704,group01421
MEint1091.genome.CDS.3384,group00104
MEint1091.genome.CDS.3385,group00844
MEint1091.genome.CDS.3386,group02814
MEint1091.genome.CDS.3387,group00059
MEint1091.genome.CDS.2281,group01303
