MEint11576.genome.CDS.2209,group04215
MEint11576.genome.CDS.2202,group00078
MEint11576.genome.CDS.2203,group00168
MEint11576.genome.CDS.2200,group01151
MEint11576.genome.CDS.2201,group02011
MEint11576.genome.CDS.2206,group00944
MEint11576.genome.CDS.2207,group01404
MEint11576.genome.CDS.2204,group00039
MEint11576.genome.CDS.2205,group01229
MEint11576.genome.CDS.1571,group01279
MEint11576.genome.CDS.1570,group01779
MEint11576.genome.CDS.1573,group11608
MEint11576.genome.CDS.1572,group01994
MEint11576.genome.CDS.1575,group11606
MEint11576.genome.CDS.1574,group11607
MEint11576.genome.CDS.1577,group01778
MEint11576.genome.CDS.1576,group01181
MEint11576.genome.CDS.1579,group01508
MEint11576.genome.CDS.1578,group00025
MEint11576.genome.CDS.1777,group11631
MEint11576.genome.CDS.1776,group00339
MEint11576.genome.CDS.1775,group11632
MEint11576.genome.CDS.1774,group11633
MEint11576.genome.CDS.1773,group11634
MEint11576.genome.CDS.1772,group11635
MEint11576.genome.CDS.1771,group11636
MEint11576.genome.CDS.1779,group02008
MEint11576.genome.CDS.1778,group01110
MEint11576.genome.CDS.1315,group00045
MEint11576.genome.CDS.1314,group01496
MEint11576.genome.CDS.1317,group01046
MEint11576.genome.CDS.1316,group11638
MEint11576.genome.CDS.1311,group00369
MEint11576.genome.CDS.1310,group02368
MEint11576.genome.CDS.1313,group02225
MEint11576.genome.CDS.1312,group05576
MEint11576.genome.CDS.1319,group00021
MEint11576.genome.CDS.1318,group00395
MEint11576.genome.CDS.1409,group00137
MEint11576.genome.CDS.1408,group11597
MEint11576.genome.CDS.1959,group01204
MEint11576.genome.CDS.1958,group01231
MEint11576.genome.CDS.1957,group00434
MEint11576.genome.CDS.1956,group11649
MEint11576.genome.CDS.1403,group01840
MEint11576.genome.CDS.1402,group11595
MEint11576.genome.CDS.1405,group01192
MEint11576.genome.CDS.1952,group01659
MEint11576.genome.CDS.1951,group01288
MEint11576.genome.CDS.1950,group00987
MEint11576.genome.CDS.1799,group00181
MEint11576.genome.CDS.1798,group00208
MEint11576.genome.CDS.1791,group00362
MEint11576.genome.CDS.1790,group00394
MEint11576.genome.CDS.1793,group01897
MEint11576.genome.CDS.1792,group02599
MEint11576.genome.CDS.1795,group00274
MEint11576.genome.CDS.1794,group00121
MEint11576.genome.CDS.1797,group00273
MEint11576.genome.CDS.1796,group00309
MEint11576.genome.CDS.2149,group00402
MEint11576.genome.CDS.2148,group02063
MEint11576.genome.CDS.2145,group03452
MEint11576.genome.CDS.2144,group01861
MEint11576.genome.CDS.2146,group00076
MEint11576.genome.CDS.2141,group00833
MEint11576.genome.CDS.2140,group00239
MEint11576.genome.CDS.2143,group01884
MEint11576.genome.CDS.2142,group04177
MEint11576.genome.CDS.754,group11657
MEint11576.genome.CDS.2563,group05271
MEint11576.genome.CDS.2562,group00421
MEint11576.genome.CDS.2561,group01893
MEint11576.genome.CDS.2560,group01772
MEint11576.genome.CDS.2567,group00102
MEint11576.genome.CDS.2566,group01335
MEint11576.genome.CDS.2565,group01943
MEint11576.genome.CDS.2564,group01751
MEint11576.genome.CDS.2569,group11585
MEint11576.genome.CDS.2568,group11580
MEint11576.genome.CDS.579,group11643
MEint11576.genome.CDS.404,group01635
MEint11576.genome.CDS.2365,group00014
MEint11576.genome.CDS.2364,group01890
MEint11576.genome.CDS.2367,group01247
MEint11576.genome.CDS.2366,group01047
MEint11576.genome.CDS.2361,group01522
MEint11576.genome.CDS.2360,group00016
MEint11576.genome.CDS.2363,group00015
MEint11576.genome.CDS.2362,group01673
MEint11576.genome.CDS.2369,group01416
MEint11576.genome.CDS.2368,group11559
MEint11576.genome.CDS.2551,group00374
MEint11576.genome.CDS.2556,group00041
MEint11576.genome.CDS.2006,group02020
MEint11576.genome.CDS.2555,group00294
MEint11576.genome.CDS.2211,group00546
MEint11576.genome.CDS.2213,group02072
MEint11576.genome.CDS.2212,group11549
MEint11576.genome.CDS.2215,group00746
MEint11576.genome.CDS.2214,group01997
