MEint3163.genome.CDS.375,group12414
MEint3163.genome.CDS.178,group12395
MEint3163.genome.CDS.3348,group00505
MEint3163.genome.CDS.3349,group12365
MEint3163.genome.CDS.2237,group00660
MEint3163.genome.CDS.3341,group00109
MEint3163.genome.CDS.2235,group03985
MEint3163.genome.CDS.2234,group04787
MEint3163.genome.CDS.3344,group02444
MEint3163.genome.CDS.2232,group02875
MEint3163.genome.CDS.3346,group00901
MEint3163.genome.CDS.3347,group01448
MEint3163.genome.CDS.2112,group00125
MEint3163.genome.CDS.2529,group00553
MEint3163.genome.CDS.2528,group01124
MEint3163.genome.CDS.2113,group01363
MEint3163.genome.CDS.2523,group04562
MEint3163.genome.CDS.2522,group01839
MEint3163.genome.CDS.2521,group01839
MEint3163.genome.CDS.2520,group02782
MEint3163.genome.CDS.2527,group00376
MEint3163.genome.CDS.2110,group00120
MEint3163.genome.CDS.2525,group01758
MEint3163.genome.CDS.2524,group02906
MEint3163.genome.CDS.2111,group00335
MEint3163.genome.CDS.2444,group02116
MEint3163.genome.CDS.2117,group00041
MEint3163.genome.CDS.2045,group02193
MEint3163.genome.CDS.2447,group01729
MEint3163.genome.CDS.3128,group00070
MEint3163.genome.CDS.3129,group00262
MEint3163.genome.CDS.3124,group01935
MEint3163.genome.CDS.3125,group00399
MEint3163.genome.CDS.3126,group00411
MEint3163.genome.CDS.3127,group00165
MEint3163.genome.CDS.3120,group00020
MEint3163.genome.CDS.3121,group00021
MEint3163.genome.CDS.3122,group00395
MEint3163.genome.CDS.3123,group01046
MEint3163.genome.CDS.3010,group01917
MEint3163.genome.CDS.3011,group02002
MEint3163.genome.CDS.3012,group01625
MEint3163.genome.CDS.3013,group00559
MEint3163.genome.CDS.3014,group03009
MEint3163.genome.CDS.3015,group03737
MEint3163.genome.CDS.3016,group01837
MEint3163.genome.CDS.3017,group00000
MEint3163.genome.CDS.3018,group02633
MEint3163.genome.CDS.3019,group00000
MEint3163.genome.CDS.1507,group00446
MEint3163.genome.CDS.1500,group00234
MEint3163.genome.CDS.2040,group03179
MEint3163.genome.CDS.2839,group00832
MEint3163.genome.CDS.2838,group00136
MEint3163.genome.CDS.2831,group00158
MEint3163.genome.CDS.2830,group00157
MEint3163.genome.CDS.2833,group05560
MEint3163.genome.CDS.2832,group00059
MEint3163.genome.CDS.2834,group05559
MEint3163.genome.CDS.2837,group00106
MEint3163.genome.CDS.2836,group00104
MEint3163.genome.CDS.1874,group00531
MEint3163.genome.CDS.1875,group01476
MEint3163.genome.CDS.1876,group03982
MEint3163.genome.CDS.1877,group02576
MEint3163.genome.CDS.1870,group02285
MEint3163.genome.CDS.1871,group01085
MEint3163.genome.CDS.1872,group01261
MEint3163.genome.CDS.1873,group00210
MEint3163.genome.CDS.1878,group00077
MEint3163.genome.CDS.1879,group00019
MEint3163.genome.CDS.3656,group01537
MEint3163.genome.CDS.3657,group03061
MEint3163.genome.CDS.3654,group01364
MEint3163.genome.CDS.3655,group01303
MEint3163.genome.CDS.3652,group00031
MEint3163.genome.CDS.3653,group02781
MEint3163.genome.CDS.887,group12459
MEint3163.genome.CDS.3651,group00261
MEint3163.genome.CDS.3658,group12385
MEint3163.genome.CDS.3659,group00377
MEint3163.genome.CDS.1898,group01283
MEint3163.genome.CDS.1899,group00432
MEint3163.genome.CDS.1892,group12451
MEint3163.genome.CDS.1893,group03062
MEint3163.genome.CDS.1890,group02226
MEint3163.genome.CDS.1891,group12434
MEint3163.genome.CDS.1896,group12449
MEint3163.genome.CDS.1897,group01162
MEint3163.genome.CDS.1894,group12450
MEint3163.genome.CDS.1895,group00000
MEint3163.genome.CDS.1257,group00552
MEint3163.genome.CDS.2686,group01641
MEint3163.genome.CDS.2687,group01084
MEint3163.genome.CDS.2684,group01442
MEint3163.genome.CDS.2685,group00656
MEint3163.genome.CDS.2682,group02360
MEint3163.genome.CDS.2683,group02551
MEint3163.genome.CDS.2680,group00515
MEint3163.genome.CDS.2236,group03461
MEint3163.genome.CDS.3342,group01982
MEint3163.genome.CDS.2688,group12455
MEint3163.genome.CDS.2689,group12454
MEint3163.genome.CDS.3343,group03242
MEint3163.genome.CDS.2233,group02214
MEint3163.genome.CDS.3345,group05390
MEint3163.genome.CDS.2754,group04557
MEint3163.genome.CDS.2755,group01573
MEint3163.genome.CDS.2756,group02128
MEint3163.genome.CDS.2757,group03360
MEint3163.genome.CDS.2750,group01692
MEint3163.genome.CDS.2751,group04350
MEint3163.genome.CDS.2752,group00000
MEint3163.genome.CDS.2753,group04350
MEint3163.genome.CDS.2230,group01246
MEint3163.genome.CDS.2758,group03651
MEint3163.genome.CDS.2759,group00639
MEint3163.genome.CDS.2358,group00324
MEint3163.genome.CDS.2359,group02135
MEint3163.genome.CDS.2350,group00032
MEint3163.genome.CDS.2351,group02526
MEint3163.genome.CDS.2352,group00173
MEint3163.genome.CDS.2353,group00837
MEint3163.genome.CDS.2354,group01992
MEint3163.genome.CDS.2355,group01425
MEint3163.genome.CDS.2356,group02510
MEint3163.genome.CDS.2357,group02509
MEint3163.genome.CDS.2526,group00010
MEint3163.genome.CDS.2220,group01574
MEint3163.genome.CDS.2221,group00154
MEint3163.genome.CDS.2222,group05558
MEint3163.genome.CDS.2223,group01499
MEint3163.genome.CDS.3339,group00310
MEint3163.genome.CDS.3338,group01750
MEint3163.genome.CDS.2226,group00267
MEint3163.genome.CDS.2227,group01292
MEint3163.genome.CDS.3335,group01276
MEint3163.genome.CDS.3334,group00012
MEint3163.genome.CDS.3337,group01684
MEint3163.genome.CDS.3336,group00275
MEint3163.genome.CDS.3331,group00471
MEint3163.genome.CDS.3330,group00716
MEint3163.genome.CDS.3333,group00392
MEint3163.genome.CDS.3332,group00453
MEint3163.genome.CDS.2538,group00564
MEint3163.genome.CDS.2539,group00565
MEint3163.genome.CDS.2534,group00404
MEint3163.genome.CDS.2535,group00326
MEint3163.genome.CDS.2536,group00445
MEint3163.genome.CDS.2537,group00268
MEint3163.genome.CDS.2530,group02353
MEint3163.genome.CDS.2532,group00461
MEint3163.genome.CDS.2533,group00492
MEint3163.genome.CDS.3241,group00156
MEint3163.genome.CDS.3240,group01108
MEint3163.genome.CDS.3243,group00292
MEint3163.genome.CDS.3242,group00124
MEint3163.genome.CDS.3245,group00130
MEint3163.genome.CDS.3244,group01889
MEint3163.genome.CDS.3247,group01167
MEint3163.genome.CDS.3246,group02092
MEint3163.genome.CDS.3249,group00318
MEint3163.genome.CDS.3248,group01138
MEint3163.genome.CDS.3482,group01360
MEint3163.genome.CDS.3481,group01322
MEint3163.genome.CDS.3487,group12374
MEint3163.genome.CDS.3486,group01911
MEint3163.genome.CDS.3485,group01416
MEint3163.genome.CDS.3484,group00212
MEint3163.genome.CDS.3489,group03646
MEint3163.genome.CDS.2052,group01934
MEint3163.genome.CDS.3065,group05572
MEint3163.genome.CDS.3064,group12483
MEint3163.genome.CDS.3067,group01327
MEint3163.genome.CDS.3066,group01979
MEint3163.genome.CDS.3061,group12486
MEint3163.genome.CDS.3060,group00933
MEint3163.genome.CDS.3063,group12484
MEint3163.genome.CDS.3062,group12485
