MEint1363.genome.CDS.1680,group02584
MEint1363.genome.CDS.1838,group00393
MEint1363.genome.CDS.1839,group00374
MEint1363.genome.CDS.1693,group00110
MEint1363.genome.CDS.1145,group00913
MEint1363.genome.CDS.1811,group00368
MEint1363.genome.CDS.1739,group00876
MEint1363.genome.CDS.1738,group00877
MEint1363.genome.CDS.1737,group00222
MEint1363.genome.CDS.1736,group00764
MEint1363.genome.CDS.1735,group03057
MEint1363.genome.CDS.1734,group00722
MEint1363.genome.CDS.1733,group00697
MEint1363.genome.CDS.1732,group00832
MEint1363.genome.CDS.397,group04034
MEint1363.genome.CDS.1730,group00880
MEint1363.genome.CDS.988,group00502
MEint1363.genome.CDS.1448,group00096
MEint1363.genome.CDS.1324,group00275
MEint1363.genome.CDS.1325,group00786
MEint1363.genome.CDS.1326,group00354
MEint1363.genome.CDS.1320,group00472
MEint1363.genome.CDS.1321,group00453
MEint1363.genome.CDS.1322,group00012
MEint1363.genome.CDS.1323,group00392
MEint1363.genome.CDS.1328,group00133
MEint1363.genome.CDS.1329,group00831
MEint1363.genome.CDS.984,group00045
MEint1363.genome.CDS.985,group00637
MEint1363.genome.CDS.1111,group00476
MEint1363.genome.CDS.1110,group00456
MEint1363.genome.CDS.1441,group00934
MEint1363.genome.CDS.1440,group11238
MEint1363.genome.CDS.982,group00629
MEint1363.genome.CDS.1114,group00068
MEint1363.genome.CDS.1809,group00645
MEint1363.genome.CDS.1218,group00593
MEint1363.genome.CDS.1192,group00725
MEint1363.genome.CDS.1191,group00512
MEint1363.genome.CDS.1190,group00177
MEint1363.genome.CDS.1197,group02087
MEint1363.genome.CDS.1196,group12182
MEint1363.genome.CDS.1195,group00898
MEint1363.genome.CDS.1194,group07897
MEint1363.genome.CDS.1210,group00927
MEint1363.genome.CDS.1211,group01011
MEint1363.genome.CDS.1212,group11774
MEint1363.genome.CDS.1198,group00005
MEint1363.genome.CDS.1214,group00638
MEint1363.genome.CDS.1215,group00071
MEint1363.genome.CDS.1216,group00682
MEint1363.genome.CDS.1217,group00686
MEint1363.genome.CDS.1180,group14044
MEint1363.genome.CDS.1117,group00960
MEint1363.genome.CDS.1104,group00193
MEint1363.genome.CDS.1268,group04798
MEint1363.genome.CDS.1439,group01343
MEint1363.genome.CDS.1351,group00291
MEint1363.genome.CDS.1350,group00080
MEint1363.genome.CDS.1601,group00768
MEint1363.genome.CDS.1352,group00491
MEint1363.genome.CDS.1355,group00141
MEint1363.genome.CDS.1354,group04450
MEint1363.genome.CDS.1357,group00016
MEint1363.genome.CDS.1604,group00931
MEint1363.genome.CDS.1359,group00516
MEint1363.genome.CDS.1358,group00004
MEint1363.genome.CDS.1609,group00670
MEint1363.genome.CDS.1608,group05665
MEint1363.genome.CDS.1578,group08442
MEint1363.genome.CDS.657,group01387
MEint1363.genome.CDS.1463,group10214
MEint1363.genome.CDS.1188,group00051
MEint1363.genome.CDS.1473,group00431
