AAA024D14.genome.CDS.1320,group00946
AAA024D14.genome.CDS.1321,group00945
AAA024D14.genome.CDS.982,group00454
AAA024D14.genome.CDS.983,group00384
AAA024D14.genome.CDS.1081,group05407
AAA024D14.genome.CDS.1080,group00670
AAA024D14.genome.CDS.1036,group00361
AAA024D14.genome.CDS.823,group00626
AAA024D14.genome.CDS.1428,group07553
AAA024D14.genome.CDS.836,group00335
AAA024D14.genome.CDS.837,group00120
AAA024D14.genome.CDS.834,group00166
AAA024D14.genome.CDS.835,group00125
AAA024D14.genome.CDS.832,group00085
AAA024D14.genome.CDS.833,group00041
AAA024D14.genome.CDS.830,group00077
AAA024D14.genome.CDS.831,group00019
AAA024D14.genome.CDS.839,group00040
AAA024D14.genome.CDS.1282,group02090
AAA024D14.genome.CDS.1427,group07554
AAA024D14.genome.CDS.1404,group07567
AAA024D14.genome.CDS.1426,group07555
AAA024D14.genome.CDS.1466,group00076
AAA024D14.genome.CDS.1407,group05521
AAA024D14.genome.CDS.1420,group05522
AAA024D14.genome.CDS.1447,group00596
AAA024D14.genome.CDS.1194,group00005
AAA024D14.genome.CDS.1445,group00689
AAA024D14.genome.CDS.1444,group00521
AAA024D14.genome.CDS.1443,group01028
AAA024D14.genome.CDS.1442,group00374
AAA024D14.genome.CDS.1193,group01299
AAA024D14.genome.CDS.1192,group00674
AAA024D14.genome.CDS.1199,group00012
AAA024D14.genome.CDS.1198,group01339
AAA024D14.genome.CDS.1449,group01234
AAA024D14.genome.CDS.1448,group00579
AAA024D14.genome.CDS.908,group00804
AAA024D14.genome.CDS.909,group01115
AAA024D14.genome.CDS.902,group00604
AAA024D14.genome.CDS.903,group00694
AAA024D14.genome.CDS.900,group01100
AAA024D14.genome.CDS.901,group00603
AAA024D14.genome.CDS.906,group00473
AAA024D14.genome.CDS.907,group00998
AAA024D14.genome.CDS.904,group00810
AAA024D14.genome.CDS.905,group00648
AAA024D14.genome.CDS.1168,group00329
AAA024D14.genome.CDS.1042,group00906
AAA024D14.genome.CDS.669,group02357
AAA024D14.genome.CDS.1040,group00060
AAA024D14.genome.CDS.1047,group00750
AAA024D14.genome.CDS.1046,group01093
AAA024D14.genome.CDS.1045,group00226
AAA024D14.genome.CDS.1044,group00497
AAA024D14.genome.CDS.1160,group02543
AAA024D14.genome.CDS.1161,group00513
AAA024D14.genome.CDS.1162,group00292
AAA024D14.genome.CDS.1163,group00124
AAA024D14.genome.CDS.708,group00460
AAA024D14.genome.CDS.1165,group00373
AAA024D14.genome.CDS.1166,group00204
AAA024D14.genome.CDS.1167,group00450
AAA024D14.genome.CDS.1414,group07562
AAA024D14.genome.CDS.1415,group07561
AAA024D14.genome.CDS.1140,group00833
AAA024D14.genome.CDS.1612,group05413
AAA024D14.genome.CDS.1341,group00821
AAA024D14.genome.CDS.1342,group00825
AAA024D14.genome.CDS.1343,group00764
AAA024D14.genome.CDS.1616,group07580
AAA024D14.genome.CDS.1345,group00611
AAA024D14.genome.CDS.1614,group07582
AAA024D14.genome.CDS.1615,group07581
AAA024D14.genome.CDS.1348,group02762
AAA024D14.genome.CDS.1146,group00230
AAA024D14.genome.CDS.1618,group00190
AAA024D14.genome.CDS.1619,group00178
AAA024D14.genome.CDS.968,group00073
AAA024D14.genome.CDS.1412,group04158
AAA024D14.genome.CDS.1187,group01023
AAA024D14.genome.CDS.1413,group07563
AAA024D14.genome.CDS.1366,group00150
AAA024D14.genome.CDS.1509,group00783
