MEint4252.genome.CDS.2288,group00264
MEint4252.genome.CDS.2289,group00061
MEint4252.genome.CDS.2104,group00437
MEint4252.genome.CDS.2301,group00680
MEint4252.genome.CDS.1495,group00557
MEint4252.genome.CDS.2280,group00137
MEint4252.genome.CDS.2281,group11743
MEint4252.genome.CDS.2282,group00194
MEint4252.genome.CDS.2283,group00873
MEint4252.genome.CDS.2284,group02624
MEint4252.genome.CDS.1997,group00038
MEint4252.genome.CDS.2286,group00053
MEint4252.genome.CDS.2287,group00083
MEint4252.genome.CDS.1497,group00478
MEint4252.genome.CDS.2268,group01321
MEint4252.genome.CDS.1490,group00609
MEint4252.genome.CDS.2140,group00640
MEint4252.genome.CDS.1990,group04454
MEint4252.genome.CDS.1656,group00775
MEint4252.genome.CDS.1657,group00843
MEint4252.genome.CDS.1654,group01922
MEint4252.genome.CDS.1655,group01032
MEint4252.genome.CDS.1652,group00009
MEint4252.genome.CDS.1492,group08921
MEint4252.genome.CDS.1650,group00045
MEint4252.genome.CDS.1651,group12383
MEint4252.genome.CDS.1717,group00855
MEint4252.genome.CDS.1716,group00305
MEint4252.genome.CDS.1715,group00234
MEint4252.genome.CDS.1992,group01212
MEint4252.genome.CDS.1713,group00135
MEint4252.genome.CDS.1712,group12962
MEint4252.genome.CDS.1658,group00905
MEint4252.genome.CDS.1659,group00975
MEint4252.genome.CDS.1160,group03589
MEint4252.genome.CDS.1161,group01669
MEint4252.genome.CDS.1162,group08503
MEint4252.genome.CDS.1163,group00759
MEint4252.genome.CDS.1164,group00814
MEint4252.genome.CDS.1165,group05315
MEint4252.genome.CDS.1166,group00859
MEint4252.genome.CDS.1167,group00266
MEint4252.genome.CDS.1168,group00043
MEint4252.genome.CDS.1169,group00505
MEint4252.genome.CDS.1304,group00379
MEint4252.genome.CDS.1306,group00141
MEint4252.genome.CDS.1307,group00737
MEint4252.genome.CDS.1300,group04131
MEint4252.genome.CDS.1301,group00140
MEint4252.genome.CDS.1302,group00026
MEint4252.genome.CDS.1303,group00498
MEint4252.genome.CDS.1498,group01625
MEint4252.genome.CDS.1308,group00634
MEint4252.genome.CDS.1309,group00515
MEint4252.genome.CDS.2108,group00489
MEint4252.genome.CDS.1550,group05403
MEint4252.genome.CDS.2135,group06814
MEint4252.genome.CDS.1552,group00326
MEint4252.genome.CDS.2133,group09831
MEint4252.genome.CDS.2275,group06264
MEint4252.genome.CDS.2274,group00757
MEint4252.genome.CDS.2277,group00449
MEint4252.genome.CDS.2276,group05439
MEint4252.genome.CDS.2271,group01282
MEint4252.genome.CDS.2270,group03020
MEint4252.genome.CDS.2273,group00315
MEint4252.genome.CDS.2272,group00359
MEint4252.genome.CDS.2172,group00286
MEint4252.genome.CDS.2173,group08763
MEint4252.genome.CDS.2170,group00524
MEint4252.genome.CDS.2171,group00107
MEint4252.genome.CDS.2176,group00313
MEint4252.genome.CDS.2177,group00659
MEint4252.genome.CDS.2174,group04945
MEint4252.genome.CDS.2175,group00163
MEint4252.genome.CDS.1461,group00231
MEint4252.genome.CDS.967,group02011
MEint4252.genome.CDS.1573,group00066
MEint4252.genome.CDS.1279,group00084
MEint4252.genome.CDS.1571,group00064
MEint4252.genome.CDS.1570,group12755
MEint4252.genome.CDS.1577,group00456
MEint4252.genome.CDS.1576,group00476
MEint4252.genome.CDS.1575,group05272
MEint4252.genome.CDS.1574,group00047
MEint4252.genome.CDS.1270,group04422
MEint4252.genome.CDS.1271,group07852
MEint4252.genome.CDS.1579,group10155
MEint4252.genome.CDS.1578,group00571
MEint4252.genome.CDS.1274,group07826
MEint4252.genome.CDS.1275,group11238
MEint4252.genome.CDS.1276,group00193
MEint4252.genome.CDS.1277,group00188
MEint4252.genome.CDS.1832,group00756
MEint4252.genome.CDS.1833,group00912
MEint4252.genome.CDS.1830,group00741
MEint4252.genome.CDS.1831,group00185
MEint4252.genome.CDS.1836,group00836
MEint4252.genome.CDS.1621,group00701
MEint4252.genome.CDS.1834,group00676
MEint4252.genome.CDS.1835,group08765
MEint4252.genome.CDS.15,group06791
MEint4252.genome.CDS.1838,group00914
