TBepi3475.genome.CDS.1849,group00219
TBepi3475.genome.CDS.1608,group00678
TBepi3475.genome.CDS.1609,group01326
TBepi3475.genome.CDS.1604,group00614
TBepi3475.genome.CDS.1605,group00699
TBepi3475.genome.CDS.1606,group01299
TBepi3475.genome.CDS.1607,group00674
TBepi3475.genome.CDS.1600,group06770
TBepi3475.genome.CDS.1601,group01474
TBepi3475.genome.CDS.1602,group00981
TBepi3475.genome.CDS.1603,group01004
TBepi3475.genome.CDS.1936,group00671
TBepi3475.genome.CDS.1937,group06745
TBepi3475.genome.CDS.1934,group00892
TBepi3475.genome.CDS.1932,group06746
TBepi3475.genome.CDS.1933,group00728
TBepi3475.genome.CDS.1930,group00825
TBepi3475.genome.CDS.1931,group00770
TBepi3475.genome.CDS.1938,group00311
TBepi3475.genome.CDS.1939,group06747
TBepi3475.genome.CDS.1802,group00384
TBepi3475.genome.CDS.1803,group01117
TBepi3475.genome.CDS.1800,group00841
TBepi3475.genome.CDS.1801,group00454
TBepi3475.genome.CDS.1806,group01465
TBepi3475.genome.CDS.1807,group01607
TBepi3475.genome.CDS.1804,group01148
TBepi3475.genome.CDS.1805,group01403
TBepi3475.genome.CDS.1808,group01236
TBepi3475.genome.CDS.1809,group01235
TBepi3475.genome.CDS.1668,group01011
TBepi3475.genome.CDS.1706,group00681
TBepi3475.genome.CDS.1198,group00973
TBepi3475.genome.CDS.1212,group00783
TBepi3475.genome.CDS.1079,group00271
TBepi3475.genome.CDS.1078,group00239
TBepi3475.genome.CDS.199,group00016
TBepi3475.genome.CDS.1073,group00431
TBepi3475.genome.CDS.1072,group00389
TBepi3475.genome.CDS.1071,group00426
TBepi3475.genome.CDS.1070,group00318
TBepi3475.genome.CDS.1077,group00717
TBepi3475.genome.CDS.1076,group00089
TBepi3475.genome.CDS.1075,group00436
TBepi3475.genome.CDS.1074,group01138
TBepi3475.genome.CDS.343,group00745
TBepi3475.genome.CDS.1131,group00363
TBepi3475.genome.CDS.1188,group00522
TBepi3475.genome.CDS.1709,group01436
TBepi3475.genome.CDS.1708,group01344
TBepi3475.genome.CDS.1679,group02859
TBepi3475.genome.CDS.1771,group00468
TBepi3475.genome.CDS.1772,group00030
TBepi3475.genome.CDS.1773,group00030
TBepi3475.genome.CDS.1774,group00243
TBepi3475.genome.CDS.1219,group04874
TBepi3475.genome.CDS.1777,group00909
TBepi3475.genome.CDS.1778,group00088
TBepi3475.genome.CDS.1779,group00888
TBepi3475.genome.CDS.1673,group00915
TBepi3475.genome.CDS.1672,group01280
TBepi3475.genome.CDS.1675,group06776
TBepi3475.genome.CDS.165,group03402
TBepi3475.genome.CDS.1677,group01397
TBepi3475.genome.CDS.1676,group01116
TBepi3475.genome.CDS.996,group00631
TBepi3475.genome.CDS.997,group01051
TBepi3475.genome.CDS.1116,group00226
TBepi3475.genome.CDS.1382,group00376
TBepi3475.genome.CDS.1110,group01142
TBepi3475.genome.CDS.993,group00263
TBepi3475.genome.CDS.1112,group03994
TBepi3475.genome.CDS.1113,group00455
TBepi3475.genome.CDS.1118,group00751
TBepi3475.genome.CDS.1119,group06749
TBepi3475.genome.CDS.998,group06775
TBepi3475.genome.CDS.999,group00521
TBepi3475.genome.CDS.1387,group00665
TBepi3475.genome.CDS.1147,group00737
TBepi3475.genome.CDS.965,group01208
TBepi3475.genome.CDS.964,group00991
TBepi3475.genome.CDS.1143,group06750
TBepi3475.genome.CDS.962,group00968
TBepi3475.genome.CDS.1363,group01275
TBepi3475.genome.CDS.1362,group00230
TBepi3475.genome.CDS.1361,group04916
TBepi3475.genome.CDS.1360,group03370
TBepi3475.genome.CDS.1367,group00639
TBepi3475.genome.CDS.1366,group00645
TBepi3475.genome.CDS.1364,group00368
TBepi3475.genome.CDS.1200,group00567
TBepi3475.genome.CDS.1201,group00782
TBepi3475.genome.CDS.1369,group00592
TBepi3475.genome.CDS.1203,group00100
TBepi3475.genome.CDS.1204,group01021
TBepi3475.genome.CDS.1205,group01307
TBepi3475.genome.CDS.1206,group00829
TBepi3475.genome.CDS.1207,group00428
TBepi3475.genome.CDS.1554,group00127
TBepi3475.genome.CDS.1555,group00879
TBepi3475.genome.CDS.1556,group00642
TBepi3475.genome.CDS.1557,group00205
TBepi3475.genome.CDS.1419,group00588
TBepi3475.genome.CDS.1418,group00423
TBepi3475.genome.CDS.1552,group00155
TBepi3475.genome.CDS.1553,group00132
TBepi3475.genome.CDS.1415,group00493
TBepi3475.genome.CDS.1414,group00415
TBepi3475.genome.CDS.1417,group00585
TBepi3475.genome.CDS.1416,group00600
TBepi3475.genome.CDS.1411,group00107
TBepi3475.genome.CDS.1559,group00086
TBepi3475.genome.CDS.1413,group00556
TBepi3475.genome.CDS.1300,group01516
TBepi3475.genome.CDS.956,group00435
TBepi3475.genome.CDS.1161,group04840
TBepi3475.genome.CDS.1160,group03889
TBepi3475.genome.CDS.1163,group00809
TBepi3475.genome.CDS.1162,group05319
TBepi3475.genome.CDS.1165,group00002
TBepi3475.genome.CDS.969,group00177
TBepi3475.genome.CDS.1166,group00215
TBepi3475.genome.CDS.1169,group00152
TBepi3475.genome.CDS.1168,group00060
TBepi3475.genome.CDS.968,group00301
TBepi3475.genome.CDS.1120,group00136
TBepi3475.genome.CDS.1521,group00550
TBepi3475.genome.CDS.1520,group00393
TBepi3475.genome.CDS.1523,group00551
TBepi3475.genome.CDS.1522,group00617
TBepi3475.genome.CDS.1525,group06767
TBepi3475.genome.CDS.1524,group00608
TBepi3475.genome.CDS.1527,group00990
TBepi3475.genome.CDS.1526,group00405
TBepi3475.genome.CDS.1529,group00547
TBepi3475.genome.CDS.1528,group00499
TBepi3475.genome.CDS.1472,group00541
TBepi3475.genome.CDS.1550,group00753
TBepi3475.genome.CDS.1823,group00711
TBepi3475.genome.CDS.1486,group00911
TBepi3475.genome.CDS.1487,group00835
TBepi3475.genome.CDS.1484,group00988
TBepi3475.genome.CDS.1485,group01008
TBepi3475.genome.CDS.1482,group01633
TBepi3475.genome.CDS.1181,group00525
TBepi3475.genome.CDS.1480,group00262
TBepi3475.genome.CDS.1481,group00028
TBepi3475.genome.CDS.1846,group06781
TBepi3475.genome.CDS.1847,group00159
TBepi3475.genome.CDS.1844,group00967
TBepi3475.genome.CDS.1845,group00815
TBepi3475.genome.CDS.1842,group00033
TBepi3475.genome.CDS.764,group05437
TBepi3475.genome.CDS.1840,group00984
TBepi3475.genome.CDS.1841,group00224
TBepi3475.genome.CDS.1738,group00053
TBepi3475.genome.CDS.1739,group00349
TBepi3475.genome.CDS.1734,group00187
TBepi3475.genome.CDS.1735,group00061
TBepi3475.genome.CDS.1736,group00265
TBepi3475.genome.CDS.1737,group00083
TBepi3475.genome.CDS.1730,group00644
TBepi3475.genome.CDS.1731,group00712
TBepi3475.genome.CDS.1732,group00207
TBepi3475.genome.CDS.1733,group00656
TBepi3475.genome.CDS.1155,group01020
TBepi3475.genome.CDS.1949,group00517
TBepi3475.genome.CDS.1948,group00622
TBepi3475.genome.CDS.1947,group00875
TBepi3475.genome.CDS.1946,group00667
TBepi3475.genome.CDS.1945,group01458
TBepi3475.genome.CDS.1944,group02105
TBepi3475.genome.CDS.1943,group01964
TBepi3475.genome.CDS.1942,group01176
TBepi3475.genome.CDS.1941,group01130
TBepi3475.genome.CDS.1940,group01259
TBepi3475.genome.CDS.1389,group00876
TBepi3475.genome.CDS.1388,group00640
TBepi3475.genome.CDS.1381,group00252
TBepi3475.genome.CDS.1380,group00366
TBepi3475.genome.CDS.1383,group00800
TBepi3475.genome.CDS.164,group00007
TBepi3475.genome.CDS.1385,group00966
TBepi3475.genome.CDS.1384,group00526
TBepi3475.genome.CDS.161,group01062
TBepi3475.genome.CDS.1386,group00553
TBepi3475.genome.CDS.1635,group00305
TBepi3475.genome.CDS.1634,group00305
TBepi3475.genome.CDS.1637,group00646
TBepi3475.genome.CDS.1636,group00234
TBepi3475.genome.CDS.1631,group00103
TBepi3475.genome.CDS.1630,group00209
TBepi3475.genome.CDS.1633,group00039
TBepi3475.genome.CDS.1632,group00087
TBepi3475.genome.CDS.1639,group01029
TBepi3475.genome.CDS.1638,group00135
TBepi3475.genome.CDS.949,group00404
TBepi3475.genome.CDS.1349,group06760
TBepi3475.genome.CDS.1616,group00287
TBepi3475.genome.CDS.1368,group00116
TBepi3475.genome.CDS.1749,group00448
TBepi3475.genome.CDS.1748,group00449
TBepi3475.genome.CDS.1022,group00336
TBepi3475.genome.CDS.1023,group00040
TBepi3475.genome.CDS.1024,group00110
TBepi3475.genome.CDS.1025,group00120
TBepi3475.genome.CDS.1026,group00335
TBepi3475.genome.CDS.1027,group00125
TBepi3475.genome.CDS.1741,group00300
TBepi3475.genome.CDS.1029,group00166
TBepi3475.genome.CDS.1743,group00058
TBepi3475.genome.CDS.1742,group00194
TBepi3475.genome.CDS.1745,group00137
TBepi3475.genome.CDS.1744,group00137
TBepi3475.genome.CDS.1747,group00387
TBepi3475.genome.CDS.1490,group02056
TBepi3475.genome.CDS.1244,group06755
TBepi3475.genome.CDS.1245,group00033
TBepi3475.genome.CDS.1246,group00546
TBepi3475.genome.CDS.1247,group00022
TBepi3475.genome.CDS.1240,group00647
