MEint2297.genome.CDS.2290,group00702
MEint2297.genome.CDS.2523,group01002
MEint2297.genome.CDS.2520,group00029
MEint2297.genome.CDS.2293,group01156
MEint2297.genome.CDS.2294,group00937
MEint2297.genome.CDS.2527,group00785
MEint2297.genome.CDS.2524,group00590
MEint2297.genome.CDS.2297,group01052
MEint2297.genome.CDS.2298,group00826
MEint2297.genome.CDS.2299,group00045
MEint2297.genome.CDS.2528,group00176
MEint2297.genome.CDS.2529,group00980
MEint2297.genome.CDS.2393,group02058
MEint2297.genome.CDS.2746,group00112
MEint2297.genome.CDS.2747,group00524
MEint2297.genome.CDS.2744,group00661
MEint2297.genome.CDS.2745,group00112
MEint2297.genome.CDS.2742,group00153
MEint2297.genome.CDS.2743,group00713
MEint2297.genome.CDS.2740,group00228
MEint2297.genome.CDS.2741,group00221
MEint2297.genome.CDS.2547,group00853
MEint2297.genome.CDS.2748,group02329
MEint2297.genome.CDS.2749,group01118
MEint2297.genome.CDS.1648,group02213
MEint2297.genome.CDS.1649,group02674
MEint2297.genome.CDS.1646,group03485
MEint2297.genome.CDS.1647,group00000
MEint2297.genome.CDS.1644,group05954
MEint2297.genome.CDS.1645,group02213
MEint2297.genome.CDS.1642,group01551
MEint2297.genome.CDS.1643,group05955
MEint2297.genome.CDS.1640,group00954
MEint2297.genome.CDS.1641,group01811
MEint2297.genome.CDS.2522,group00668
MEint2297.genome.CDS.2291,group00018
MEint2297.genome.CDS.2292,group00924
MEint2297.genome.CDS.1466,group00260
MEint2297.genome.CDS.1467,group00766
MEint2297.genome.CDS.1464,group01011
MEint2297.genome.CDS.1465,group00429
MEint2297.genome.CDS.1462,group03959
MEint2297.genome.CDS.1463,group05975
MEint2297.genome.CDS.1460,group00856
MEint2297.genome.CDS.1461,group00649
MEint2297.genome.CDS.2526,group00730
MEint2297.genome.CDS.1468,group00044
MEint2297.genome.CDS.1469,group00375
MEint2297.genome.CDS.2296,group00575
MEint2297.genome.CDS.2525,group00052
MEint2297.genome.CDS.1518,group05998
MEint2297.genome.CDS.1519,group00882
MEint2297.genome.CDS.1512,group00498
MEint2297.genome.CDS.1513,group00760
MEint2297.genome.CDS.1510,group01063
MEint2297.genome.CDS.1511,group01956
MEint2297.genome.CDS.1516,group01151
MEint2297.genome.CDS.1517,group00559
MEint2297.genome.CDS.1514,group00711
MEint2297.genome.CDS.1515,group01628
MEint2297.genome.CDS.2445,group00043
MEint2297.genome.CDS.2444,group01365
MEint2297.genome.CDS.2295,group01126
MEint2297.genome.CDS.2446,group00504
MEint2297.genome.CDS.2441,group01393
MEint2297.genome.CDS.2440,group01203
MEint2297.genome.CDS.2115,group01227
MEint2297.genome.CDS.2442,group03784
MEint2297.genome.CDS.1884,group00974
MEint2297.genome.CDS.1885,group01815
MEint2297.genome.CDS.1886,group00816
MEint2297.genome.CDS.1887,group00781
MEint2297.genome.CDS.1880,group01352
MEint2297.genome.CDS.1881,group00038
MEint2297.genome.CDS.1882,group02591
MEint2297.genome.CDS.1883,group00539
MEint2297.genome.CDS.1888,group00537
MEint2297.genome.CDS.1889,group00628
MEint2297.genome.CDS.1969,group00105
MEint2297.genome.CDS.2612,group00209
MEint2297.genome.CDS.2193,group00215
MEint2297.genome.CDS.2192,group00002
MEint2297.genome.CDS.2191,group00361
MEint2297.genome.CDS.2190,group00612
MEint2297.genome.CDS.2197,group00906
MEint2297.genome.CDS.2196,group00152
MEint2297.genome.CDS.2195,group00060
MEint2297.genome.CDS.2194,group00057
MEint2297.genome.CDS.2199,group00497
MEint2297.genome.CDS.2198,group00751
MEint2297.genome.CDS.2351,group00700
MEint2297.genome.CDS.2602,group00517
MEint2297.genome.CDS.1868,group00021
MEint2297.genome.CDS.2352,group00099
MEint2297.genome.CDS.2355,group00782
MEint2297.genome.CDS.2606,group00494
MEint2297.genome.CDS.2357,group00399
MEint2297.genome.CDS.2356,group05973
MEint2297.genome.CDS.1862,group03545
MEint2297.genome.CDS.1863,group02693
MEint2297.genome.CDS.2609,group00008
MEint2297.genome.CDS.2608,group00298
MEint2297.genome.CDS.1866,group00508
MEint2297.genome.CDS.1867,group00020
MEint2297.genome.CDS.1864,group02823
MEint2297.genome.CDS.1865,group02475
MEint2297.genome.CDS.2517,group00817
MEint2297.genome.CDS.2516,group01918
MEint2297.genome.CDS.2515,group01482
MEint2297.genome.CDS.2514,group00858
MEint2297.genome.CDS.2513,group00266
MEint2297.genome.CDS.2512,group01203
MEint2297.genome.CDS.2511,group01565
MEint2297.genome.CDS.2510,group01393
MEint2297.genome.CDS.2519,group05979
MEint2297.genome.CDS.2518,group00787
MEint2297.genome.CDS.2179,group01158
MEint2297.genome.CDS.2178,group01013
MEint2297.genome.CDS.2171,group00282
MEint2297.genome.CDS.2170,group00457
MEint2297.genome.CDS.2173,group00724
MEint2297.genome.CDS.2172,group01171
MEint2297.genome.CDS.2175,group00004
MEint2297.genome.CDS.2174,group00342
MEint2297.genome.CDS.2177,group00985
MEint2297.genome.CDS.2176,group00016
MEint2297.genome.CDS.2550,group00299
MEint2297.genome.CDS.1079,group00960
MEint2297.genome.CDS.1673,group00672
MEint2297.genome.CDS.1672,group00664
MEint2297.genome.CDS.1671,group00197
MEint2297.genome.CDS.1670,group00514
MEint2297.genome.CDS.1677,group00210
MEint2297.genome.CDS.1676,group00278
MEint2297.genome.CDS.1675,group00632
MEint2297.genome.CDS.1674,group01061
MEint2297.genome.CDS.1679,group00651
MEint2297.genome.CDS.1678,group00784
MEint2297.genome.CDS.1699,group01127
MEint2297.genome.CDS.1698,group00774
MEint2297.genome.CDS.1691,group00734
MEint2297.genome.CDS.1690,group00432
MEint2297.genome.CDS.1693,group00579
MEint2297.genome.CDS.1692,group00596
MEint2297.genome.CDS.1695,group00259
MEint2297.genome.CDS.1694,group01234
MEint2297.genome.CDS.1697,group00755
MEint2297.genome.CDS.1696,group01058
MEint2297.genome.CDS.2554,group00257
MEint2297.genome.CDS.1529,group00160
MEint2297.genome.CDS.1528,group00159
MEint2297.genome.CDS.1527,group00134
MEint2297.genome.CDS.1526,group00354
MEint2297.genome.CDS.1525,group00786
MEint2297.genome.CDS.1524,group00275
MEint2297.genome.CDS.1523,group00392
MEint2297.genome.CDS.1522,group00012
MEint2297.genome.CDS.1521,group00453
MEint2297.genome.CDS.1520,group00471
MEint2297.genome.CDS.1459,group00179
MEint2297.genome.CDS.1458,group00180
MEint2297.genome.CDS.1453,group01009
MEint2297.genome.CDS.1452,group00676
MEint2297.genome.CDS.1451,group00913
MEint2297.genome.CDS.1450,group00756
MEint2297.genome.CDS.1457,group00238
MEint2297.genome.CDS.1456,group00914
MEint2297.genome.CDS.1455,group01090
MEint2297.genome.CDS.1454,group00836
MEint2297.genome.CDS.1958,group00559
MEint2297.genome.CDS.2600,group05985
MEint2297.genome.CDS.1989,group00065
