TBepi2973.genome.CDS.1143,group00426
TBepi2973.genome.CDS.1142,group00389
TBepi2973.genome.CDS.1141,group00431
TBepi2973.genome.CDS.1140,group00436
TBepi2973.genome.CDS.1147,group00239
TBepi2973.genome.CDS.1146,group02487
TBepi2973.genome.CDS.1145,group00089
TBepi2973.genome.CDS.1144,group00318
TBepi2973.genome.CDS.1060,group02287
TBepi2973.genome.CDS.1061,group02288
TBepi2973.genome.CDS.1149,group00100
TBepi2973.genome.CDS.1148,group00099
TBepi2973.genome.CDS.1064,group00076
TBepi2973.genome.CDS.1065,group00270
TBepi2973.genome.CDS.1066,group00822
TBepi2973.genome.CDS.1951,group01352
TBepi2973.genome.CDS.1918,group00552
TBepi2973.genome.CDS.2051,group00214
TBepi2973.genome.CDS.1989,group00532
TBepi2973.genome.CDS.1919,group00035
TBepi2973.genome.CDS.1092,group00013
TBepi2973.genome.CDS.1826,group02305
TBepi2973.genome.CDS.1558,group00762
TBepi2973.genome.CDS.1852,group01222
TBepi2973.genome.CDS.1742,group04743
TBepi2973.genome.CDS.1652,group00022
TBepi2973.genome.CDS.1855,group01990
TBepi2973.genome.CDS.1123,group01336
TBepi2973.genome.CDS.2077,group01239
TBepi2973.genome.CDS.2052,group00281
TBepi2973.genome.CDS.2074,group01978
TBepi2973.genome.CDS.884,group01114
TBepi2973.genome.CDS.1125,group01355
TBepi2973.genome.CDS.2075,group02991
TBepi2973.genome.CDS.1062,group01358
TBepi2973.genome.CDS.1124,group00017
TBepi2973.genome.CDS.1987,group00553
TBepi2973.genome.CDS.1063,group00483
TBepi2973.genome.CDS.1398,group00725
TBepi2973.genome.CDS.1399,group00169
TBepi2973.genome.CDS.1396,group02970
TBepi2973.genome.CDS.1222,group00315
TBepi2973.genome.CDS.1394,group00720
TBepi2973.genome.CDS.1654,group01371
TBepi2973.genome.CDS.1392,group00565
TBepi2973.genome.CDS.1393,group00393
TBepi2973.genome.CDS.1390,group00664
TBepi2973.genome.CDS.1391,group00564
TBepi2973.genome.CDS.1129,group03316
TBepi2973.genome.CDS.1456,group02495
TBepi2973.genome.CDS.1869,group01363
TBepi2973.genome.CDS.1128,group04723
TBepi2973.genome.CDS.1983,group02987
TBepi2973.genome.CDS.1067,group04719
TBepi2973.genome.CDS.1552,group02717
TBepi2973.genome.CDS.1450,group00550
TBepi2973.genome.CDS.1095,group02486
TBepi2973.genome.CDS.1094,group02708
TBepi2973.genome.CDS.1545,group01670
TBepi2973.genome.CDS.1658,group03333
TBepi2973.genome.CDS.1091,group00882
TBepi2973.genome.CDS.1981,group01296
TBepi2973.genome.CDS.1093,group02962
TBepi2973.genome.CDS.2024,group00235
TBepi2973.genome.CDS.1452,group00210
TBepi2973.genome.CDS.2054,group00285
TBepi2973.genome.CDS.1098,group01689
TBepi2973.genome.CDS.1549,group00292
TBepi2973.genome.CDS.1548,group00353
TBepi2973.genome.CDS.1352,group01341
TBepi2973.genome.CDS.1863,group01415
TBepi2973.genome.CDS.1668,group00508
TBepi2973.genome.CDS.1669,group04739
TBepi2973.genome.CDS.1666,group12812
TBepi2973.genome.CDS.1667,group12813
TBepi2973.genome.CDS.1664,group00047
TBepi2973.genome.CDS.1665,group00175
TBepi2973.genome.CDS.1662,group02301
TBepi2973.genome.CDS.1663,group01805
TBepi2973.genome.CDS.1660,group00000
TBepi2973.genome.CDS.1661,group00233
TBepi2973.genome.CDS.1351,group01074
TBepi2973.genome.CDS.2023,group00414
TBepi2973.genome.CDS.495,group01607
TBepi2973.genome.CDS.1412,group00058
TBepi2973.genome.CDS.1459,group00223
TBepi2973.genome.CDS.2022,group00413
TBepi2973.genome.CDS.556,group01697
TBepi2973.genome.CDS.1357,group00225
TBepi2973.genome.CDS.1806,group00010
TBepi2973.genome.CDS.1807,group00049
TBepi2973.genome.CDS.1804,group00540
TBepi2973.genome.CDS.1805,group00541
