TBepi3256.genome.CDS.2736,group00403
TBepi3256.genome.CDS.2737,group00018
TBepi3256.genome.CDS.2734,group00402
TBepi3256.genome.CDS.2735,group00417
TBepi3256.genome.CDS.2732,group06149
TBepi3256.genome.CDS.2733,group00476
TBepi3256.genome.CDS.2730,group00567
TBepi3256.genome.CDS.2731,group02902
TBepi3256.genome.CDS.2738,group01372
TBepi3256.genome.CDS.2739,group00706
TBepi3256.genome.CDS.2602,group06410
TBepi3256.genome.CDS.2603,group03466
TBepi3256.genome.CDS.2600,group00321
TBepi3256.genome.CDS.2601,group02137
TBepi3256.genome.CDS.2606,group06408
TBepi3256.genome.CDS.2607,group06407
TBepi3256.genome.CDS.2604,group03596
TBepi3256.genome.CDS.2605,group06409
TBepi3256.genome.CDS.2608,group06406
TBepi3256.genome.CDS.2609,group03508
TBepi3256.genome.CDS.278,group06318
TBepi3256.genome.CDS.2428,group03415
TBepi3256.genome.CDS.2429,group00491
TBepi3256.genome.CDS.2422,group00021
TBepi3256.genome.CDS.2423,group00395
TBepi3256.genome.CDS.2420,group00508
TBepi3256.genome.CDS.2421,group00020
TBepi3256.genome.CDS.2426,group04078
TBepi3256.genome.CDS.2424,group03414
TBepi3256.genome.CDS.2425,group02998
TBepi3256.genome.CDS.3641,group00558
TBepi3256.genome.CDS.3640,group00946
TBepi3256.genome.CDS.3643,group00771
TBepi3256.genome.CDS.3642,group00557
TBepi3256.genome.CDS.3645,group00077
TBepi3256.genome.CDS.3644,group04241
TBepi3256.genome.CDS.3647,group00702
TBepi3256.genome.CDS.3646,group00019
TBepi3256.genome.CDS.3649,group00024
TBepi3256.genome.CDS.3648,group00009
TBepi3256.genome.CDS.3083,group00838
TBepi3256.genome.CDS.3082,group00393
TBepi3256.genome.CDS.3081,group00720
TBepi3256.genome.CDS.3080,group00430
TBepi3256.genome.CDS.3087,group00742
TBepi3256.genome.CDS.3086,group01164
TBepi3256.genome.CDS.3085,group01048
TBepi3256.genome.CDS.3084,group00565
TBepi3256.genome.CDS.3089,group01619
TBepi3256.genome.CDS.3088,group01122
TBepi3256.genome.CDS.3069,group01700
TBepi3256.genome.CDS.3068,group00584
TBepi3256.genome.CDS.3061,group01309
TBepi3256.genome.CDS.3060,group01630
TBepi3256.genome.CDS.3063,group03413
TBepi3256.genome.CDS.3062,group00638
TBepi3256.genome.CDS.3065,group01229
TBepi3256.genome.CDS.3064,group01997
TBepi3256.genome.CDS.3067,group03509
TBepi3256.genome.CDS.3066,group05112
TBepi3256.genome.CDS.3397,group01677
TBepi3256.genome.CDS.3396,group01787
TBepi3256.genome.CDS.3395,group00263
TBepi3256.genome.CDS.3394,group01430
TBepi3256.genome.CDS.3393,group00423
TBepi3256.genome.CDS.3392,group05213
TBepi3256.genome.CDS.3391,group01159
TBepi3256.genome.CDS.3462,group00310
TBepi3256.genome.CDS.3469,group00487
TBepi3256.genome.CDS.3468,group00108
TBepi3256.genome.CDS.3399,group01047
TBepi3256.genome.CDS.3398,group01247
TBepi3256.genome.CDS.3051,group01104
TBepi3256.genome.CDS.3269,group02209
TBepi3256.genome.CDS.3268,group00182
TBepi3256.genome.CDS.3263,group00059
TBepi3256.genome.CDS.3262,group00844
TBepi3256.genome.CDS.3261,group00104
TBepi3256.genome.CDS.3260,group00106
TBepi3256.genome.CDS.3267,group00182
TBepi3256.genome.CDS.3266,group00121
TBepi3256.genome.CDS.3265,group00157
TBepi3256.genome.CDS.3264,group00158
TBepi3256.genome.CDS.507,group06366
TBepi3256.genome.CDS.3636,group00787
TBepi3256.genome.CDS.3637,group00738
TBepi3256.genome.CDS.2938,group00411
TBepi3256.genome.CDS.2939,group00165
TBepi3256.genome.CDS.2934,group04930
TBepi3256.genome.CDS.2935,group01491
TBepi3256.genome.CDS.2937,group00399
TBepi3256.genome.CDS.2930,group00230
TBepi3256.genome.CDS.2931,group00365
TBepi3256.genome.CDS.2932,group00105
TBepi3256.genome.CDS.2933,group00435
TBepi3256.genome.CDS.3638,group00709
TBepi3256.genome.CDS.3639,group00945
TBepi3256.genome.CDS.1694,group00667
TBepi3256.genome.CDS.1695,group00622
TBepi3256.genome.CDS.1924,group02674
TBepi3256.genome.CDS.1642,group06273
TBepi3256.genome.CDS.2517,group06392
TBepi3256.genome.CDS.1809,group06296
TBepi3256.genome.CDS.1808,group04221
TBepi3256.genome.CDS.1805,group00047
TBepi3256.genome.CDS.1804,group02327
TBepi3256.genome.CDS.1807,group01552
TBepi3256.genome.CDS.1806,group06297
TBepi3256.genome.CDS.1801,group02795
TBepi3256.genome.CDS.1800,group00175
TBepi3256.genome.CDS.1803,group01875
TBepi3256.genome.CDS.1802,group01774
TBepi3256.genome.CDS.1686,group00103
TBepi3256.genome.CDS.1739,group06289
TBepi3256.genome.CDS.1738,group06290
TBepi3256.genome.CDS.1733,group00259
TBepi3256.genome.CDS.2123,group01979
TBepi3256.genome.CDS.2122,group01664
TBepi3256.genome.CDS.2121,group00681
TBepi3256.genome.CDS.2120,group00629
TBepi3256.genome.CDS.2127,group06326
TBepi3256.genome.CDS.2126,group01858
TBepi3256.genome.CDS.2125,group00038
TBepi3256.genome.CDS.882,group01111
TBepi3256.genome.CDS.2128,group01297
TBepi3256.genome.CDS.2636,group00224
TBepi3256.genome.CDS.2635,group00603
TBepi3256.genome.CDS.2634,group00604
TBepi3256.genome.CDS.2633,group00142
TBepi3256.genome.CDS.2632,group02087
TBepi3256.genome.CDS.2630,group02053
TBepi3256.genome.CDS.2639,group01984
TBepi3256.genome.CDS.2638,group03583
TBepi3256.genome.CDS.2387,group03569
TBepi3256.genome.CDS.2385,group00025
TBepi3256.genome.CDS.2384,group03411
TBepi3256.genome.CDS.2383,group02287
TBepi3256.genome.CDS.2382,group02288
TBepi3256.genome.CDS.2381,group01358
TBepi3256.genome.CDS.2380,group00483
TBepi3256.genome.CDS.2389,group00020
TBepi3256.genome.CDS.2388,group06377
TBepi3256.genome.CDS.2419,group06378
TBepi3256.genome.CDS.2418,group06379
TBepi3256.genome.CDS.2417,group03757
TBepi3256.genome.CDS.2416,group01118
TBepi3256.genome.CDS.2415,group01338
TBepi3256.genome.CDS.2414,group00107
TBepi3256.genome.CDS.2413,group00107
TBepi3256.genome.CDS.2412,group00555
TBepi3256.genome.CDS.2411,group03082
TBepi3256.genome.CDS.2410,group00527
TBepi3256.genome.CDS.2259,group01136
TBepi3256.genome.CDS.3653,group01422
TBepi3256.genome.CDS.2709,group00762
TBepi3256.genome.CDS.2708,group00631
TBepi3256.genome.CDS.3656,group03202
TBepi3256.genome.CDS.3657,group01545
TBepi3256.genome.CDS.3654,group02115
TBepi3256.genome.CDS.3655,group01109
TBepi3256.genome.CDS.2251,group00607
TBepi3256.genome.CDS.2250,group00655
TBepi3256.genome.CDS.2701,group00972
TBepi3256.genome.CDS.2700,group06141
TBepi3256.genome.CDS.2707,group06146
TBepi3256.genome.CDS.2254,group06351
TBepi3256.genome.CDS.2705,group01020
TBepi3256.genome.CDS.2256,group03437
TBepi3256.genome.CDS.3094,group04200
TBepi3256.genome.CDS.3096,group06215
TBepi3256.genome.CDS.3097,group04510
TBepi3256.genome.CDS.3090,group04932
TBepi3256.genome.CDS.3091,group05468
TBepi3256.genome.CDS.3092,group00641
TBepi3256.genome.CDS.3093,group00672
TBepi3256.genome.CDS.3098,group05223
TBepi3256.genome.CDS.3099,group00682
TBepi3256.genome.CDS.3078,group04508
TBepi3256.genome.CDS.3072,group02902
TBepi3256.genome.CDS.3073,group03141
TBepi3256.genome.CDS.3071,group03138
TBepi3256.genome.CDS.3076,group00576
TBepi3256.genome.CDS.3074,group00113
TBepi3256.genome.CDS.3075,group01296
TBepi3256.genome.CDS.3476,group02713
TBepi3256.genome.CDS.3477,group00287
TBepi3256.genome.CDS.3475,group00251
TBepi3256.genome.CDS.3472,group00228
TBepi3256.genome.CDS.3473,group00442
TBepi3256.genome.CDS.3470,group01359
TBepi3256.genome.CDS.3471,group00836
TBepi3256.genome.CDS.3478,group00220
TBepi3256.genome.CDS.3479,group05091
TBepi3256.genome.CDS.3388,group06268
TBepi3256.genome.CDS.3389,group03211
TBepi3256.genome.CDS.3380,group01828
TBepi3256.genome.CDS.3381,group01735
TBepi3256.genome.CDS.3382,group00668
TBepi3256.genome.CDS.3383,group01177
TBepi3256.genome.CDS.3384,group00314
TBepi3256.genome.CDS.3386,group04080
TBepi3256.genome.CDS.3387,group06262
TBepi3256.genome.CDS.3278,group00295
TBepi3256.genome.CDS.3279,group00196
TBepi3256.genome.CDS.3274,group01097
TBepi3256.genome.CDS.3275,group00371
TBepi3256.genome.CDS.3276,group00170
TBepi3256.genome.CDS.3277,group00334
TBepi3256.genome.CDS.3270,group01185
TBepi3256.genome.CDS.3271,group00259
TBepi3256.genome.CDS.3272,group06241
TBepi3256.genome.CDS.3273,group00474
TBepi3256.genome.CDS.519,group01652
TBepi3256.genome.CDS.3465,group01184
TBepi3256.genome.CDS.3464,group01248
TBepi3256.genome.CDS.3467,group02136
TBepi3256.genome.CDS.3466,group01249
TBepi3256.genome.CDS.3461,group01360
TBepi3256.genome.CDS.2249,group00477
TBepi3256.genome.CDS.3460,group01872
TBepi3256.genome.CDS.3463,group01183
TBepi3256.genome.CDS.3390,group01595
TBepi3256.genome.CDS.3542,group01378
TBepi3256.genome.CDS.3015,group05645
TBepi3256.genome.CDS.823,group06414
TBepi3256.genome.CDS.3540,group00608
TBepi3256.genome.CDS.1657,group06274
TBepi3256.genome.CDS.3541,group01280
TBepi3256.genome.CDS.3546,group06278
TBepi3256.genome.CDS.3547,group06277
TBepi3256.genome.CDS.3012,group06206
TBepi3256.genome.CDS.3545,group06279
TBepi3256.genome.CDS.1818,group06311
TBepi3256.genome.CDS.1819,group01227
TBepi3256.genome.CDS.1816,group00025
TBepi3256.genome.CDS.1817,group04104
TBepi3256.genome.CDS.1814,group00004
TBepi3256.genome.CDS.1815,group01522
TBepi3256.genome.CDS.1812,group00985
TBepi3256.genome.CDS.1813,group00016
TBepi3256.genome.CDS.1810,group06295
TBepi3256.genome.CDS.1811,group05347
TBepi3256.genome.CDS.2134,group00088
TBepi3256.genome.CDS.2135,group03696
TBepi3256.genome.CDS.2136,group00032
TBepi3256.genome.CDS.2137,group06329
TBepi3256.genome.CDS.2130,group01075
TBepi3256.genome.CDS.2131,group00849
TBepi3256.genome.CDS.2132,group01431
TBepi3256.genome.CDS.2133,group02102
TBepi3256.genome.CDS.2138,group03328
TBepi3256.genome.CDS.2139,group05202
TBepi3256.genome.CDS.2398,group00600
TBepi3256.genome.CDS.2399,group00493
TBepi3256.genome.CDS.2390,group00839
TBepi3256.genome.CDS.2391,group00021
TBepi3256.genome.CDS.2392,group00185
TBepi3256.genome.CDS.2393,group01788
TBepi3256.genome.CDS.2394,group01711
TBepi3256.genome.CDS.2395,group01240
TBepi3256.genome.CDS.2396,group00311
TBepi3256.genome.CDS.2397,group00585
TBepi3256.genome.CDS.851,group06133
TBepi3256.genome.CDS.2628,group06411
TBepi3256.genome.CDS.2629,group03195
TBepi3256.genome.CDS.2620,group01042
TBepi3256.genome.CDS.2621,group00419
TBepi3256.genome.CDS.2622,group04066
TBepi3256.genome.CDS.2623,group04065
TBepi3256.genome.CDS.2624,group02629
TBepi3256.genome.CDS.2625,group01649
TBepi3256.genome.CDS.2626,group03697
TBepi3256.genome.CDS.2627,group06412
TBepi3256.genome.CDS.2400,group00415
TBepi3256.genome.CDS.2401,group00556
TBepi3256.genome.CDS.2402,group02984
TBepi3256.genome.CDS.2403,group02716
TBepi3256.genome.CDS.2404,group01640
TBepi3256.genome.CDS.2405,group02647
TBepi3256.genome.CDS.2407,group06380
TBepi3256.genome.CDS.2408,group03081
TBepi3256.genome.CDS.2409,group02807
TBepi3256.genome.CDS.3667,group06300
TBepi3256.genome.CDS.3666,group01108
TBepi3256.genome.CDS.2248,group05145
TBepi3256.genome.CDS.3664,group05635
TBepi3256.genome.CDS.3663,group06301
TBepi3256.genome.CDS.3662,group05761
TBepi3256.genome.CDS.3661,group06302
TBepi3256.genome.CDS.3660,group06303
TBepi3256.genome.CDS.2242,group00593
TBepi3256.genome.CDS.2715,group05219
TBepi3256.genome.CDS.2240,group00454
TBepi3256.genome.CDS.2241,group00215
TBepi3256.genome.CDS.2710,group00316
TBepi3256.genome.CDS.2247,group03130
TBepi3256.genome.CDS.2244,group02403
TBepi3256.genome.CDS.2245,group03510
TBepi3256.genome.CDS.181,group02729
TBepi3256.genome.CDS.2680,group01192
TBepi3256.genome.CDS.450,group06350
TBepi3256.genome.CDS.457,group03193
TBepi3256.genome.CDS.3049,group04994
TBepi3256.genome.CDS.3048,group03944
TBepi3256.genome.CDS.3047,group01612
TBepi3256.genome.CDS.3046,group01471
TBepi3256.genome.CDS.3045,group00323
TBepi3256.genome.CDS.3044,group00138
TBepi3256.genome.CDS.3043,group00480
TBepi3256.genome.CDS.3042,group01873
TBepi3256.genome.CDS.3040,group00547
TBepi3256.genome.CDS.3449,group01604
TBepi3256.genome.CDS.3448,group00626
TBepi3256.genome.CDS.3443,group00320
TBepi3256.genome.CDS.3442,group00505
TBepi3256.genome.CDS.3441,group00184
TBepi3256.genome.CDS.3440,group00535
TBepi3256.genome.CDS.3447,group01872
TBepi3256.genome.CDS.3446,group00217
TBepi3256.genome.CDS.3445,group00206
TBepi3256.genome.CDS.3444,group01293
TBepi3256.genome.CDS.3281,group00085
TBepi3256.genome.CDS.3280,group00101
TBepi3256.genome.CDS.3283,group00294
TBepi3256.genome.CDS.3282,group00041
TBepi3256.genome.CDS.3285,group00424
TBepi3256.genome.CDS.3284,group00166
TBepi3256.genome.CDS.3287,group06246
TBepi3256.genome.CDS.3286,group01363
TBepi3256.genome.CDS.3289,group01559
TBepi3256.genome.CDS.3288,group01608
TBepi3256.genome.CDS.221,group03202
TBepi3256.genome.CDS.2697,group01456
TBepi3256.genome.CDS.1620,group02499
TBepi3256.genome.CDS.1535,group00447
TBepi3256.genome.CDS.1821,group03345
TBepi3256.genome.CDS.1820,group01981
