AAA023D18.genome.CDS.834,group00573
AAA023D18.genome.CDS.1427,group00800
AAA023D18.genome.CDS.1488,group01567
AAA023D18.genome.CDS.1489,group01604
AAA023D18.genome.CDS.1486,group00330
AAA023D18.genome.CDS.1487,group00514
AAA023D18.genome.CDS.1484,group09448
AAA023D18.genome.CDS.1485,group00213
AAA023D18.genome.CDS.1482,group00290
AAA023D18.genome.CDS.1483,group09449
AAA023D18.genome.CDS.1480,group00048
AAA023D18.genome.CDS.1481,group00222
AAA023D18.genome.CDS.976,group02371
AAA023D18.genome.CDS.1038,group00326
AAA023D18.genome.CDS.952,group00559
AAA023D18.genome.CDS.953,group01209
AAA023D18.genome.CDS.950,group02652
AAA023D18.genome.CDS.951,group01151
AAA023D18.genome.CDS.956,group01402
AAA023D18.genome.CDS.957,group01152
AAA023D18.genome.CDS.954,group01312
AAA023D18.genome.CDS.955,group01460
AAA023D18.genome.CDS.958,group00663
AAA023D18.genome.CDS.959,group00682
AAA023D18.genome.CDS.836,group00038
AAA023D18.genome.CDS.1136,group00253
AAA023D18.genome.CDS.1137,group00833
AAA023D18.genome.CDS.1134,group01069
AAA023D18.genome.CDS.1135,group01269
AAA023D18.genome.CDS.1132,group00882
AAA023D18.genome.CDS.1133,group00142
AAA023D18.genome.CDS.1130,group00081
AAA023D18.genome.CDS.1425,group00252
AAA023D18.genome.CDS.833,group01007
AAA023D18.genome.CDS.1138,group00149
AAA023D18.genome.CDS.1139,group00899
AAA023D18.genome.CDS.1002,group00000
AAA023D18.genome.CDS.1003,group02107
AAA023D18.genome.CDS.1000,group00849
AAA023D18.genome.CDS.1001,group00975
AAA023D18.genome.CDS.822,group00894
AAA023D18.genome.CDS.1007,group03396
AAA023D18.genome.CDS.820,group00802
AAA023D18.genome.CDS.1005,group00626
AAA023D18.genome.CDS.835,group00529
AAA023D18.genome.CDS.1008,group01733
AAA023D18.genome.CDS.1009,group09443
AAA023D18.genome.CDS.828,group00280
AAA023D18.genome.CDS.829,group00409
AAA023D18.genome.CDS.1439,group00801
AAA023D18.genome.CDS.1438,group00666
AAA023D18.genome.CDS.1422,group00412
AAA023D18.genome.CDS.789,group01227
AAA023D18.genome.CDS.788,group01091
AAA023D18.genome.CDS.787,group01438
AAA023D18.genome.CDS.1432,group00227
AAA023D18.genome.CDS.785,group00417
AAA023D18.genome.CDS.1430,group00640
AAA023D18.genome.CDS.783,group00418
AAA023D18.genome.CDS.1068,group00491
AAA023D18.genome.CDS.781,group01676
AAA023D18.genome.CDS.1434,group00444
AAA023D18.genome.CDS.1345,group00275
AAA023D18.genome.CDS.1344,group00392
AAA023D18.genome.CDS.1347,group00134
AAA023D18.genome.CDS.1346,group00354
AAA023D18.genome.CDS.1341,group00471
AAA023D18.genome.CDS.1340,group09469
AAA023D18.genome.CDS.1343,group00012
AAA023D18.genome.CDS.1342,group00453
AAA023D18.genome.CDS.1222,group00383
AAA023D18.genome.CDS.1220,group05425
AAA023D18.genome.CDS.1221,group00943
AAA023D18.genome.CDS.1349,group00160
AAA023D18.genome.CDS.1348,group00159
AAA023D18.genome.CDS.1224,group00512
AAA023D18.genome.CDS.1225,group01545
AAA023D18.genome.CDS.909,group01087
AAA023D18.genome.CDS.1509,group00961
AAA023D18.genome.CDS.1508,group00707
AAA023D18.genome.CDS.1507,group00709
AAA023D18.genome.CDS.1506,group00575
AAA023D18.genome.CDS.1505,group00826
AAA023D18.genome.CDS.1504,group02624
AAA023D18.genome.CDS.1503,group00212
AAA023D18.genome.CDS.1502,group00403
AAA023D18.genome.CDS.1501,group00180
AAA023D18.genome.CDS.1500,group09451
AAA023D18.genome.CDS.1392,group00237
AAA023D18.genome.CDS.864,group00560
AAA023D18.genome.CDS.1393,group00459
AAA023D18.genome.CDS.865,group00402
AAA023D18.genome.CDS.964,group00368
AAA023D18.genome.CDS.1390,group00279
AAA023D18.genome.CDS.1046,group00480
AAA023D18.genome.CDS.1159,group00723
AAA023D18.genome.CDS.1391,group00322
AAA023D18.genome.CDS.1049,group00484
AAA023D18.genome.CDS.900,group00015
AAA023D18.genome.CDS.784,group00528
AAA023D18.genome.CDS.903,group01453
AAA023D18.genome.CDS.758,group00570
AAA023D18.genome.CDS.902,group03700
AAA023D18.genome.CDS.1451,group00347
AAA023D18.genome.CDS.759,group00509
AAA023D18.genome.CDS.905,group00583
AAA023D18.genome.CDS.777,group00712
AAA023D18.genome.CDS.904,group01057
AAA023D18.genome.CDS.1253,group00850
AAA023D18.genome.CDS.907,group00870
AAA023D18.genome.CDS.1520,group00024
AAA023D18.genome.CDS.906,group00684
AAA023D18.genome.CDS.1398,group00442
AAA023D18.genome.CDS.1522,group01185
AAA023D18.genome.CDS.1219,group03243
AAA023D18.genome.CDS.762,group00625
AAA023D18.genome.CDS.1257,group00504
AAA023D18.genome.CDS.1351,group00250
AAA023D18.genome.CDS.1256,group00569
AAA023D18.genome.CDS.750,group01894
AAA023D18.genome.CDS.1112,group05423
AAA023D18.genome.CDS.1527,group02196
AAA023D18.genome.CDS.1216,group00505
AAA023D18.genome.CDS.1526,group00096
AAA023D18.genome.CDS.1016,group00071
AAA023D18.genome.CDS.754,group00011
AAA023D18.genome.CDS.775,group00955
AAA023D18.genome.CDS.1212,group00834
AAA023D18.genome.CDS.888,group00969
AAA023D18.genome.CDS.1211,group00743
AAA023D18.genome.CDS.1359,group00329
AAA023D18.genome.CDS.1459,group01002
AAA023D18.genome.CDS.1458,group00668
AAA023D18.genome.CDS.1076,group01010
AAA023D18.genome.CDS.1512,group09458
AAA023D18.genome.CDS.1513,group00179
AAA023D18.genome.CDS.761,group00624
AAA023D18.genome.CDS.773,group00510
AAA023D18.genome.CDS.889,group00991
AAA023D18.genome.CDS.763,group00341
AAA023D18.genome.CDS.862,group00767
AAA023D18.genome.CDS.863,group01149
AAA023D18.genome.CDS.860,group01128
AAA023D18.genome.CDS.861,group00806
AAA023D18.genome.CDS.866,group00435
AAA023D18.genome.CDS.867,group00869
AAA023D18.genome.CDS.1048,group00323
AAA023D18.genome.CDS.1102,group00810
AAA023D18.genome.CDS.901,group01388
AAA023D18.genome.CDS.1262,group01482
AAA023D18.genome.CDS.868,group09425
AAA023D18.genome.CDS.869,group00460
AAA023D18.genome.CDS.1042,group00880
AAA023D18.genome.CDS.1453,group01821
AAA023D18.genome.CDS.1040,group00492
AAA023D18.genome.CDS.1041,group00461
AAA023D18.genome.CDS.1100,group01343
AAA023D18.genome.CDS.1260,group01704
AAA023D18.genome.CDS.1107,group01115
AAA023D18.genome.CDS.1261,group00858
AAA023D18.genome.CDS.1092,group00603
AAA023D18.genome.CDS.1106,group00804
AAA023D18.genome.CDS.1266,group00558
AAA023D18.genome.CDS.760,group00231
AAA023D18.genome.CDS.1264,group00787
AAA023D18.genome.CDS.1265,group00557
AAA023D18.genome.CDS.765,group00161
AAA023D18.genome.CDS.1105,group00998
AAA023D18.genome.CDS.767,group00232
AAA023D18.genome.CDS.1148,group09452
AAA023D18.genome.CDS.1147,group00411
AAA023D18.genome.CDS.881,group00602
AAA023D18.genome.CDS.1145,group00399
AAA023D18.genome.CDS.1104,group00473
AAA023D18.genome.CDS.884,group00069
AAA023D18.genome.CDS.885,group00264
AAA023D18.genome.CDS.1141,group00938
AAA023D18.genome.CDS.887,group03024
AAA023D18.genome.CDS.1460,group03020
AAA023D18.genome.CDS.1461,group09439
AAA023D18.genome.CDS.1462,group01006
AAA023D18.genome.CDS.1463,group01147
AAA023D18.genome.CDS.1464,group01059
AAA023D18.genome.CDS.1465,group01523
AAA023D18.genome.CDS.1466,group01057
AAA023D18.genome.CDS.1467,group00262
AAA023D18.genome.CDS.1468,group00028
AAA023D18.genome.CDS.1469,group00452
AAA023D18.genome.CDS.1142,group00167
AAA023D18.genome.CDS.1549,group00929
AAA023D18.genome.CDS.1548,group00115
AAA023D18.genome.CDS.1268,group00755
AAA023D18.genome.CDS.1406,group00735
AAA023D18.genome.CDS.1543,group00568
AAA023D18.genome.CDS.1542,group00443
AAA023D18.genome.CDS.1541,group00212
AAA023D18.genome.CDS.1540,group09465
AAA023D18.genome.CDS.1547,group00122
AAA023D18.genome.CDS.1546,group03225
AAA023D18.genome.CDS.1545,group09467
AAA023D18.genome.CDS.1544,group09466
AAA023D18.genome.CDS.248,group09444
AAA023D18.genome.CDS.1267,group01366
AAA023D18.genome.CDS.1318,group00276
AAA023D18.genome.CDS.1319,group00677
AAA023D18.genome.CDS.1407,group00475
AAA023D18.genome.CDS.1312,group00047
AAA023D18.genome.CDS.1311,group00189
AAA023D18.genome.CDS.1316,group00064
AAA023D18.genome.CDS.1317,group00963
AAA023D18.genome.CDS.1314,group00068
AAA023D18.genome.CDS.1381,group00596
AAA023D18.genome.CDS.1380,group09436
AAA023D18.genome.CDS.1383,group00774
AAA023D18.genome.CDS.1382,group00734
AAA023D18.genome.CDS.1385,group00521
AAA023D18.genome.CDS.1384,group00689
AAA023D18.genome.CDS.1387,group00128
AAA023D18.genome.CDS.1386,group01028
AAA023D18.genome.CDS.1389,group00925
AAA023D18.genome.CDS.1388,group00128
AAA023D18.genome.CDS.1217,group05074
AAA023D18.genome.CDS.782,group01038
AAA023D18.genome.CDS.1077,group00439
AAA023D18.genome.CDS.1047,group00138
AAA023D18.genome.CDS.1131,group00191
AAA023D18.genome.CDS.1405,group00343
AAA023D18.genome.CDS.1023,group01959
AAA023D18.genome.CDS.1433,group00893
AAA023D18.genome.CDS.769,group00967
AAA023D18.genome.CDS.1402,group00785
AAA023D18.genome.CDS.826,group00281
AAA023D18.genome.CDS.827,group00214
AAA023D18.genome.CDS.1263,group00817
AAA023D18.genome.CDS.824,group00174
AAA023D18.genome.CDS.825,group01018
AAA023D18.genome.CDS.1431,group00876
AAA023D18.genome.CDS.1006,group01756
AAA023D18.genome.CDS.823,group00285
AAA023D18.genome.CDS.1004,group00468
AAA023D18.genome.CDS.980,group00855
AAA023D18.genome.CDS.821,group00074
AAA023D18.genome.CDS.945,group03124
AAA023D18.genome.CDS.944,group00687
AAA023D18.genome.CDS.947,group01061
AAA023D18.genome.CDS.946,group01762
AAA023D18.genome.CDS.941,group00036
AAA023D18.genome.CDS.940,group02210
AAA023D18.genome.CDS.943,group00796
AAA023D18.genome.CDS.942,group05431
AAA023D18.genome.CDS.949,group00536
AAA023D18.genome.CDS.948,group02406
AAA023D18.genome.CDS.1401,group00176
AAA023D18.genome.CDS.1437,group00771
AAA023D18.genome.CDS.1044,group00133
AAA023D18.genome.CDS.339,group01464
AAA023D18.genome.CDS.1037,group00445
AAA023D18.genome.CDS.1036,group00268
AAA023D18.genome.CDS.932,group00434
AAA023D18.genome.CDS.933,group00788
AAA023D18.genome.CDS.1033,group00720
AAA023D18.genome.CDS.935,group01728
AAA023D18.genome.CDS.936,group00860
AAA023D18.genome.CDS.937,group00036
AAA023D18.genome.CDS.938,group01140
AAA023D18.genome.CDS.939,group00000
AAA023D18.genome.CDS.1039,group00404
AAA023D18.genome.CDS.1436,group00557
AAA023D18.genome.CDS.839,group00203
AAA023D18.genome.CDS.838,group00795
AAA023D18.genome.CDS.1428,group00526
AAA023D18.genome.CDS.1429,group00665
AAA023D18.genome.CDS.831,group00438
AAA023D18.genome.CDS.830,group00216
AAA023D18.genome.CDS.1426,group00376
AAA023D18.genome.CDS.832,group00864
AAA023D18.genome.CDS.1420,group00227
AAA023D18.genome.CDS.1421,group00297
AAA023D18.genome.CDS.837,group00696
AAA023D18.genome.CDS.1423,group00296
AAA023D18.genome.CDS.1103,group00648
AAA023D18.genome.CDS.1356,group00225
AAA023D18.genome.CDS.1357,group00240
AAA023D18.genome.CDS.1354,group00245
AAA023D18.genome.CDS.1355,group00437
AAA023D18.genome.CDS.1352,group01105
AAA023D18.genome.CDS.1353,group05380
AAA023D18.genome.CDS.1350,group00219
AAA023D18.genome.CDS.1218,group03345
AAA023D18.genome.CDS.1078,group00386
AAA023D18.genome.CDS.1399,group00753
AAA023D18.genome.CDS.1215,group00500
AAA023D18.genome.CDS.1214,group01103
AAA023D18.genome.CDS.1213,group01146
AAA023D18.genome.CDS.755,group00636
AAA023D18.genome.CDS.1358,group00027
AAA023D18.genome.CDS.1210,group00688
AAA023D18.genome.CDS.1510,group03472
AAA023D18.genome.CDS.1511,group01185
AAA023D18.genome.CDS.1109,group09456
AAA023D18.genome.CDS.1108,group09457
AAA023D18.genome.CDS.1514,group00823
AAA023D18.genome.CDS.1516,group00197
AAA023D18.genome.CDS.1517,group09459
AAA023D18.genome.CDS.1518,group00238
AAA023D18.genome.CDS.1519,group00914
AAA023D18.genome.CDS.1101,group00951
AAA023D18.genome.CDS.1452,group00658
AAA023D18.genome.CDS.1455,group09438
AAA023D18.genome.CDS.1454,group00242
AAA023D18.genome.CDS.1457,group01289
AAA023D18.genome.CDS.1456,group00029
AAA023D18.genome.CDS.1435,group09437
AAA023D18.genome.CDS.919,group01854
AAA023D18.genome.CDS.1059,group00235
AAA023D18.genome.CDS.1191,group01158
AAA023D18.genome.CDS.1146,group00369
AAA023D18.genome.CDS.1192,group01013
AAA023D18.genome.CDS.1193,group00985
AAA023D18.genome.CDS.1055,group00261
AAA023D18.genome.CDS.1054,group00031
AAA023D18.genome.CDS.997,group09445
AAA023D18.genome.CDS.1057,group00719
AAA023D18.genome.CDS.854,group09430
AAA023D18.genome.CDS.853,group09431
AAA023D18.genome.CDS.1228,group00301
AAA023D18.genome.CDS.852,group09432
AAA023D18.genome.CDS.1229,group00051
AAA023D18.genome.CDS.1269,group00946
AAA023D18.genome.CDS.1053,group00405
AAA023D18.genome.CDS.1052,group00990
AAA023D18.genome.CDS.1144,group01199
AAA023D18.genome.CDS.786,group00739
AAA023D18.genome.CDS.1170,group00114
AAA023D18.genome.CDS.1143,group01263
AAA023D18.genome.CDS.1226,group01621
AAA023D18.genome.CDS.1227,group00177
AAA023D18.genome.CDS.1073,group00004
AAA023D18.genome.CDS.874,group00791
AAA023D18.genome.CDS.877,group00775
AAA023D18.genome.CDS.1070,group00141
AAA023D18.genome.CDS.978,group02763
AAA023D18.genome.CDS.979,group01078
AAA023D18.genome.CDS.1075,group00634
AAA023D18.genome.CDS.1074,group00516
AAA023D18.genome.CDS.974,group01794
AAA023D18.genome.CDS.975,group01570
AAA023D18.genome.CDS.1079,group00139
AAA023D18.genome.CDS.977,group01555
AAA023D18.genome.CDS.879,group01819
AAA023D18.genome.CDS.878,group00846
AAA023D18.genome.CDS.972,group02170
AAA023D18.genome.CDS.973,group00843
AAA023D18.genome.CDS.969,group04117
AAA023D18.genome.CDS.968,group00116
AAA023D18.genome.CDS.1099,group01672
AAA023D18.genome.CDS.1151,group00165
AAA023D18.genome.CDS.899,group02838
AAA023D18.genome.CDS.1153,group00045
AAA023D18.genome.CDS.1154,group00637
AAA023D18.genome.CDS.1155,group01032
AAA023D18.genome.CDS.1156,group00581
AAA023D18.genome.CDS.1157,group00525
AAA023D18.genome.CDS.1158,group00698
AAA023D18.genome.CDS.1090,group00694
AAA023D18.genome.CDS.1093,group01434
AAA023D18.genome.CDS.890,group02111
AAA023D18.genome.CDS.1095,group01285
AAA023D18.genome.CDS.896,group01744
AAA023D18.genome.CDS.895,group01145
AAA023D18.genome.CDS.1096,group00044
AAA023D18.genome.CDS.800,group00001
AAA023D18.genome.CDS.801,group00003
AAA023D18.genome.CDS.1417,group00340
AAA023D18.genome.CDS.1416,group00638
AAA023D18.genome.CDS.1411,group01150
AAA023D18.genome.CDS.1410,group00705
AAA023D18.genome.CDS.1413,group01665
AAA023D18.genome.CDS.1412,group00978
AAA023D18.genome.CDS.471,group03536
AAA023D18.genome.CDS.809,group00494
AAA023D18.genome.CDS.1419,group00011
AAA023D18.genome.CDS.474,group00725
AAA023D18.genome.CDS.962,group00230
AAA023D18.genome.CDS.1179,group00060
AAA023D18.genome.CDS.1140,group00108
AAA023D18.genome.CDS.1550,group00071
AAA023D18.genome.CDS.778,group00009
AAA023D18.genome.CDS.1272,group02171
AAA023D18.genome.CDS.991,group09446
AAA023D18.genome.CDS.1299,group00890
AAA023D18.genome.CDS.776,group00014
AAA023D18.genome.CDS.1329,group00692
AAA023D18.genome.CDS.1328,group00889
AAA023D18.genome.CDS.1327,group00025
AAA023D18.genome.CDS.1326,group01030
AAA023D18.genome.CDS.1325,group00370
AAA023D18.genome.CDS.1324,group00277
AAA023D18.genome.CDS.1323,group00355
AAA023D18.genome.CDS.1322,group00865
AAA023D18.genome.CDS.1321,group00999
AAA023D18.genome.CDS.1320,group00703
AAA023D18.genome.CDS.1529,group01026
AAA023D18.genome.CDS.1528,group00242
AAA023D18.genome.CDS.1259,group00266
