AAA027E14.genome.CDS.1398,group00502
AAA027E14.genome.CDS.973,group00095
AAA027E14.genome.CDS.972,group01827
AAA027E14.genome.CDS.1038,group00449
AAA027E14.genome.CDS.1039,group00448
AAA027E14.genome.CDS.977,group00273
AAA027E14.genome.CDS.976,group00208
AAA027E14.genome.CDS.975,group00181
AAA027E14.genome.CDS.1482,group00886
AAA027E14.genome.CDS.1032,group00300
AAA027E14.genome.CDS.1033,group00194
AAA027E14.genome.CDS.979,group00274
AAA027E14.genome.CDS.1031,group12709
AAA027E14.genome.CDS.1036,group00348
AAA027E14.genome.CDS.1037,group00387
AAA027E14.genome.CDS.1035,group00137
AAA027E14.genome.CDS.815,group01227
AAA027E14.genome.CDS.1521,group00787
AAA027E14.genome.CDS.1578,group00629
AAA027E14.genome.CDS.1522,group00568
AAA027E14.genome.CDS.888,group01184
AAA027E14.genome.CDS.1222,group00402
AAA027E14.genome.CDS.890,group01024
AAA027E14.genome.CDS.891,group01053
AAA027E14.genome.CDS.892,group00028
AAA027E14.genome.CDS.893,group02150
AAA027E14.genome.CDS.894,group01083
AAA027E14.genome.CDS.895,group02744
AAA027E14.genome.CDS.896,group01505
AAA027E14.genome.CDS.897,group01325
AAA027E14.genome.CDS.898,group00051
AAA027E14.genome.CDS.899,group00301
AAA027E14.genome.CDS.811,group01328
AAA027E14.genome.CDS.393,group01419
AAA027E14.genome.CDS.253,group02511
AAA027E14.genome.CDS.1573,group00874
AAA027E14.genome.CDS.809,group03276
AAA027E14.genome.CDS.808,group01547
AAA027E14.genome.CDS.1279,group00488
AAA027E14.genome.CDS.803,group02569
AAA027E14.genome.CDS.802,group00339
AAA027E14.genome.CDS.801,group02579
AAA027E14.genome.CDS.800,group02570
AAA027E14.genome.CDS.807,group01676
AAA027E14.genome.CDS.806,group05371
AAA027E14.genome.CDS.805,group04178
AAA027E14.genome.CDS.804,group12723
AAA027E14.genome.CDS.1328,group02366
AAA027E14.genome.CDS.1329,group04200
AAA027E14.genome.CDS.1326,group00110
AAA027E14.genome.CDS.1327,group02554
AAA027E14.genome.CDS.1324,group00335
AAA027E14.genome.CDS.1325,group00120
AAA027E14.genome.CDS.1322,group00757
AAA027E14.genome.CDS.1323,group00125
AAA027E14.genome.CDS.1320,group00166
AAA027E14.genome.CDS.1321,group01363
AAA027E14.genome.CDS.1348,group02114
AAA027E14.genome.CDS.327,group02526
AAA027E14.genome.CDS.322,group02651
AAA027E14.genome.CDS.323,group01351
AAA027E14.genome.CDS.321,group02651
AAA027E14.genome.CDS.970,group00150
AAA027E14.genome.CDS.1272,group00020
AAA027E14.genome.CDS.1252,group01044
AAA027E14.genome.CDS.814,group05391
AAA027E14.genome.CDS.1399,group00255
AAA027E14.genome.CDS.1251,group00635
AAA027E14.genome.CDS.1256,group00299
AAA027E14.genome.CDS.1257,group01888
AAA027E14.genome.CDS.1254,group01571
AAA027E14.genome.CDS.1393,group01784
AAA027E14.genome.CDS.1392,group01785
AAA027E14.genome.CDS.1391,group01593
AAA027E14.genome.CDS.1259,group01887
AAA027E14.genome.CDS.1397,group00045
AAA027E14.genome.CDS.1396,group01496
AAA027E14.genome.CDS.1395,group02225
AAA027E14.genome.CDS.1394,group00023
AAA027E14.genome.CDS.1494,group00228
AAA027E14.genome.CDS.1495,group01450
AAA027E14.genome.CDS.1496,group00234
AAA027E14.genome.CDS.1497,group01362
AAA027E14.genome.CDS.1559,group12764
AAA027E14.genome.CDS.1558,group01443
AAA027E14.genome.CDS.1492,group05547
AAA027E14.genome.CDS.1493,group01502
AAA027E14.genome.CDS.1555,group01489
AAA027E14.genome.CDS.1554,group01638
AAA027E14.genome.CDS.1557,group12765
AAA027E14.genome.CDS.1556,group00061
AAA027E14.genome.CDS.1551,group01433
AAA027E14.genome.CDS.1499,group00668
AAA027E14.genome.CDS.1553,group00053
AAA027E14.genome.CDS.1552,group01812
AAA027E14.genome.CDS.978,group00309
AAA027E14.genome.CDS.1178,group01447
AAA027E14.genome.CDS.1478,group00017
AAA027E14.genome.CDS.1060,group01308
AAA027E14.genome.CDS.1472,group00946
AAA027E14.genome.CDS.1473,group00945
AAA027E14.genome.CDS.1470,group00557
AAA027E14.genome.CDS.1471,group00558
AAA027E14.genome.CDS.1476,group00992
AAA027E14.genome.CDS.1477,group01282
AAA027E14.genome.CDS.1474,group00709
AAA027E14.genome.CDS.1475,group00738
AAA027E14.genome.CDS.1076,group00152
AAA027E14.genome.CDS.1077,group00259
AAA027E14.genome.CDS.1074,group01161
AAA027E14.genome.CDS.1075,group00060
AAA027E14.genome.CDS.1072,group00057
AAA027E14.genome.CDS.1073,group01898
AAA027E14.genome.CDS.1179,group00936
AAA027E14.genome.CDS.36,group01532
AAA027E14.genome.CDS.1177,group01507
AAA027E14.genome.CDS.1176,group02586
AAA027E14.genome.CDS.1175,group02687
AAA027E14.genome.CDS.1173,group03466
AAA027E14.genome.CDS.1172,group03963
AAA027E14.genome.CDS.1078,group01218
AAA027E14.genome.CDS.1170,group01686
AAA027E14.genome.CDS.939,group01946
AAA027E14.genome.CDS.938,group01644
AAA027E14.genome.CDS.937,group02208
AAA027E14.genome.CDS.936,group02169
AAA027E14.genome.CDS.935,group02820
AAA027E14.genome.CDS.934,group00036
AAA027E14.genome.CDS.933,group02549
AAA027E14.genome.CDS.932,group00598
AAA027E14.genome.CDS.931,group00037
AAA027E14.genome.CDS.930,group04686
AAA027E14.genome.CDS.971,group00129
AAA027E14.genome.CDS.1067,group12713
AAA027E14.genome.CDS.1608,group01683
AAA027E14.genome.CDS.1066,group00361
AAA027E14.genome.CDS.1601,group01834
AAA027E14.genome.CDS.1600,group05573
AAA027E14.genome.CDS.1603,group01772
AAA027E14.genome.CDS.1602,group01893
AAA027E14.genome.CDS.1605,group02773
AAA027E14.genome.CDS.1604,group01869
AAA027E14.genome.CDS.1607,group02196
AAA027E14.genome.CDS.1606,group01475
AAA027E14.genome.CDS.734,group02651
AAA027E14.genome.CDS.988,group01771
AAA027E14.genome.CDS.989,group01409
AAA027E14.genome.CDS.1598,group12774
AAA027E14.genome.CDS.982,group00158
AAA027E14.genome.CDS.983,group00059
AAA027E14.genome.CDS.980,group00121
AAA027E14.genome.CDS.981,group00157
AAA027E14.genome.CDS.986,group00436
AAA027E14.genome.CDS.987,group00973
AAA027E14.genome.CDS.984,group00239
AAA027E14.genome.CDS.985,group00089
AAA027E14.genome.CDS.1142,group00547
AAA027E14.genome.CDS.1143,group00484
AAA027E14.genome.CDS.1416,group01498
AAA027E14.genome.CDS.55,group12753
AAA027E14.genome.CDS.57,group12751
AAA027E14.genome.CDS.1417,group12725
AAA027E14.genome.CDS.1069,group01748
AAA027E14.genome.CDS.1147,group00021
AAA027E14.genome.CDS.296,group12711
AAA027E14.genome.CDS.1458,group03674
AAA027E14.genome.CDS.449,group00374
AAA027E14.genome.CDS.847,group02846
