AAA278I18.genome.CDS.1878,group02173
AAA278I18.genome.CDS.1086,group00297
AAA278I18.genome.CDS.1235,group01895
AAA278I18.genome.CDS.1520,group00224
AAA278I18.genome.CDS.1088,group00296
AAA278I18.genome.CDS.1918,group09064
AAA278I18.genome.CDS.1929,group00764
AAA278I18.genome.CDS.1368,group09900
AAA278I18.genome.CDS.880,group13627
AAA278I18.genome.CDS.883,group13608
AAA278I18.genome.CDS.889,group03454
AAA278I18.genome.CDS.1441,group01796
AAA278I18.genome.CDS.1440,group02191
AAA278I18.genome.CDS.1443,group03955
AAA278I18.genome.CDS.1442,group08400
AAA278I18.genome.CDS.1445,group00102
AAA278I18.genome.CDS.1444,group00073
AAA278I18.genome.CDS.1447,group00629
AAA278I18.genome.CDS.1446,group00096
AAA278I18.genome.CDS.1449,group00974
AAA278I18.genome.CDS.1922,group01354
AAA278I18.genome.CDS.1435,group01080
AAA278I18.genome.CDS.1436,group02399
AAA278I18.genome.CDS.1437,group12600
AAA278I18.genome.CDS.1430,group00658
AAA278I18.genome.CDS.1927,group00595
AAA278I18.genome.CDS.1432,group00346
AAA278I18.genome.CDS.1925,group00328
AAA278I18.genome.CDS.1535,group00705
AAA278I18.genome.CDS.1534,group00917
AAA278I18.genome.CDS.1928,group00594
AAA278I18.genome.CDS.1536,group13830
AAA278I18.genome.CDS.1531,group00237
AAA278I18.genome.CDS.1439,group11268
AAA278I18.genome.CDS.1533,group00570
AAA278I18.genome.CDS.1532,group01367
AAA278I18.genome.CDS.1849,group00094
AAA278I18.genome.CDS.1848,group00255
AAA278I18.genome.CDS.1845,group00191
AAA278I18.genome.CDS.1844,group05831
AAA278I18.genome.CDS.1847,group00858
AAA278I18.genome.CDS.1846,group00081
AAA278I18.genome.CDS.1841,group11426
AAA278I18.genome.CDS.1840,group00801
AAA278I18.genome.CDS.1843,group00557
AAA278I18.genome.CDS.1842,group00771
AAA278I18.genome.CDS.1197,group13643
AAA278I18.genome.CDS.1664,group00725
AAA278I18.genome.CDS.1748,group07142
AAA278I18.genome.CDS.1666,group13787
AAA278I18.genome.CDS.1218,group06192
AAA278I18.genome.CDS.1192,group09395
AAA278I18.genome.CDS.1663,group00512
AAA278I18.genome.CDS.1190,group00393
AAA278I18.genome.CDS.1742,group00115
AAA278I18.genome.CDS.1215,group00645
AAA278I18.genome.CDS.1216,group00401
AAA278I18.genome.CDS.1217,group00368
AAA278I18.genome.CDS.1210,group03117
AAA278I18.genome.CDS.1668,group02128
AAA278I18.genome.CDS.1744,group00145
AAA278I18.genome.CDS.1198,group02766
AAA278I18.genome.CDS.1328,group00025
AAA278I18.genome.CDS.1329,group00889
AAA278I18.genome.CDS.1281,group08134
AAA278I18.genome.CDS.1280,group00241
AAA278I18.genome.CDS.1287,group01074
AAA278I18.genome.CDS.1286,group12591
AAA278I18.genome.CDS.1285,group01017
AAA278I18.genome.CDS.1284,group00472
AAA278I18.genome.CDS.1320,group00677
AAA278I18.genome.CDS.1321,group00703
AAA278I18.genome.CDS.1289,group00633
AAA278I18.genome.CDS.1323,group07147
AAA278I18.genome.CDS.1324,group00355
AAA278I18.genome.CDS.1326,group07954
AAA278I18.genome.CDS.1327,group01030
AAA278I18.genome.CDS.1698,group00891
AAA278I18.genome.CDS.1699,group00736
AAA278I18.genome.CDS.1690,group00058
AAA278I18.genome.CDS.1691,group00194
AAA278I18.genome.CDS.1692,group00300
AAA278I18.genome.CDS.1693,group00953
AAA278I18.genome.CDS.1694,group00349
AAA278I18.genome.CDS.1695,group00053
AAA278I18.genome.CDS.1696,group00083
AAA278I18.genome.CDS.1697,group01837
AAA278I18.genome.CDS.1100,group00769
AAA278I18.genome.CDS.1268,group12383
AAA278I18.genome.CDS.1102,group00722
AAA278I18.genome.CDS.1103,group00832
AAA278I18.genome.CDS.1104,group01991
AAA278I18.genome.CDS.1105,group00813
AAA278I18.genome.CDS.1106,group00880
AAA278I18.genome.CDS.1107,group00441
AAA278I18.genome.CDS.1108,group00331
AAA278I18.genome.CDS.1260,group00610
AAA278I18.genome.CDS.1263,group08192
AAA278I18.genome.CDS.1262,group03017
AAA278I18.genome.CDS.1265,group02199
AAA278I18.genome.CDS.1264,group00716
AAA278I18.genome.CDS.1267,group01405
AAA278I18.genome.CDS.1266,group01861
AAA278I18.genome.CDS.1069,group02172
AAA278I18.genome.CDS.1068,group02407
AAA278I18.genome.CDS.1063,group00104
AAA278I18.genome.CDS.1062,group00106
