TBhypo3765.genome.CDS.1902,group03757
TBhypo3765.genome.CDS.2216,group01658
TBhypo3765.genome.CDS.1900,group03082
TBhypo3765.genome.CDS.2214,group00151
TBhypo3765.genome.CDS.1906,group01352
TBhypo3765.genome.CDS.2212,group00497
TBhypo3765.genome.CDS.2211,group00226
TBhypo3765.genome.CDS.2210,group01050
TBhypo3765.genome.CDS.1908,group04054
TBhypo3765.genome.CDS.1909,group00014
TBhypo3765.genome.CDS.2215,group11061
TBhypo3765.genome.CDS.2219,group01464
TBhypo3765.genome.CDS.2218,group01317
TBhypo3765.genome.CDS.1901,group04573
TBhypo3765.genome.CDS.2213,group00752
TBhypo3765.genome.CDS.1907,group12041
TBhypo3765.genome.CDS.574,group02850
TBhypo3765.genome.CDS.573,group11013
TBhypo3765.genome.CDS.1904,group07332
TBhypo3765.genome.CDS.1905,group02796
TBhypo3765.genome.CDS.579,group05177
TBhypo3765.genome.CDS.2109,group01211
TBhypo3765.genome.CDS.2108,group10600
TBhypo3765.genome.CDS.2103,group01568
TBhypo3765.genome.CDS.2102,group06133
TBhypo3765.genome.CDS.2101,group03517
TBhypo3765.genome.CDS.2100,group02112
TBhypo3765.genome.CDS.2107,group08680
TBhypo3765.genome.CDS.2106,group00742
TBhypo3765.genome.CDS.2105,group00173
TBhypo3765.genome.CDS.1616,group10546
TBhypo3765.genome.CDS.1617,group00743
TBhypo3765.genome.CDS.1614,group06192
TBhypo3765.genome.CDS.1615,group07698
TBhypo3765.genome.CDS.1612,group04044
TBhypo3765.genome.CDS.1613,group05090
TBhypo3765.genome.CDS.1610,group00957
TBhypo3765.genome.CDS.1611,group00027
TBhypo3765.genome.CDS.1618,group11055
TBhypo3765.genome.CDS.1619,group08653
TBhypo3765.genome.CDS.1728,group02432
TBhypo3765.genome.CDS.1729,group00269
TBhypo3765.genome.CDS.1722,group04115
TBhypo3765.genome.CDS.1723,group01251
TBhypo3765.genome.CDS.1720,group00055
TBhypo3765.genome.CDS.1721,group00040
TBhypo3765.genome.CDS.1726,group00119
TBhypo3765.genome.CDS.1727,group02719
TBhypo3765.genome.CDS.1724,group00167
TBhypo3765.genome.CDS.1725,group08189
TBhypo3765.genome.CDS.1461,group00137
TBhypo3765.genome.CDS.1460,group00249
TBhypo3765.genome.CDS.1463,group00166
TBhypo3765.genome.CDS.1462,group12777
TBhypo3765.genome.CDS.1465,group00251
TBhypo3765.genome.CDS.1464,group07825
TBhypo3765.genome.CDS.1467,group00607
TBhypo3765.genome.CDS.1466,group00242
TBhypo3765.genome.CDS.1469,group09988
TBhypo3765.genome.CDS.1468,group02999
TBhypo3765.genome.CDS.1594,group01472
TBhypo3765.genome.CDS.1597,group12705
TBhypo3765.genome.CDS.1596,group00492
TBhypo3765.genome.CDS.1591,group00904
TBhypo3765.genome.CDS.1590,group02653
TBhypo3765.genome.CDS.1593,group02353
TBhypo3765.genome.CDS.1592,group00553
TBhypo3765.genome.CDS.1599,group00445
TBhypo3765.genome.CDS.1598,group00326
TBhypo3765.genome.CDS.2587,group08125
TBhypo3765.genome.CDS.2586,group12648
TBhypo3765.genome.CDS.2585,group00085
TBhypo3765.genome.CDS.2584,group00102
TBhypo3765.genome.CDS.2583,group00196
TBhypo3765.genome.CDS.2582,group00295
TBhypo3765.genome.CDS.2581,group10692
TBhypo3765.genome.CDS.2580,group00170
TBhypo3765.genome.CDS.2589,group00559
TBhypo3765.genome.CDS.2588,group01600
TBhypo3765.genome.CDS.1130,group06790
TBhypo3765.genome.CDS.2066,group01733
TBhypo3765.genome.CDS.2067,group00053
TBhypo3765.genome.CDS.2068,group00010
TBhypo3765.genome.CDS.1756,group00782
TBhypo3765.genome.CDS.2369,group12283
TBhypo3765.genome.CDS.2368,group00418
TBhypo3765.genome.CDS.2367,group01578
TBhypo3765.genome.CDS.2366,group00417
TBhypo3765.genome.CDS.2365,group00302
TBhypo3765.genome.CDS.2364,group00476
TBhypo3765.genome.CDS.2363,group00456
TBhypo3765.genome.CDS.2362,group00475
TBhypo3765.genome.CDS.2361,group00022
TBhypo3765.genome.CDS.2360,group05140
TBhypo3765.genome.CDS.1869,group10887
TBhypo3765.genome.CDS.1868,group09113
TBhypo3765.genome.CDS.1865,group02283
TBhypo3765.genome.CDS.1864,group01792
TBhypo3765.genome.CDS.1867,group00566
TBhypo3765.genome.CDS.1866,group02681
TBhypo3765.genome.CDS.1861,group03952
TBhypo3765.genome.CDS.1860,group03407
TBhypo3765.genome.CDS.1863,group01036
TBhypo3765.genome.CDS.1862,group02269
TBhypo3765.genome.CDS.2569,group01784
TBhypo3765.genome.CDS.2568,group13659
TBhypo3765.genome.CDS.2561,group00030
TBhypo3765.genome.CDS.2560,group00253
TBhypo3765.genome.CDS.2563,group12084
TBhypo3765.genome.CDS.2562,group05157
TBhypo3765.genome.CDS.2565,group03426
TBhypo3765.genome.CDS.2564,group08095
TBhypo3765.genome.CDS.2567,group00581
TBhypo3765.genome.CDS.2566,group01875
TBhypo3765.genome.CDS.1911,group06616
