TBepi149.genome.CDS.1176,group05714
TBepi149.genome.CDS.1177,group03325
TBepi149.genome.CDS.1174,group00454
TBepi149.genome.CDS.1175,group02291
TBepi149.genome.CDS.1172,group00593
TBepi149.genome.CDS.1649,group01670
TBepi149.genome.CDS.1170,group05713
TBepi149.genome.CDS.1171,group02290
TBepi149.genome.CDS.1645,group00406
TBepi149.genome.CDS.1646,group02427
TBepi149.genome.CDS.1647,group01421
TBepi149.genome.CDS.1640,group00690
TBepi149.genome.CDS.1641,group01112
TBepi149.genome.CDS.1178,group00389
TBepi149.genome.CDS.1179,group00426
TBepi149.genome.CDS.1079,group00070
TBepi149.genome.CDS.1078,group00262
TBepi149.genome.CDS.1077,group00028
TBepi149.genome.CDS.1648,group00538
TBepi149.genome.CDS.1075,group02500
TBepi149.genome.CDS.1074,group00211
TBepi149.genome.CDS.1073,group01428
TBepi149.genome.CDS.1072,group00359
TBepi149.genome.CDS.1071,group00620
TBepi149.genome.CDS.1173,group00215
TBepi149.genome.CDS.1519,group00529
TBepi149.genome.CDS.1723,group00862
TBepi149.genome.CDS.1722,group00848
TBepi149.genome.CDS.1721,group00792
TBepi149.genome.CDS.1489,group02486
TBepi149.genome.CDS.1727,group00922
TBepi149.genome.CDS.1726,group00921
TBepi149.genome.CDS.1725,group00920
TBepi149.genome.CDS.1724,group00886
TBepi149.genome.CDS.1482,group01060
TBepi149.genome.CDS.1483,group01064
TBepi149.genome.CDS.1480,group00819
TBepi149.genome.CDS.1728,group00992
TBepi149.genome.CDS.1486,group00386
TBepi149.genome.CDS.1487,group02350
TBepi149.genome.CDS.1484,group01054
TBepi149.genome.CDS.1485,group01003
TBepi149.genome.CDS.629,group00237
TBepi149.genome.CDS.1288,group00994
TBepi149.genome.CDS.1289,group00808
TBepi149.genome.CDS.931,group00383
TBepi149.genome.CDS.1284,group00590
TBepi149.genome.CDS.1285,group00487
TBepi149.genome.CDS.1286,group01357
TBepi149.genome.CDS.1287,group05722
TBepi149.genome.CDS.233,group00067
TBepi149.genome.CDS.1281,group00442
TBepi149.genome.CDS.1282,group00836
TBepi149.genome.CDS.1283,group01359
TBepi149.genome.CDS.1513,group04743
TBepi149.genome.CDS.242,group00194
TBepi149.genome.CDS.1514,group02983
TBepi149.genome.CDS.1376,group01361
TBepi149.genome.CDS.531,group04175
TBepi149.genome.CDS.935,group05751
TBepi149.genome.CDS.1516,group01878
TBepi149.genome.CDS.937,group01094
TBepi149.genome.CDS.1590,group02034
TBepi149.genome.CDS.1591,group03320
TBepi149.genome.CDS.1592,group00524
TBepi149.genome.CDS.1593,group00112
TBepi149.genome.CDS.1594,group00661
TBepi149.genome.CDS.1595,group00803
TBepi149.genome.CDS.1597,group00034
TBepi149.genome.CDS.1598,group00421
TBepi149.genome.CDS.1599,group01214
TBepi149.genome.CDS.1228,group00480
TBepi149.genome.CDS.1229,group00138
TBepi149.genome.CDS.1076,group00452
TBepi149.genome.CDS.294,group10975
TBepi149.genome.CDS.337,group10976
TBepi149.genome.CDS.1249,group01280
TBepi149.genome.CDS.1643,group01192
TBepi149.genome.CDS.1217,group01697
TBepi149.genome.CDS.1216,group00438
TBepi149.genome.CDS.1215,group00722
TBepi149.genome.CDS.1214,group00487
TBepi149.genome.CDS.1213,group00632
TBepi149.genome.CDS.1212,group05719
TBepi149.genome.CDS.1358,group02487
TBepi149.genome.CDS.1210,group00652
TBepi149.genome.CDS.1356,group00436
TBepi149.genome.CDS.1357,group00089
TBepi149.genome.CDS.1354,group00389
TBepi149.genome.CDS.1355,group00431
TBepi149.genome.CDS.1352,group00048
TBepi149.genome.CDS.1220,group02598
TBepi149.genome.CDS.1350,group01356
TBepi149.genome.CDS.1351,group00444
TBepi149.genome.CDS.905,group02447
TBepi149.genome.CDS.904,group02446
TBepi149.genome.CDS.907,group03587
TBepi149.genome.CDS.1588,group01045
TBepi149.genome.CDS.76,group01170
TBepi149.genome.CDS.77,group01170
TBepi149.genome.CDS.903,group01186
TBepi149.genome.CDS.902,group01963
TBepi149.genome.CDS.802,group00328
TBepi149.genome.CDS.577,group10985
TBepi149.genome.CDS.909,group10978
TBepi149.genome.CDS.908,group05750
TBepi149.genome.CDS.1240,group01246
TBepi149.genome.CDS.1528,group00375
TBepi149.genome.CDS.1508,group00975
TBepi149.genome.CDS.1157,group00277
TBepi149.genome.CDS.1503,group00248
TBepi149.genome.CDS.1502,group02978
TBepi149.genome.CDS.1501,group00072
TBepi149.genome.CDS.1500,group03999
TBepi149.genome.CDS.1507,group02588
TBepi149.genome.CDS.1506,group00149
TBepi149.genome.CDS.1505,group01439
TBepi149.genome.CDS.1504,group00398
