TBepi2754.genome.CDS.2299,group01124
TBepi2754.genome.CDS.2298,group01083
TBepi2754.genome.CDS.2295,group02585
TBepi2754.genome.CDS.2294,group02925
TBepi2754.genome.CDS.2297,group01125
TBepi2754.genome.CDS.2296,group01597
TBepi2754.genome.CDS.2291,group01027
TBepi2754.genome.CDS.2290,group00357
TBepi2754.genome.CDS.2293,group03416
TBepi2754.genome.CDS.2292,group04010
TBepi2754.genome.CDS.174,group00899
TBepi2754.genome.CDS.1719,group01393
TBepi2754.genome.CDS.1718,group01203
TBepi2754.genome.CDS.1711,group00668
TBepi2754.genome.CDS.1710,group01002
TBepi2754.genome.CDS.1713,group01122
TBepi2754.genome.CDS.1712,group01289
TBepi2754.genome.CDS.1715,group02646
TBepi2754.genome.CDS.1714,group00029
TBepi2754.genome.CDS.1717,group00266
TBepi2754.genome.CDS.1716,group00858
TBepi2754.genome.CDS.2109,group00084
TBepi2754.genome.CDS.2108,group00627
TBepi2754.genome.CDS.2105,group00546
TBepi2754.genome.CDS.2104,group00022
TBepi2754.genome.CDS.2107,group00205
TBepi2754.genome.CDS.2106,group00033
TBepi2754.genome.CDS.2101,group00003
TBepi2754.genome.CDS.2100,group00697
TBepi2754.genome.CDS.2103,group01229
TBepi2754.genome.CDS.2102,group00828
TBepi2754.genome.CDS.2725,group01163
TBepi2754.genome.CDS.2724,group00013
TBepi2754.genome.CDS.2727,group01436
TBepi2754.genome.CDS.2726,group01162
TBepi2754.genome.CDS.2721,group00508
TBepi2754.genome.CDS.2720,group00020
TBepi2754.genome.CDS.2723,group03486
TBepi2754.genome.CDS.2722,group01907
TBepi2754.genome.CDS.2729,group00029
TBepi2754.genome.CDS.2728,group00954
TBepi2754.genome.CDS.2611,group00012
TBepi2754.genome.CDS.2610,group01304
TBepi2754.genome.CDS.2613,group01386
TBepi2754.genome.CDS.2612,group01339
TBepi2754.genome.CDS.2615,group00928
TBepi2754.genome.CDS.2614,group12115
TBepi2754.genome.CDS.2617,group00927
TBepi2754.genome.CDS.2616,group01020
TBepi2754.genome.CDS.2619,group04014
TBepi2754.genome.CDS.2618,group00972
TBepi2754.genome.CDS.2439,group03198
TBepi2754.genome.CDS.2438,group01148
TBepi2754.genome.CDS.2431,group00563
TBepi2754.genome.CDS.2430,group00324
TBepi2754.genome.CDS.2433,group00714
TBepi2754.genome.CDS.2435,group00962
TBepi2754.genome.CDS.2434,group00768
TBepi2754.genome.CDS.2437,group00931
TBepi2754.genome.CDS.2436,group00932
TBepi2754.genome.CDS.752,group12102
TBepi2754.genome.CDS.1904,group00998
TBepi2754.genome.CDS.1905,group00804
TBepi2754.genome.CDS.1670,group00004
TBepi2754.genome.CDS.1907,group00242
TBepi2754.genome.CDS.1676,group00491
TBepi2754.genome.CDS.1677,group00291
TBepi2754.genome.CDS.1902,group01796
TBepi2754.genome.CDS.1675,group00379
TBepi2754.genome.CDS.1678,group00080
TBepi2754.genome.CDS.1679,group00364
TBepi2754.genome.CDS.1908,group01026
TBepi2754.genome.CDS.1909,group00024
TBepi2754.genome.CDS.1474,group00293
TBepi2754.genome.CDS.1475,group00144
TBepi2754.genome.CDS.1476,group00377
TBepi2754.genome.CDS.1477,group00498
TBepi2754.genome.CDS.1470,group00859
TBepi2754.genome.CDS.1471,group00313
TBepi2754.genome.CDS.1472,group00659
TBepi2754.genome.CDS.1473,group00314
TBepi2754.genome.CDS.1478,group00360
TBepi2754.genome.CDS.1479,group00332
TBepi2754.genome.CDS.1498,group00296
TBepi2754.genome.CDS.1499,group00412
TBepi2754.genome.CDS.1492,group01765
TBepi2754.genome.CDS.1493,group00526
TBepi2754.genome.CDS.1490,group00553
TBepi2754.genome.CDS.1491,group00966
TBepi2754.genome.CDS.1496,group00252
TBepi2754.genome.CDS.1497,group00366
