TBepi4163.genome.CDS.1649,group05829
TBepi4163.genome.CDS.1648,group01686
TBepi4163.genome.CDS.2118,group03816
TBepi4163.genome.CDS.1640,group01324
TBepi4163.genome.CDS.2468,group02053
TBepi4163.genome.CDS.2469,group02987
TBepi4163.genome.CDS.2460,group05156
TBepi4163.genome.CDS.2461,group00028
TBepi4163.genome.CDS.2462,group01511
TBepi4163.genome.CDS.2463,group00576
TBepi4163.genome.CDS.2464,group01296
TBepi4163.genome.CDS.2465,group00113
TBepi4163.genome.CDS.2466,group03514
TBepi4163.genome.CDS.2467,group04079
TBepi4163.genome.CDS.988,group01429
TBepi4163.genome.CDS.614,group00441
TBepi4163.genome.CDS.2082,group02383
TBepi4163.genome.CDS.2083,group03914
TBepi4163.genome.CDS.2080,group01682
TBepi4163.genome.CDS.2081,group05133
TBepi4163.genome.CDS.2086,group01899
TBepi4163.genome.CDS.2087,group01825
TBepi4163.genome.CDS.2084,group05770
TBepi4163.genome.CDS.2085,group00716
TBepi4163.genome.CDS.2088,group01102
TBepi4163.genome.CDS.2089,group01212
TBepi4163.genome.CDS.1519,group02412
TBepi4163.genome.CDS.1518,group00472
TBepi4163.genome.CDS.2642,group00886
TBepi4163.genome.CDS.2643,group00920
TBepi4163.genome.CDS.2644,group00921
TBepi4163.genome.CDS.2646,group00992
TBepi4163.genome.CDS.2647,group00738
TBepi4163.genome.CDS.2648,group00709
TBepi4163.genome.CDS.1510,group01183
TBepi4163.genome.CDS.1513,group00111
TBepi4163.genome.CDS.1512,group01184
TBepi4163.genome.CDS.1515,group00241
TBepi4163.genome.CDS.1514,group00266
TBepi4163.genome.CDS.1517,group00223
TBepi4163.genome.CDS.1516,group05099
TBepi4163.genome.CDS.1674,group02491
TBepi4163.genome.CDS.1675,group00521
TBepi4163.genome.CDS.1676,group02128
TBepi4163.genome.CDS.1677,group03507
TBepi4163.genome.CDS.1670,group00467
TBepi4163.genome.CDS.1671,group02068
TBepi4163.genome.CDS.1673,group00646
TBepi4163.genome.CDS.1678,group01525
TBepi4163.genome.CDS.1679,group05830
TBepi4163.genome.CDS.1472,group04051
TBepi4163.genome.CDS.1473,group00509
TBepi4163.genome.CDS.1470,group00064
TBepi4163.genome.CDS.1471,group02732
TBepi4163.genome.CDS.1476,group05098
TBepi4163.genome.CDS.1477,group00624
TBepi4163.genome.CDS.1474,group00231
TBepi4163.genome.CDS.1475,group01370
TBepi4163.genome.CDS.1478,group00625
TBepi4163.genome.CDS.1479,group01427
TBepi4163.genome.CDS.2253,group05147
TBepi4163.genome.CDS.2252,group05146
TBepi4163.genome.CDS.2251,group03853
TBepi4163.genome.CDS.2250,group01874
TBepi4163.genome.CDS.2257,group00529
TBepi4163.genome.CDS.2256,group00038
TBepi4163.genome.CDS.2255,group05788
TBepi4163.genome.CDS.2254,group01557
TBepi4163.genome.CDS.2259,group00259
TBepi4163.genome.CDS.2258,group05787
TBepi4163.genome.CDS.1898,group00029
TBepi4163.genome.CDS.2362,group01372
TBepi4163.genome.CDS.1698,group01655
TBepi4163.genome.CDS.1699,group00554
TBepi4163.genome.CDS.1692,group05831
