MEint14260.genome.CDS.2676,group11715
MEint14260.genome.CDS.2677,group01989
MEint14260.genome.CDS.2674,group01572
MEint14260.genome.CDS.2675,group01380
MEint14260.genome.CDS.2672,group01766
MEint14260.genome.CDS.2673,group00351
MEint14260.genome.CDS.2670,group01166
MEint14260.genome.CDS.2671,group01165
MEint14260.genome.CDS.2678,group01113
MEint14260.genome.CDS.2679,group00769
MEint14260.genome.CDS.2105,group01977
MEint14260.genome.CDS.2708,group01125
MEint14260.genome.CDS.2709,group01154
MEint14260.genome.CDS.2702,group01036
MEint14260.genome.CDS.2703,group02574
MEint14260.genome.CDS.2700,group00487
MEint14260.genome.CDS.2701,group00108
MEint14260.genome.CDS.2706,group01775
MEint14260.genome.CDS.2707,group01966
MEint14260.genome.CDS.2704,group01177
MEint14260.genome.CDS.2705,group01205
MEint14260.genome.CDS.1725,group00740
MEint14260.genome.CDS.1724,group02229
MEint14260.genome.CDS.1727,group03070
MEint14260.genome.CDS.1726,group00740
MEint14260.genome.CDS.1721,group02047
MEint14260.genome.CDS.1720,group00238
MEint14260.genome.CDS.1723,group02071
MEint14260.genome.CDS.1722,group11753
MEint14260.genome.CDS.1729,group01443
MEint14260.genome.CDS.1728,group01687
MEint14260.genome.CDS.2852,group02755
MEint14260.genome.CDS.2853,group11725
MEint14260.genome.CDS.2850,group11726
MEint14260.genome.CDS.2851,group03399
MEint14260.genome.CDS.2856,group01354
MEint14260.genome.CDS.2857,group00500
MEint14260.genome.CDS.2854,group02182
MEint14260.genome.CDS.2855,group01207
MEint14260.genome.CDS.2858,group00988
MEint14260.genome.CDS.2859,group02869
MEint14260.genome.CDS.2329,group00264
MEint14260.genome.CDS.1659,group00348
MEint14260.genome.CDS.1658,group00387
MEint14260.genome.CDS.3087,group00873
MEint14260.genome.CDS.1651,group01999
MEint14260.genome.CDS.1650,group00027
MEint14260.genome.CDS.1653,group01268
MEint14260.genome.CDS.1652,group01475
MEint14260.genome.CDS.1655,group01998
MEint14260.genome.CDS.1657,group02074
MEint14260.genome.CDS.1656,group00230
MEint14260.genome.CDS.3088,group00820
MEint14260.genome.CDS.2576,group01893
MEint14260.genome.CDS.2078,group00808
MEint14260.genome.CDS.2079,group01260
MEint14260.genome.CDS.2074,group02566
MEint14260.genome.CDS.2075,group00994
MEint14260.genome.CDS.2076,group01488
MEint14260.genome.CDS.2077,group01244
MEint14260.genome.CDS.2070,group00923
MEint14260.genome.CDS.2071,group02798
MEint14260.genome.CDS.2072,group01224
MEint14260.genome.CDS.2073,group01357
MEint14260.genome.CDS.1880,group02161
MEint14260.genome.CDS.1881,group01427
MEint14260.genome.CDS.1883,group02009
MEint14260.genome.CDS.1884,group01757
MEint14260.genome.CDS.1885,group00135
MEint14260.genome.CDS.1886,group02516
MEint14260.genome.CDS.1887,group02050
MEint14260.genome.CDS.1888,group01542
MEint14260.genome.CDS.1889,group02250
MEint14260.genome.CDS.249,group00635
MEint14260.genome.CDS.2449,group01774
MEint14260.genome.CDS.2448,group02315
MEint14260.genome.CDS.2445,group00064
MEint14260.genome.CDS.2444,group01541
MEint14260.genome.CDS.2447,group00515
MEint14260.genome.CDS.2446,group03998
MEint14260.genome.CDS.2441,group00278
MEint14260.genome.CDS.2440,group00061
MEint14260.genome.CDS.2443,group11791
MEint14260.genome.CDS.2442,group01773
MEint14260.genome.CDS.2289,group01641
MEint14260.genome.CDS.2288,group01671
