AAA027L06.genome.CDS.1551,group00717
AAA027L06.genome.CDS.1633,group00302
AAA027L06.genome.CDS.1726,group00917
AAA027L06.genome.CDS.1529,group00032
AAA027L06.genome.CDS.1450,group04709
AAA027L06.genome.CDS.1907,group13196
AAA027L06.genome.CDS.2352,group00098
AAA027L06.genome.CDS.1904,group02925
AAA027L06.genome.CDS.2353,group00706
AAA027L06.genome.CDS.2184,group00454
AAA027L06.genome.CDS.2096,group12977
AAA027L06.genome.CDS.1905,group01239
AAA027L06.genome.CDS.2300,group00587
AAA027L06.genome.CDS.1553,group00898
AAA027L06.genome.CDS.2154,group07301
AAA027L06.genome.CDS.1397,group00349
AAA027L06.genome.CDS.2351,group05321
AAA027L06.genome.CDS.672,group01404
AAA027L06.genome.CDS.2155,group01234
AAA027L06.genome.CDS.1555,group00566
AAA027L06.genome.CDS.2357,group00018
AAA027L06.genome.CDS.1557,group02822
AAA027L06.genome.CDS.1871,group00546
AAA027L06.genome.CDS.1796,group00753
AAA027L06.genome.CDS.2019,group00945
AAA027L06.genome.CDS.2303,group01036
AAA027L06.genome.CDS.776,group04830
AAA027L06.genome.CDS.1564,group12706
AAA027L06.genome.CDS.2219,group00742
AAA027L06.genome.CDS.1396,group02625
AAA027L06.genome.CDS.1487,group00446
AAA027L06.genome.CDS.2268,group07526
AAA027L06.genome.CDS.1954,group00115
AAA027L06.genome.CDS.1957,group00061
AAA027L06.genome.CDS.1878,group01017
AAA027L06.genome.CDS.1762,group00434
AAA027L06.genome.CDS.2015,group01600
AAA027L06.genome.CDS.1760,group07499
AAA027L06.genome.CDS.1761,group06327
AAA027L06.genome.CDS.2091,group00216
AAA027L06.genome.CDS.1767,group01237
AAA027L06.genome.CDS.1764,group00707
AAA027L06.genome.CDS.2092,group00409
AAA027L06.genome.CDS.1951,group01005
AAA027L06.genome.CDS.1768,group01024
AAA027L06.genome.CDS.1769,group05439
AAA027L06.genome.CDS.2099,group00894
AAA027L06.genome.CDS.2017,group00754
AAA027L06.genome.CDS.1395,group00300
AAA027L06.genome.CDS.1482,group00466
AAA027L06.genome.CDS.1847,group00847
AAA027L06.genome.CDS.1846,group12722
AAA027L06.genome.CDS.1845,group00772
AAA027L06.genome.CDS.1844,group00601
AAA027L06.genome.CDS.1843,group00040
AAA027L06.genome.CDS.1953,group00172
AAA027L06.genome.CDS.1841,group00120
AAA027L06.genome.CDS.1840,group00335
AAA027L06.genome.CDS.91,group00876
AAA027L06.genome.CDS.1480,group12412
AAA027L06.genome.CDS.1562,group00605
AAA027L06.genome.CDS.1849,group00316
AAA027L06.genome.CDS.1848,group13710
AAA027L06.genome.CDS.2143,group07890
AAA027L06.genome.CDS.2069,group00193
AAA027L06.genome.CDS.139,group12755
AAA027L06.genome.CDS.2306,group00892
AAA027L06.genome.CDS.2147,group00092
AAA027L06.genome.CDS.1856,group00013
AAA027L06.genome.CDS.2145,group00055
AAA027L06.genome.CDS.2144,group00046
AAA027L06.genome.CDS.2060,group00170
AAA027L06.genome.CDS.2061,group01212
AAA027L06.genome.CDS.2062,group00295
AAA027L06.genome.CDS.2148,group00148
AAA027L06.genome.CDS.2064,group00247
AAA027L06.genome.CDS.2065,group00791
AAA027L06.genome.CDS.2066,group00497
AAA027L06.genome.CDS.2067,group00001
AAA027L06.genome.CDS.1696,group00117
AAA027L06.genome.CDS.1697,group01992
AAA027L06.genome.CDS.1694,group00683
AAA027L06.genome.CDS.1695,group08909
AAA027L06.genome.CDS.1692,group08765
AAA027L06.genome.CDS.1693,group01668
AAA027L06.genome.CDS.1690,group10249
AAA027L06.genome.CDS.1691,group01127
AAA027L06.genome.CDS.1520,group00831
AAA027L06.genome.CDS.2302,group00576
AAA027L06.genome.CDS.2356,group00483
AAA027L06.genome.CDS.1698,group00814
AAA027L06.genome.CDS.1699,group00684
AAA027L06.genome.CDS.2180,group11808
AAA027L06.genome.CDS.1507,group01184
AAA027L06.genome.CDS.1504,group00492
AAA027L06.genome.CDS.1505,group00461
AAA027L06.genome.CDS.1502,group00326
AAA027L06.genome.CDS.2245,group04582
AAA027L06.genome.CDS.1500,group05403
AAA027L06.genome.CDS.1501,group00445
AAA027L06.genome.CDS.2248,group00573
AAA027L06.genome.CDS.2249,group01004
AAA027L06.genome.CDS.1393,group00058
AAA027L06.genome.CDS.1488,group00344
AAA027L06.genome.CDS.1508,group00242
AAA027L06.genome.CDS.1509,group01026
AAA027L06.genome.CDS.1641,group00915
AAA027L06.genome.CDS.2024,group01039
AAA027L06.genome.CDS.2437,group00095
AAA027L06.genome.CDS.1609,group00991
AAA027L06.genome.CDS.1608,group01208
AAA027L06.genome.CDS.2025,group00920
AAA027L06.genome.CDS.1605,group00740
AAA027L06.genome.CDS.1576,group01270
AAA027L06.genome.CDS.1607,group01016
AAA027L06.genome.CDS.1606,group02174
AAA027L06.genome.CDS.1601,group01154
AAA027L06.genome.CDS.1801,group00010
AAA027L06.genome.CDS.1603,group04166
AAA027L06.genome.CDS.1602,group01059
AAA027L06.genome.CDS.1982,group02926
AAA027L06.genome.CDS.1983,group00434
AAA027L06.genome.CDS.1980,group13756
AAA027L06.genome.CDS.2027,group13787
AAA027L06.genome.CDS.1599,group00168
AAA027L06.genome.CDS.1598,group00902
AAA027L06.genome.CDS.2398,group01480
AAA027L06.genome.CDS.2399,group01056
AAA027L06.genome.CDS.1595,group00124
AAA027L06.genome.CDS.2397,group01319
AAA027L06.genome.CDS.2394,group02126
AAA027L06.genome.CDS.1596,group00292
AAA027L06.genome.CDS.2392,group03454
AAA027L06.genome.CDS.2393,group00173
AAA027L06.genome.CDS.1593,group00372
AAA027L06.genome.CDS.1592,group11197
AAA027L06.genome.CDS.1391,group00137
AAA027L06.genome.CDS.2022,group00992
AAA027L06.genome.CDS.1181,group02172
AAA027L06.genome.CDS.1472,group00556
AAA027L06.genome.CDS.1438,group00142
AAA027L06.genome.CDS.1439,group00142
AAA027L06.genome.CDS.1348,group00562
AAA027L06.genome.CDS.1349,group00161
AAA027L06.genome.CDS.2439,group00129
AAA027L06.genome.CDS.2438,group01003
AAA027L06.genome.CDS.1432,group02762
AAA027L06.genome.CDS.2436,group00151
AAA027L06.genome.CDS.2435,group00208
AAA027L06.genome.CDS.1347,group00232
AAA027L06.genome.CDS.1340,group00748
AAA027L06.genome.CDS.1437,group03985
AAA027L06.genome.CDS.1342,group00984
AAA027L06.genome.CDS.1343,group00224
AAA027L06.genome.CDS.2329,group00531
AAA027L06.genome.CDS.2328,group04657
AAA027L06.genome.CDS.1288,group00526
AAA027L06.genome.CDS.1939,group00184
AAA027L06.genome.CDS.1938,group10223
AAA027L06.genome.CDS.2323,group07589
AAA027L06.genome.CDS.1936,group00206
AAA027L06.genome.CDS.2321,group00676
AAA027L06.genome.CDS.2320,group00912
AAA027L06.genome.CDS.2327,group00180
AAA027L06.genome.CDS.2237,group01375
AAA027L06.genome.CDS.1931,group00333
AAA027L06.genome.CDS.2324,group01023
AAA027L06.genome.CDS.1219,group00018
AAA027L06.genome.CDS.2084,group00567
AAA027L06.genome.CDS.1521,group00480
AAA027L06.genome.CDS.1642,group00959
AAA027L06.genome.CDS.1862,group00066
AAA027L06.genome.CDS.1230,group00023
AAA027L06.genome.CDS.1338,group00014
AAA027L06.genome.CDS.1232,group01021
AAA027L06.genome.CDS.1233,group00686
AAA027L06.genome.CDS.1234,group00829
AAA027L06.genome.CDS.1235,group02938
AAA027L06.genome.CDS.1236,group11566
AAA027L06.genome.CDS.1237,group00351
AAA027L06.genome.CDS.1238,group00303
AAA027L06.genome.CDS.1239,group02771
AAA027L06.genome.CDS.1333,group00528
AAA027L06.genome.CDS.1332,group00417
AAA027L06.genome.CDS.2308,group02597
AAA027L06.genome.CDS.1334,group00418
AAA027L06.genome.CDS.1337,group09831
AAA027L06.genome.CDS.1336,group00009
AAA027L06.genome.CDS.2263,group13628
AAA027L06.genome.CDS.1522,group00138
AAA027L06.genome.CDS.1934,group01015
AAA027L06.genome.CDS.2044,group00703
AAA027L06.genome.CDS.1398,group00053
AAA027L06.genome.CDS.1986,group01386
AAA027L06.genome.CDS.1319,group00520
AAA027L06.genome.CDS.531,group00004
AAA027L06.genome.CDS.1738,group00522
AAA027L06.genome.CDS.1434,group12709
AAA027L06.genome.CDS.2115,group04321
AAA027L06.genome.CDS.1251,group00478
AAA027L06.genome.CDS.2275,group00541
AAA027L06.genome.CDS.1933,group00927
AAA027L06.genome.CDS.2045,group00677
AAA027L06.genome.CDS.1315,group00875
AAA027L06.genome.CDS.1987,group00000
AAA027L06.genome.CDS.1314,group00667
AAA027L06.genome.CDS.2120,group04718
AAA027L06.genome.CDS.2122,group08680
AAA027L06.genome.CDS.1258,group00974
AAA027L06.genome.CDS.2278,group00289
AAA027L06.genome.CDS.1604,group01006
AAA027L06.genome.CDS.1292,group00877
AAA027L06.genome.CDS.1259,group00680
AAA027L06.genome.CDS.1984,group04449
AAA027L06.genome.CDS.2021,group00738
AAA027L06.genome.CDS.1618,group00623
AAA027L06.genome.CDS.1668,group00230
AAA027L06.genome.CDS.2126,group01106
AAA027L06.genome.CDS.626,group00336
AAA027L06.genome.CDS.2266,group00287
AAA027L06.genome.CDS.1803,group01378
AAA027L06.genome.CDS.1802,group11080
AAA027L06.genome.CDS.2026,group13582
AAA027L06.genome.CDS.1800,group00049
AAA027L06.genome.CDS.2020,group11549
AAA027L06.genome.CDS.1806,group00540
AAA027L06.genome.CDS.1805,group00662
AAA027L06.genome.CDS.1804,group13621
AAA027L06.genome.CDS.1809,group00563
AAA027L06.genome.CDS.1808,group01238
AAA027L06.genome.CDS.2028,group07818
AAA027L06.genome.CDS.2029,group07517
AAA027L06.genome.CDS.1720,group08128
AAA027L06.genome.CDS.1226,group00746
AAA027L06.genome.CDS.2118,group01562
AAA027L06.genome.CDS.2403,group11925
AAA027L06.genome.CDS.1652,group00221
AAA027L06.genome.CDS.1653,group03113
AAA027L06.genome.CDS.1799,group00114
AAA027L06.genome.CDS.1798,group07708
AAA027L06.genome.CDS.1656,group00203
AAA027L06.genome.CDS.1657,group00795
AAA027L06.genome.CDS.1654,group00140
AAA027L06.genome.CDS.1655,group00026
AAA027L06.genome.CDS.46,group00807
AAA027L06.genome.CDS.1792,group00152
AAA027L06.genome.CDS.1658,group00696
AAA027L06.genome.CDS.1790,group11807
AAA027L06.genome.CDS.1797,group07484
AAA027L06.genome.CDS.1791,group01337
AAA027L06.genome.CDS.1795,group03240
AAA027L06.genome.CDS.1794,group00226
AAA027L06.genome.CDS.2051,group00047
AAA027L06.genome.CDS.2050,group00067
AAA027L06.genome.CDS.2053,group00476
AAA027L06.genome.CDS.2052,group05272
AAA027L06.genome.CDS.1898,group07512
AAA027L06.genome.CDS.2054,group00456
AAA027L06.genome.CDS.1728,group00821
AAA027L06.genome.CDS.2056,group10155
AAA027L06.genome.CDS.2059,group00590
AAA027L06.genome.CDS.2058,group10917
AAA027L06.genome.CDS.1724,group00897
AAA027L06.genome.CDS.1725,group03124
AAA027L06.genome.CDS.1722,group00827
AAA027L06.genome.CDS.1891,group01420
AAA027L06.genome.CDS.2428,group11743
AAA027L06.genome.CDS.1721,group00873
AAA027L06.genome.CDS.2293,group00956
