AAA027J17.genome.CDS.1638,group00580
AAA027J17.genome.CDS.1352,group04914
AAA027J17.genome.CDS.1439,group12418
AAA027J17.genome.CDS.1348,group01534
AAA027J17.genome.CDS.1349,group01386
AAA027J17.genome.CDS.1432,group07129
AAA027J17.genome.CDS.1345,group02143
AAA027J17.genome.CDS.1430,group00766
AAA027J17.genome.CDS.1431,group00260
AAA027J17.genome.CDS.1340,group03535
AAA027J17.genome.CDS.1437,group00180
AAA027J17.genome.CDS.1342,group11357
AAA027J17.genome.CDS.1343,group03084
AAA027J17.genome.CDS.1670,group00945
AAA027J17.genome.CDS.1179,group00173
AAA027J17.genome.CDS.1351,group04115
AAA027J17.genome.CDS.1507,group00198
AAA027J17.genome.CDS.1673,group01366
AAA027J17.genome.CDS.1328,group01033
AAA027J17.genome.CDS.1025,group00199
AAA027J17.genome.CDS.1024,group00571
AAA027J17.genome.CDS.1027,group02796
AAA027J17.genome.CDS.1026,group00022
AAA027J17.genome.CDS.1021,group00042
AAA027J17.genome.CDS.1020,group00747
AAA027J17.genome.CDS.1023,group08480
AAA027J17.genome.CDS.1022,group00746
AAA027J17.genome.CDS.1182,group07863
AAA027J17.genome.CDS.1183,group04454
AAA027J17.genome.CDS.1180,group02122
AAA027J17.genome.CDS.1181,group04105
AAA027J17.genome.CDS.1186,group00052
AAA027J17.genome.CDS.1187,group01717
AAA027J17.genome.CDS.1184,group02773
AAA027J17.genome.CDS.1185,group06372
AAA027J17.genome.CDS.1347,group05205
AAA027J17.genome.CDS.1436,group00813
AAA027J17.genome.CDS.1341,group01643
AAA027J17.genome.CDS.1434,group00857
AAA027J17.genome.CDS.1435,group00537
AAA027J17.genome.CDS.1505,group00175
AAA027J17.genome.CDS.1623,group02671
AAA027J17.genome.CDS.1515,group01304
AAA027J17.genome.CDS.1622,group00027
AAA027J17.genome.CDS.1249,group00585
AAA027J17.genome.CDS.1248,group00391
AAA027J17.genome.CDS.1230,group11178
AAA027J17.genome.CDS.1338,group05211
AAA027J17.genome.CDS.1232,group00474
AAA027J17.genome.CDS.1233,group01230
AAA027J17.genome.CDS.1234,group01235
AAA027J17.genome.CDS.1235,group00744
AAA027J17.genome.CDS.1236,group00963
AAA027J17.genome.CDS.1237,group00769
AAA027J17.genome.CDS.1238,group00714
AAA027J17.genome.CDS.1239,group01238
AAA027J17.genome.CDS.1333,group04113
AAA027J17.genome.CDS.1332,group00690
AAA027J17.genome.CDS.1335,group00434
AAA027J17.genome.CDS.1334,group04449
AAA027J17.genome.CDS.1337,group10917
AAA027J17.genome.CDS.1626,group00373
AAA027J17.genome.CDS.1397,group02178
AAA027J17.genome.CDS.1464,group00623
AAA027J17.genome.CDS.1467,group07557
AAA027J17.genome.CDS.1743,group00300
AAA027J17.genome.CDS.1898,group14033
AAA027J17.genome.CDS.1899,group00120
AAA027J17.genome.CDS.1728,group00356
AAA027J17.genome.CDS.1729,group02170
AAA027J17.genome.CDS.1726,group09918
AAA027J17.genome.CDS.1895,group00166
AAA027J17.genome.CDS.1724,group00401
AAA027J17.genome.CDS.1725,group00645
AAA027J17.genome.CDS.1722,group04017
AAA027J17.genome.CDS.1891,group07896
AAA027J17.genome.CDS.1892,group00085
AAA027J17.genome.CDS.1893,group00041
AAA027J17.genome.CDS.1803,group00308
AAA027J17.genome.CDS.1802,group00642
AAA027J17.genome.CDS.1801,group00205
AAA027J17.genome.CDS.1800,group00627
AAA027J17.genome.CDS.1807,group00562
AAA027J17.genome.CDS.1806,group00155
AAA027J17.genome.CDS.2008,group00669
AAA027J17.genome.CDS.1804,group00127
AAA027J17.genome.CDS.2006,group03973
AAA027J17.genome.CDS.2007,group00643
AAA027J17.genome.CDS.1809,group00133
AAA027J17.genome.CDS.1808,group00782
AAA027J17.genome.CDS.2002,group00037
AAA027J17.genome.CDS.2003,group00616
AAA027J17.genome.CDS.2000,group00513
AAA027J17.genome.CDS.2001,group11549
AAA027J17.genome.CDS.1542,group04321
AAA027J17.genome.CDS.1079,group00096
AAA027J17.genome.CDS.1354,group00878
AAA027J17.genome.CDS.1543,group00951
AAA027J17.genome.CDS.1016,group00924
AAA027J17.genome.CDS.1652,group00917
AAA027J17.genome.CDS.1653,group03121
AAA027J17.genome.CDS.1650,group00821
AAA027J17.genome.CDS.1651,group00844
AAA027J17.genome.CDS.1656,group00827
AAA027J17.genome.CDS.1657,group00873
AAA027J17.genome.CDS.1654,group00897
AAA027J17.genome.CDS.1655,group00896
AAA027J17.genome.CDS.1793,group01901
AAA027J17.genome.CDS.1010,group00045
AAA027J17.genome.CDS.1791,group04947
AAA027J17.genome.CDS.1659,group00855
AAA027J17.genome.CDS.1797,group05272
AAA027J17.genome.CDS.1796,group00193
AAA027J17.genome.CDS.1795,group00834
AAA027J17.genome.CDS.1011,group00826
AAA027J17.genome.CDS.1094,group02278
AAA027J17.genome.CDS.1095,group12124
AAA027J17.genome.CDS.1096,group04159
AAA027J17.genome.CDS.1097,group01004
AAA027J17.genome.CDS.1090,group01565
AAA027J17.genome.CDS.1091,group02167
AAA027J17.genome.CDS.1092,group00487
AAA027J17.genome.CDS.1093,group01714
AAA027J17.genome.CDS.1155,group07304
AAA027J17.genome.CDS.1154,group08176
AAA027J17.genome.CDS.1157,group02172
AAA027J17.genome.CDS.1156,group01291
AAA027J17.genome.CDS.1151,group00104
AAA027J17.genome.CDS.1099,group00887
AAA027J17.genome.CDS.1153,group11743
AAA027J17.genome.CDS.1152,group00853
AAA027J17.genome.CDS.1861,group00528
AAA027J17.genome.CDS.1712,group00233
AAA027J17.genome.CDS.1076,group00433
AAA027J17.genome.CDS.1006,group07755
AAA027J17.genome.CDS.1077,group04872
AAA027J17.genome.CDS.1571,group00947
AAA027J17.genome.CDS.1710,group01705
AAA027J17.genome.CDS.1824,group00705
AAA027J17.genome.CDS.1865,group09831
AAA027J17.genome.CDS.1716,group01310
AAA027J17.genome.CDS.1476,group14047
AAA027J17.genome.CDS.1477,group00440
AAA027J17.genome.CDS.1474,group01042
AAA027J17.genome.CDS.1475,group00367
AAA027J17.genome.CDS.1472,group12774
AAA027J17.genome.CDS.1473,group00791
AAA027J17.genome.CDS.1579,group00215
AAA027J17.genome.CDS.1471,group00960
AAA027J17.genome.CDS.1577,group00568
AAA027J17.genome.CDS.1576,group00174
AAA027J17.genome.CDS.1575,group00285
AAA027J17.genome.CDS.1574,group00894
AAA027J17.genome.CDS.1573,group00074
AAA027J17.genome.CDS.1572,group00802
AAA027J17.genome.CDS.1478,group00465
AAA027J17.genome.CDS.1479,group00435
AAA027J17.genome.CDS.1570,group00039
AAA027J17.genome.CDS.1389,group00504
AAA027J17.genome.CDS.1329,group00544
AAA027J17.genome.CDS.1078,group13627
AAA027J17.genome.CDS.1381,group00940
AAA027J17.genome.CDS.1382,group07860
AAA027J17.genome.CDS.1383,group00116
AAA027J17.genome.CDS.1384,group00007
AAA027J17.genome.CDS.1385,group00850
AAA027J17.genome.CDS.1386,group00797
AAA027J17.genome.CDS.1387,group03988
AAA027J17.genome.CDS.1979,group00203
AAA027J17.genome.CDS.1978,group03532
AAA027J17.genome.CDS.1973,group00163
AAA027J17.genome.CDS.1972,group00528
AAA027J17.genome.CDS.1971,group00413
AAA027J17.genome.CDS.1970,group02252
AAA027J17.genome.CDS.1977,group10535
AAA027J17.genome.CDS.1976,group00343
AAA027J17.genome.CDS.1975,group00735
AAA027J17.genome.CDS.1974,group00476
AAA027J17.genome.CDS.993,group12126
AAA027J17.genome.CDS.1189,group02270
AAA027J17.genome.CDS.995,group00010
AAA027J17.genome.CDS.994,group11758
AAA027J17.genome.CDS.997,group00540
AAA027J17.genome.CDS.996,group00541
AAA027J17.genome.CDS.1002,group00005
AAA027J17.genome.CDS.998,group00665
AAA027J17.genome.CDS.2033,group07147
AAA027J17.genome.CDS.1278,group00062
AAA027J17.genome.CDS.1815,group00011
AAA027J17.genome.CDS.1274,group06006
AAA027J17.genome.CDS.1275,group04438
AAA027J17.genome.CDS.1276,group00986
AAA027J17.genome.CDS.1277,group00072
AAA027J17.genome.CDS.1270,group08257
AAA027J17.genome.CDS.1816,group09553
AAA027J17.genome.CDS.1272,group07485
AAA027J17.genome.CDS.1273,group00840
AAA027J17.genome.CDS.1817,group00968
AAA027J17.genome.CDS.2037,group00505
AAA027J17.genome.CDS.634,group04318
AAA027J17.genome.CDS.2036,group00255
AAA027J17.genome.CDS.1812,group00542
AAA027J17.genome.CDS.1029,group00686
AAA027J17.genome.CDS.1813,group00057
AAA027J17.genome.CDS.1028,group01021
AAA027J17.genome.CDS.1375,group01271
AAA027J17.genome.CDS.1374,group01659
AAA027J17.genome.CDS.1377,group01837
AAA027J17.genome.CDS.1376,group03324
AAA027J17.genome.CDS.1371,group01344
AAA027J17.genome.CDS.1370,group04116
AAA027J17.genome.CDS.1373,group08095
AAA027J17.genome.CDS.1372,group13878
AAA027J17.genome.CDS.1072,group00242
AAA027J17.genome.CDS.1073,group01026
AAA027J17.genome.CDS.1070,group08749
AAA027J17.genome.CDS.1379,group00646
AAA027J17.genome.CDS.1378,group13628
AAA027J17.genome.CDS.1074,group00024
AAA027J17.genome.CDS.1075,group04106
AAA027J17.genome.CDS.1391,group10037
AAA027J17.genome.CDS.1454,group00999
AAA027J17.genome.CDS.1007,group00581
AAA027J17.genome.CDS.1433,group07309
AAA027J17.genome.CDS.1455,group09064
AAA027J17.genome.CDS.1456,group00969
AAA027J17.genome.CDS.1457,group00508
AAA027J17.genome.CDS.1906,group01048
AAA027J17.genome.CDS.1451,group02173
AAA027J17.genome.CDS.1209,group00970
AAA027J17.genome.CDS.1208,group00835
AAA027J17.genome.CDS.1461,group01202
AAA027J17.genome.CDS.1452,group01019
AAA027J17.genome.CDS.1201,group08213
AAA027J17.genome.CDS.1200,group01395
AAA027J17.genome.CDS.1203,group00034
AAA027J17.genome.CDS.1202,group00803
AAA027J17.genome.CDS.1205,group04475
AAA027J17.genome.CDS.1204,group01820
AAA027J17.genome.CDS.1207,group00586
AAA027J17.genome.CDS.1206,group07583
AAA027J17.genome.CDS.1757,group00339
AAA027J17.genome.CDS.1756,group08655
AAA027J17.genome.CDS.1755,group13199
AAA027J17.genome.CDS.1754,group00431
AAA027J17.genome.CDS.1753,group00713
AAA027J17.genome.CDS.1752,group00551
AAA027J17.genome.CDS.1751,group01561
AAA027J17.genome.CDS.1750,group06533
AAA027J17.genome.CDS.1759,group01025
AAA027J17.genome.CDS.1758,group01341
AAA027J17.genome.CDS.941,group00111
AAA027J17.genome.CDS.1618,group00245
AAA027J17.genome.CDS.1619,group00437
AAA027J17.genome.CDS.1617,group11516
AAA027J17.genome.CDS.1614,group08333
AAA027J17.genome.CDS.1615,group00250
AAA027J17.genome.CDS.865,group09232
AAA027J17.genome.CDS.1613,group00161
AAA027J17.genome.CDS.1610,group00354
AAA027J17.genome.CDS.1611,group00134
AAA027J17.genome.CDS.1858,group00397
AAA027J17.genome.CDS.1487,group00017
AAA027J17.genome.CDS.1486,group12383
AAA027J17.genome.CDS.1850,group00836
AAA027J17.genome.CDS.1851,group00676
AAA027J17.genome.CDS.1852,group00912
AAA027J17.genome.CDS.1853,group05873
AAA027J17.genome.CDS.1854,group00263
AAA027J17.genome.CDS.1855,group01051
AAA027J17.genome.CDS.1856,group00390
AAA027J17.genome.CDS.1380,group00923
AAA027J17.genome.CDS.1484,group00652
AAA027J17.genome.CDS.1676,group00771
AAA027J17.genome.CDS.1548,group00733
AAA027J17.genome.CDS.1483,group00767
AAA027J17.genome.CDS.1482,group01149
AAA027J17.genome.CDS.1102,group12591
AAA027J17.genome.CDS.1103,group02194
AAA027J17.genome.CDS.1100,group01023
AAA027J17.genome.CDS.1101,group01023
AAA027J17.genome.CDS.1106,group00020
AAA027J17.genome.CDS.1107,group10038
AAA027J17.genome.CDS.1104,group00021
AAA027J17.genome.CDS.1105,group12123
AAA027J17.genome.CDS.1108,group07796
AAA027J17.genome.CDS.1109,group12122
AAA027J17.genome.CDS.1462,group00783
AAA027J17.genome.CDS.1920,group00310
AAA027J17.genome.CDS.1921,group00692
AAA027J17.genome.CDS.1922,group01993
AAA027J17.genome.CDS.1538,group00044
AAA027J17.genome.CDS.1924,group05201
AAA027J17.genome.CDS.1925,group00436
AAA027J17.genome.CDS.1926,group00089
AAA027J17.genome.CDS.1927,group00717
AAA027J17.genome.CDS.1928,group04582
AAA027J17.genome.CDS.1929,group00898
AAA027J17.genome.CDS.1531,group01106
AAA027J17.genome.CDS.1530,group01047
AAA027J17.genome.CDS.1537,group00706
AAA027J17.genome.CDS.1536,group00013
AAA027J17.genome.CDS.1535,group06943
AAA027J17.genome.CDS.1662,group01792
AAA027J17.genome.CDS.1588,group00315
AAA027J17.genome.CDS.1589,group01007
AAA027J17.genome.CDS.1587,group00438
AAA027J17.genome.CDS.1584,group12313
AAA027J17.genome.CDS.1585,group00624
AAA027J17.genome.CDS.1582,group00216
AAA027J17.genome.CDS.1583,group05206
AAA027J17.genome.CDS.1580,group00280
AAA027J17.genome.CDS.1581,group00409
AAA027J17.genome.CDS.1004,group00724
AAA027J17.genome.CDS.594,group12755
AAA027J17.genome.CDS.1629,group00282
AAA027J17.genome.CDS.1522,group00388
AAA027J17.genome.CDS.893,group00125
AAA027J17.genome.CDS.457,group12722
AAA027J17.genome.CDS.1310,group00172
AAA027J17.genome.CDS.1409,group00052
AAA027J17.genome.CDS.1408,group00590
AAA027J17.genome.CDS.1407,group01003
AAA027J17.genome.CDS.1406,group00661
AAA027J17.genome.CDS.1405,group12999
AAA027J17.genome.CDS.1404,group00029
