MEint283.genome.CDS.1178,group00581
MEint283.genome.CDS.1179,group01032
MEint283.genome.CDS.1278,group00513
MEint283.genome.CDS.879,group00485
MEint283.genome.CDS.878,group00143
MEint283.genome.CDS.874,group00189
MEint283.genome.CDS.877,group00571
MEint283.genome.CDS.876,group00456
MEint283.genome.CDS.870,group00064
MEint283.genome.CDS.873,group00047
MEint283.genome.CDS.872,group00068
MEint283.genome.CDS.1194,group00098
MEint283.genome.CDS.1460,group02885
MEint283.genome.CDS.896,group00769
MEint283.genome.CDS.1462,group14059
MEint283.genome.CDS.1463,group03112
MEint283.genome.CDS.1464,group03754
MEint283.genome.CDS.892,group00312
MEint283.genome.CDS.891,group00708
MEint283.genome.CDS.890,group00244
MEint283.genome.CDS.956,group00208
MEint283.genome.CDS.1469,group00010
MEint283.genome.CDS.954,group00309
MEint283.genome.CDS.955,group00273
MEint283.genome.CDS.952,group02172
MEint283.genome.CDS.953,group00274
MEint283.genome.CDS.950,group00157
MEint283.genome.CDS.951,group00121
MEint283.genome.CDS.1415,group00314
MEint283.genome.CDS.1414,group00293
MEint283.genome.CDS.1417,group00313
MEint283.genome.CDS.1416,group00659
MEint283.genome.CDS.1147,group00091
MEint283.genome.CDS.1410,group00332
MEint283.genome.CDS.1413,group00377
MEint283.genome.CDS.1144,group00148
MEint283.genome.CDS.1195,group00097
MEint283.genome.CDS.1148,group00175
MEint283.genome.CDS.1419,group01018
MEint283.genome.CDS.1418,group01308
MEint283.genome.CDS.1385,group14058
MEint283.genome.CDS.1384,group01566
MEint283.genome.CDS.1387,group00966
MEint283.genome.CDS.582,group02399
MEint283.genome.CDS.1068,group00015
MEint283.genome.CDS.1069,group00118
MEint283.genome.CDS.1383,group01633
MEint283.genome.CDS.1382,group00759
MEint283.genome.CDS.1064,group03771
MEint283.genome.CDS.1065,group00093
MEint283.genome.CDS.1066,group00055
MEint283.genome.CDS.1067,group00046
MEint283.genome.CDS.1389,group00468
MEint283.genome.CDS.1061,group00176
MEint283.genome.CDS.1062,group00785
MEint283.genome.CDS.1063,group00730
MEint283.genome.CDS.1489,group01014
MEint283.genome.CDS.1268,group00061
MEint283.genome.CDS.1370,group00347
MEint283.genome.CDS.1540,group00550
MEint283.genome.CDS.1155,group00583
MEint283.genome.CDS.1204,group00266
MEint283.genome.CDS.1205,group01704
MEint283.genome.CDS.1206,group00858
MEint283.genome.CDS.1207,group01482
MEint283.genome.CDS.1200,group00398
MEint283.genome.CDS.1201,group00841
MEint283.genome.CDS.1202,group00454
MEint283.genome.CDS.1203,group00043
MEint283.genome.CDS.1363,group01566
MEint283.genome.CDS.1362,group14055
MEint283.genome.CDS.1361,group00426
MEint283.genome.CDS.1360,group00318
MEint283.genome.CDS.1367,group01494
MEint283.genome.CDS.1366,group01080
MEint283.genome.CDS.1364,group01050
MEint283.genome.CDS.1197,group00072
MEint283.genome.CDS.754,group00179
MEint283.genome.CDS.755,group00856
MEint283.genome.CDS.756,group00649
MEint283.genome.CDS.757,group00429
MEint283.genome.CDS.750,group01022
MEint283.genome.CDS.751,group00914
MEint283.genome.CDS.752,group00238
MEint283.genome.CDS.753,group00180
MEint283.genome.CDS.822,group05208
MEint283.genome.CDS.758,group00260
MEint283.genome.CDS.759,group01028
MEint283.genome.CDS.988,group00289
MEint283.genome.CDS.1190,group00017
MEint283.genome.CDS.820,group00576
MEint283.genome.CDS.1157,group00814
MEint283.genome.CDS.821,group00770
MEint283.genome.CDS.1518,group00726
MEint283.genome.CDS.985,group00495
MEint283.genome.CDS.1106,group00217
MEint283.genome.CDS.1510,group00555
MEint283.genome.CDS.1511,group00018
MEint283.genome.CDS.1512,group00483
MEint283.genome.CDS.1513,group00076
MEint283.genome.CDS.1514,group00185
MEint283.genome.CDS.1515,group00749
MEint283.genome.CDS.1516,group00997
MEint283.genome.CDS.1517,group00650
MEint283.genome.CDS.1104,group00718
MEint283.genome.CDS.1103,group00410
MEint283.genome.CDS.980,group00215
MEint283.genome.CDS.982,group00612
MEint283.genome.CDS.983,group00939
MEint283.genome.CDS.829,group00760
MEint283.genome.CDS.1358,group00477
MEint283.genome.CDS.1210,group00957
MEint283.genome.CDS.474,group00469
MEint283.genome.CDS.903,group00075
MEint283.genome.CDS.1126,group00580
MEint283.genome.CDS.1219,group00176
MEint283.genome.CDS.1218,group00785
MEint283.genome.CDS.830,group00711
MEint283.genome.CDS.783,group00561
MEint283.genome.CDS.782,group00161
MEint283.genome.CDS.781,group00562
MEint283.genome.CDS.780,group00232
MEint283.genome.CDS.787,group00231
MEint283.genome.CDS.786,group00624
MEint283.genome.CDS.785,group00625
MEint283.genome.CDS.784,group00341
MEint283.genome.CDS.789,group00570
MEint283.genome.CDS.788,group00509
MEint283.genome.CDS.967,group00010
MEint283.genome.CDS.1326,group00031
MEint283.genome.CDS.1325,group00405
MEint283.genome.CDS.826,group00324
MEint283.genome.CDS.827,group00701
MEint283.genome.CDS.824,group00714
MEint283.genome.CDS.825,group01238
MEint283.genome.CDS.989,group01132
MEint283.genome.CDS.823,group00768
MEint283.genome.CDS.1109,group01464
MEint283.genome.CDS.1108,group00320
MEint283.genome.CDS.1107,group00206
MEint283.genome.CDS.984,group00007
MEint283.genome.CDS.987,group00006
MEint283.genome.CDS.986,group00325
MEint283.genome.CDS.981,group00002
MEint283.genome.CDS.1102,group00333
MEint283.genome.CDS.1101,group00042
MEint283.genome.CDS.1100,group00746
MEint283.genome.CDS.961,group00150
MEint283.genome.CDS.960,group00129
MEint283.genome.CDS.1327,group00599
MEint283.genome.CDS.966,group00444
MEint283.genome.CDS.965,group00883
MEint283.genome.CDS.964,group00048
MEint283.genome.CDS.963,group00063
MEint283.genome.CDS.962,group00082
MEint283.genome.CDS.1088,group00428
MEint283.genome.CDS.1089,group00829
MEint283.genome.CDS.1086,group00303
MEint283.genome.CDS.1087,group00351
MEint283.genome.CDS.1084,group00112
MEint283.genome.CDS.1085,group00154
MEint283.genome.CDS.1082,group00713
MEint283.genome.CDS.1083,group00661
MEint283.genome.CDS.1080,group00221
MEint283.genome.CDS.968,group00049
MEint283.genome.CDS.1033,group00790
MEint283.genome.CDS.1032,group00884
MEint283.genome.CDS.910,group00665
MEint283.genome.CDS.1030,group00131
MEint283.genome.CDS.916,group00296
MEint283.genome.CDS.1036,group01375
MEint283.genome.CDS.1035,group01330
MEint283.genome.CDS.1034,group00729
MEint283.genome.CDS.1424,group00802
MEint283.genome.CDS.1425,group00947
MEint283.genome.CDS.918,group00297
MEint283.genome.CDS.1038,group01251
MEint283.genome.CDS.1420,group00174
MEint283.genome.CDS.1421,group00285
MEint283.genome.CDS.1422,group00894
MEint283.genome.CDS.1423,group00074
MEint283.genome.CDS.1381,group00503
MEint283.genome.CDS.1329,group00200
MEint283.genome.CDS.765,group00579
MEint283.genome.CDS.1081,group00153
MEint283.genome.CDS.1465,group00071
MEint283.genome.CDS.1289,group01141
MEint283.genome.CDS.912,group00800
MEint283.genome.CDS.913,group00376
MEint283.genome.CDS.1031,group00789
MEint283.genome.CDS.769,group00375
MEint283.genome.CDS.1259,group00037
MEint283.genome.CDS.1258,group00793
MEint283.genome.CDS.1285,group02455
