AAA278O22.genome.CDS.1833,group00711
AAA278O22.genome.CDS.2174,group00714
AAA278O22.genome.CDS.1954,group00194
AAA278O22.genome.CDS.657,group12699
AAA278O22.genome.CDS.1487,group00765
AAA278O22.genome.CDS.1893,group02537
AAA278O22.genome.CDS.1910,group00945
AAA278O22.genome.CDS.1892,group00917
AAA278O22.genome.CDS.161,group02022
AAA278O22.genome.CDS.1911,group00946
AAA278O22.genome.CDS.1958,group00387
AAA278O22.genome.CDS.1619,group00515
AAA278O22.genome.CDS.1618,group00200
AAA278O22.genome.CDS.1959,group00449
AAA278O22.genome.CDS.1307,group00689
AAA278O22.genome.CDS.1611,group04417
AAA278O22.genome.CDS.1610,group00038
AAA278O22.genome.CDS.1613,group00974
AAA278O22.genome.CDS.1612,group01073
AAA278O22.genome.CDS.1615,group00816
AAA278O22.genome.CDS.1614,group04193
AAA278O22.genome.CDS.1617,group01004
AAA278O22.genome.CDS.2318,group00141
AAA278O22.genome.CDS.2148,group12702
AAA278O22.genome.CDS.491,group12693
AAA278O22.genome.CDS.490,group00247
AAA278O22.genome.CDS.2279,group01382
AAA278O22.genome.CDS.2078,group00076
AAA278O22.genome.CDS.1178,group00283
AAA278O22.genome.CDS.1208,group06578
AAA278O22.genome.CDS.1209,group02171
AAA278O22.genome.CDS.1206,group00096
AAA278O22.genome.CDS.1207,group02370
AAA278O22.genome.CDS.1204,group13627
AAA278O22.genome.CDS.1205,group11925
AAA278O22.genome.CDS.1202,group01317
AAA278O22.genome.CDS.1203,group13099
AAA278O22.genome.CDS.1200,group00981
AAA278O22.genome.CDS.1201,group01333
AAA278O22.genome.CDS.1692,group00943
AAA278O22.genome.CDS.563,group00668
AAA278O22.genome.CDS.2291,group00320
AAA278O22.genome.CDS.1798,group02033
AAA278O22.genome.CDS.2339,group00735
AAA278O22.genome.CDS.1412,group00652
AAA278O22.genome.CDS.1739,group01019
AAA278O22.genome.CDS.1828,group01313
AAA278O22.genome.CDS.1499,group00627
AAA278O22.genome.CDS.1922,group00337
AAA278O22.genome.CDS.1826,group00647
AAA278O22.genome.CDS.2079,group00483
AAA278O22.genome.CDS.1822,group01516
AAA278O22.genome.CDS.2071,group00912
AAA278O22.genome.CDS.1764,group01033
AAA278O22.genome.CDS.2297,group00853
AAA278O22.genome.CDS.198,group00025
AAA278O22.genome.CDS.1796,group00186
AAA278O22.genome.CDS.1308,group00521
AAA278O22.genome.CDS.2073,group00726
AAA278O22.genome.CDS.1970,group00605
AAA278O22.genome.CDS.1790,group01625
AAA278O22.genome.CDS.262,group13091
AAA278O22.genome.CDS.1791,group00013
AAA278O22.genome.CDS.2052,group11758
AAA278O22.genome.CDS.2053,group00063
AAA278O22.genome.CDS.2050,group00444
AAA278O22.genome.CDS.2198,group00145
AAA278O22.genome.CDS.2056,group00129
AAA278O22.genome.CDS.1820,group06998
AAA278O22.genome.CDS.2054,group00084
AAA278O22.genome.CDS.2055,group05288
AAA278O22.genome.CDS.2193,group00097
AAA278O22.genome.CDS.2192,group00062
AAA278O22.genome.CDS.2191,group00072
AAA278O22.genome.CDS.1418,group01487
AAA278O22.genome.CDS.2197,group00172
AAA278O22.genome.CDS.1052,group02082
AAA278O22.genome.CDS.2195,group00123
AAA278O22.genome.CDS.2194,group00098
AAA278O22.genome.CDS.1403,group00073
AAA278O22.genome.CDS.873,group12701
AAA278O22.genome.CDS.2132,group00545
AAA278O22.genome.CDS.2128,group00284
AAA278O22.genome.CDS.2126,group00202
AAA278O22.genome.CDS.2127,group00306
AAA278O22.genome.CDS.2124,group00397
AAA278O22.genome.CDS.2125,group00425
AAA278O22.genome.CDS.2122,group00257
AAA278O22.genome.CDS.2123,group00362
AAA278O22.genome.CDS.2120,group00136
AAA278O22.genome.CDS.2121,group00381
AAA278O22.genome.CDS.1444,group01023
AAA278O22.genome.CDS.1333,group00305
AAA278O22.genome.CDS.1446,group00972
AAA278O22.genome.CDS.1331,group00646
AAA278O22.genome.CDS.1440,group00267
AAA278O22.genome.CDS.1441,group00809
AAA278O22.genome.CDS.1334,group00855
AAA278O22.genome.CDS.1335,group00587
AAA278O22.genome.CDS.1725,group00957
AAA278O22.genome.CDS.1724,group02307
AAA278O22.genome.CDS.1727,group01284
AAA278O22.genome.CDS.1726,group00029
AAA278O22.genome.CDS.1721,group00009
AAA278O22.genome.CDS.1449,group03988
AAA278O22.genome.CDS.1723,group00787
AAA278O22.genome.CDS.1722,group00817
AAA278O22.genome.CDS.1747,group00831
AAA278O22.genome.CDS.1927,group00433
AAA278O22.genome.CDS.2149,group10533
AAA278O22.genome.CDS.2308,group00361
AAA278O22.genome.CDS.2021,group00133
AAA278O22.genome.CDS.2276,group00624
AAA278O22.genome.CDS.2277,group00625
AAA278O22.genome.CDS.2274,group09158
AAA278O22.genome.CDS.2275,group00236
AAA278O22.genome.CDS.2272,group00542
AAA278O22.genome.CDS.2273,group03372
AAA278O22.genome.CDS.2270,group00635
AAA278O22.genome.CDS.2271,group00056
AAA278O22.genome.CDS.1843,group00942
AAA278O22.genome.CDS.1291,group01230
AAA278O22.genome.CDS.2302,group00138
AAA278O22.genome.CDS.2354,group02374
AAA278O22.genome.CDS.2336,group00497
AAA278O22.genome.CDS.1965,group00750
AAA278O22.genome.CDS.1742,group00952
AAA278O22.genome.CDS.1848,group00683
AAA278O22.genome.CDS.1849,group00983
AAA278O22.genome.CDS.1433,group00623
AAA278O22.genome.CDS.1920,group00793
AAA278O22.genome.CDS.1435,group00783
AAA278O22.genome.CDS.1926,group00615
AAA278O22.genome.CDS.1925,group13659
AAA278O22.genome.CDS.1924,group01088
AAA278O22.genome.CDS.1439,group00908
AAA278O22.genome.CDS.1438,group12671
AAA278O22.genome.CDS.1385,group08257
AAA278O22.genome.CDS.2024,group00331
AAA278O22.genome.CDS.1383,group01331
AAA278O22.genome.CDS.1382,group05439
AAA278O22.genome.CDS.1846,group10910
AAA278O22.genome.CDS.1380,group00937
AAA278O22.genome.CDS.1538,group00354
AAA278O22.genome.CDS.1539,group00134
AAA278O22.genome.CDS.1530,group12706
AAA278O22.genome.CDS.1531,group00249
AAA278O22.genome.CDS.1532,group00471
AAA278O22.genome.CDS.2147,group01027
AAA278O22.genome.CDS.1534,group00012
AAA278O22.genome.CDS.1535,group00392
AAA278O22.genome.CDS.1536,group00275
AAA278O22.genome.CDS.1537,group00786
AAA278O22.genome.CDS.1744,group01017
AAA278O22.genome.CDS.2028,group00832
AAA278O22.genome.CDS.2022,group00360
AAA278O22.genome.CDS.1244,group00096
AAA278O22.genome.CDS.2145,group00357
AAA278O22.genome.CDS.1262,group01047
AAA278O22.genome.CDS.1749,group10262
AAA278O22.genome.CDS.2185,group00384
AAA278O22.genome.CDS.1616,group00950
AAA278O22.genome.CDS.1388,group00071
AAA278O22.genome.CDS.1516,group09639
AAA278O22.genome.CDS.1657,group14022
AAA278O22.genome.CDS.1656,group01669
AAA278O22.genome.CDS.1650,group00829
AAA278O22.genome.CDS.1653,group00829
AAA278O22.genome.CDS.1652,group12694
AAA278O22.genome.CDS.1659,group09627
AAA278O22.genome.CDS.1658,group04192
AAA278O22.genome.CDS.1453,group01016
AAA278O22.genome.CDS.2278,group10680
AAA278O22.genome.CDS.2182,group04964
AAA278O22.genome.CDS.1962,group00754
AAA278O22.genome.CDS.1797,group00013
AAA278O22.genome.CDS.1387,group04870
AAA278O22.genome.CDS.1517,group01181
AAA278O22.genome.CDS.2020,group08262
AAA278O22.genome.CDS.981,group07304
AAA278O22.genome.CDS.1906,group00922
AAA278O22.genome.CDS.1623,group12759
AAA278O22.genome.CDS.1467,group00034
AAA278O22.genome.CDS.1386,group12677
AAA278O22.genome.CDS.2072,group00270
AAA278O22.genome.CDS.2027,group00813
AAA278O22.genome.CDS.2034,group00719
AAA278O22.genome.CDS.1829,group08713
AAA278O22.genome.CDS.1330,group00135
AAA278O22.genome.CDS.625,group12997
AAA278O22.genome.CDS.1929,group01032
AAA278O22.genome.CDS.1461,group03377
AAA278O22.genome.CDS.2118,group02030
AAA278O22.genome.CDS.1793,group08165
AAA278O22.genome.CDS.1378,group00788
AAA278O22.genome.CDS.1379,group02722
AAA278O22.genome.CDS.1376,group08948
AAA278O22.genome.CDS.1377,group00010
AAA278O22.genome.CDS.1374,group00919
AAA278O22.genome.CDS.1375,group08235
AAA278O22.genome.CDS.1372,group06192
AAA278O22.genome.CDS.1373,group03887
AAA278O22.genome.CDS.1370,group04409
AAA278O22.genome.CDS.1371,group04116
AAA278O22.genome.CDS.2157,group00673
AAA278O22.genome.CDS.2156,group01515
AAA278O22.genome.CDS.2155,group09066
AAA278O22.genome.CDS.2154,group00664
AAA278O22.genome.CDS.2153,group00291
AAA278O22.genome.CDS.2152,group00196
AAA278O22.genome.CDS.2151,group02857
AAA278O22.genome.CDS.2150,group00330
AAA278O22.genome.CDS.1888,group00764
AAA278O22.genome.CDS.1794,group01454
AAA278O22.genome.CDS.2159,group11641
AAA278O22.genome.CDS.2158,group10719
AAA278O22.genome.CDS.1704,group00438
AAA278O22.genome.CDS.1273,group00506
AAA278O22.genome.CDS.1306,group08420
AAA278O22.genome.CDS.1305,group06538
AAA278O22.genome.CDS.1277,group00119
AAA278O22.genome.CDS.1276,group00994
AAA278O22.genome.CDS.1275,group13631
AAA278O22.genome.CDS.1274,group00269
AAA278O22.genome.CDS.2063,group08400
AAA278O22.genome.CDS.1272,group00507
AAA278O22.genome.CDS.1271,group00388
AAA278O22.genome.CDS.1270,group06132
AAA278O22.genome.CDS.1599,group00923
AAA278O22.genome.CDS.1416,group11259
AAA278O22.genome.CDS.1279,group04115
AAA278O22.genome.CDS.1278,group03798
AAA278O22.genome.CDS.1189,group00021
AAA278O22.genome.CDS.1188,group03877
AAA278O22.genome.CDS.1452,group01208
AAA278O22.genome.CDS.1185,group00508
AAA278O22.genome.CDS.1184,group03112
AAA278O22.genome.CDS.1187,group00395
AAA278O22.genome.CDS.1186,group00020
AAA278O22.genome.CDS.1181,group02028
AAA278O22.genome.CDS.1180,group00597
AAA278O22.genome.CDS.1183,group00822
AAA278O22.genome.CDS.1182,group10214
AAA278O22.genome.CDS.1871,group00724
AAA278O22.genome.CDS.1437,group00068
AAA278O22.genome.CDS.2062,group08240
AAA278O22.genome.CDS.1872,group04318
AAA278O22.genome.CDS.1875,group00523
AAA278O22.genome.CDS.2076,group00742
AAA278O22.genome.CDS.1877,group07649
AAA278O22.genome.CDS.1876,group00581
AAA278O22.genome.CDS.1879,group00610
AAA278O22.genome.CDS.1878,group00618
AAA278O22.genome.CDS.1841,group08121
AAA278O22.genome.CDS.1899,group00854
AAA278O22.genome.CDS.2259,group00281
AAA278O22.genome.CDS.1804,group00147
AAA278O22.genome.CDS.1773,group00975
AAA278O22.genome.CDS.1806,group00067
AAA278O22.genome.CDS.1771,group00626
AAA278O22.genome.CDS.1800,group00146
AAA278O22.genome.CDS.1801,group00064
AAA278O22.genome.CDS.1774,group00849
AAA278O22.genome.CDS.2019,group01086
AAA278O22.genome.CDS.2016,group00314
AAA278O22.genome.CDS.2017,group08679
AAA278O22.genome.CDS.2014,group00313
AAA278O22.genome.CDS.2015,group00654
AAA278O22.genome.CDS.1808,group00163
AAA278O22.genome.CDS.2013,group00857
AAA278O22.genome.CDS.2010,group00286
AAA278O22.genome.CDS.2011,group02252
AAA278O22.genome.CDS.1574,group00913
AAA278O22.genome.CDS.1575,group08428
AAA278O22.genome.CDS.1576,group02630
AAA278O22.genome.CDS.1577,group00399
AAA278O22.genome.CDS.1570,group00852
AAA278O22.genome.CDS.1730,group00785
AAA278O22.genome.CDS.1572,group00054
AAA278O22.genome.CDS.1573,group00165
AAA278O22.genome.CDS.1475,group00984
AAA278O22.genome.CDS.1474,group01124
AAA278O22.genome.CDS.1477,group00224
AAA278O22.genome.CDS.1476,group12670
AAA278O22.genome.CDS.1471,group00955
AAA278O22.genome.CDS.1470,group01310
AAA278O22.genome.CDS.1473,group00748
AAA278O22.genome.CDS.1472,group06648
AAA278O22.genome.CDS.1987,group01291
AAA278O22.genome.CDS.1986,group08655
AAA278O22.genome.CDS.1981,group00720
AAA278O22.genome.CDS.1980,group01870
AAA278O22.genome.CDS.1983,group00584
AAA278O22.genome.CDS.1982,group08763
AAA278O22.genome.CDS.1989,group06565
AAA278O22.genome.CDS.1988,group03567
AAA278O22.genome.CDS.1442,group00502
AAA278O22.genome.CDS.2218,group00766
AAA278O22.genome.CDS.1598,group00687
AAA278O22.genome.CDS.1597,group11729
AAA278O22.genome.CDS.2209,group00243
AAA278O22.genome.CDS.2350,group00152
AAA278O22.genome.CDS.2207,group00903
AAA278O22.genome.CDS.2206,group12705
AAA278O22.genome.CDS.2205,group11191
AAA278O22.genome.CDS.2204,group08442
AAA278O22.genome.CDS.2203,group00458
AAA278O22.genome.CDS.2202,group07142
AAA278O22.genome.CDS.2201,group00708
AAA278O22.genome.CDS.2200,group00244
AAA278O22.genome.CDS.1978,group01048
AAA278O22.genome.CDS.1500,group00205
AAA278O22.genome.CDS.1503,group00642
AAA278O22.genome.CDS.1502,group00931
AAA278O22.genome.CDS.1505,group00127
AAA278O22.genome.CDS.2139,group12703
AAA278O22.genome.CDS.1507,group02887
AAA278O22.genome.CDS.1506,group01262
AAA278O22.genome.CDS.2333,group00534
AAA278O22.genome.CDS.1971,group00461
AAA278O22.genome.CDS.1972,group00492
AAA278O22.genome.CDS.2330,group05250
AAA278O22.genome.CDS.2337,group00141
AAA278O22.genome.CDS.1975,group00445
AAA278O22.genome.CDS.1976,group05403
AAA278O22.genome.CDS.2334,group00535
AAA278O22.genome.CDS.1691,group07217
AAA278O22.genome.CDS.1690,group00505
AAA278O22.genome.CDS.1693,group07148
AAA278O22.genome.CDS.1678,group06511
AAA278O22.genome.CDS.1695,group00725
AAA278O22.genome.CDS.1694,group00383
AAA278O22.genome.CDS.1697,group01172
AAA278O22.genome.CDS.1696,group00512
AAA278O22.genome.CDS.1699,group00035
AAA278O22.genome.CDS.1698,group00552
AAA278O22.genome.CDS.1974,group00326
AAA278O22.genome.CDS.2287,group00926
AAA278O22.genome.CDS.2286,group00410
AAA278O22.genome.CDS.1498,group05873
AAA278O22.genome.CDS.2284,group00050
AAA278O22.genome.CDS.1426,group00367
AAA278O22.genome.CDS.2328,group01007
AAA278O22.genome.CDS.1951,group00349
AAA278O22.genome.CDS.2282,group00232
AAA278O22.genome.CDS.1670,group01057
AAA278O22.genome.CDS.1968,group06358
AAA278O22.genome.CDS.1514,group00566
AAA278O22.genome.CDS.1602,group00144
AAA278O22.genome.CDS.1603,group00200
AAA278O22.genome.CDS.1600,group00814
AAA278O22.genome.CDS.2280,group00161
AAA278O22.genome.CDS.1606,group00430
AAA278O22.genome.CDS.1607,group11516
AAA278O22.genome.CDS.1604,group01004
AAA278O22.genome.CDS.1605,group13125
AAA278O22.genome.CDS.1048,group00031
AAA278O22.genome.CDS.2349,group00696
AAA278O22.genome.CDS.1339,group00576
AAA278O22.genome.CDS.1904,group00920
AAA278O22.genome.CDS.1907,group00992
AAA278O22.genome.CDS.1243,group07014
AAA278O22.genome.CDS.1233,group02420
AAA278O22.genome.CDS.1232,group00959
AAA278O22.genome.CDS.1231,group12774
AAA278O22.genome.CDS.1230,group12370
AAA278O22.genome.CDS.1237,group03946
AAA278O22.genome.CDS.1236,group03783
AAA278O22.genome.CDS.1235,group07796
AAA278O22.genome.CDS.1234,group01962
AAA278O22.genome.CDS.1239,group02783
AAA278O22.genome.CDS.1238,group03782
AAA278O22.genome.CDS.1851,group00017
AAA278O22.genome.CDS.1643,group01038
AAA278O22.genome.CDS.2321,group00486
AAA278O22.genome.CDS.1285,group00419
AAA278O22.genome.CDS.2322,group00001
AAA278O22.genome.CDS.1496,group02667
AAA278O22.genome.CDS.2323,group05442
AAA278O22.genome.CDS.1240,group01991
AAA278O22.genome.CDS.1447,group00969
AAA278O22.genome.CDS.1494,group00110
AAA278O22.genome.CDS.1683,group00740
AAA278O22.genome.CDS.1420,group02179
AAA278O22.genome.CDS.1282,group00093
AAA278O22.genome.CDS.1788,group07826
AAA278O22.genome.CDS.1390,group08410
AAA278O22.genome.CDS.1731,group12056
AAA278O22.genome.CDS.1935,group13830
AAA278O22.genome.CDS.2138,group01027
AAA278O22.genome.CDS.1392,group13051
AAA278O22.genome.CDS.1283,group00092
