acMicro-4.genome.CDS.1877,group00109
acMicro-4.genome.CDS.1876,group00171
acMicro-4.genome.CDS.1875,group00008
acMicro-4.genome.CDS.1874,group00298
acMicro-4.genome.CDS.1873,group00462
acMicro-4.genome.CDS.1872,group00494
acMicro-4.genome.CDS.1871,group00667
acMicro-4.genome.CDS.1870,group00875
acMicro-4.genome.CDS.1879,group00103
acMicro-4.genome.CDS.1878,group00511
acMicro-4.genome.CDS.1144,group00876
acMicro-4.genome.CDS.1978,group01370
acMicro-4.genome.CDS.1979,group00231
acMicro-4.genome.CDS.1976,group05616
acMicro-4.genome.CDS.1977,group05617
acMicro-4.genome.CDS.239,group06481
acMicro-4.genome.CDS.1975,group03380
acMicro-4.genome.CDS.1972,group00341
acMicro-4.genome.CDS.1973,group00625
acMicro-4.genome.CDS.1970,group00161
acMicro-4.genome.CDS.1895,group00989
acMicro-4.genome.CDS.1595,group06494
acMicro-4.genome.CDS.1897,group01605
acMicro-4.genome.CDS.1334,group01047
acMicro-4.genome.CDS.1335,group00423
acMicro-4.genome.CDS.1336,group01014
acMicro-4.genome.CDS.973,group06461
acMicro-4.genome.CDS.1330,group00465
acMicro-4.genome.CDS.1331,group00447
acMicro-4.genome.CDS.1155,group00092
acMicro-4.genome.CDS.1333,group00588
acMicro-4.genome.CDS.1235,group05592
acMicro-4.genome.CDS.1234,group05591
acMicro-4.genome.CDS.1237,group00195
acMicro-4.genome.CDS.1236,group00164
acMicro-4.genome.CDS.1231,group01755
acMicro-4.genome.CDS.1230,group00262
acMicro-4.genome.CDS.1233,group03960
acMicro-4.genome.CDS.1591,group00496
acMicro-4.genome.CDS.1198,group01146
acMicro-4.genome.CDS.1199,group00700
acMicro-4.genome.CDS.2179,group00326
acMicro-4.genome.CDS.2178,group00445
acMicro-4.genome.CDS.1893,group02947
acMicro-4.genome.CDS.1780,group03280
acMicro-4.genome.CDS.2173,group00393
acMicro-4.genome.CDS.1191,group01468
acMicro-4.genome.CDS.1192,group01205
acMicro-4.genome.CDS.1892,group06466
acMicro-4.genome.CDS.2177,group00268
acMicro-4.genome.CDS.1195,group00185
acMicro-4.genome.CDS.1196,group02839
acMicro-4.genome.CDS.1197,group01103
acMicro-4.genome.CDS.2031,group00921
acMicro-4.genome.CDS.1378,group00115
acMicro-4.genome.CDS.1341,group06482
acMicro-4.genome.CDS.1340,group06483
acMicro-4.genome.CDS.1343,group06480
acMicro-4.genome.CDS.1342,group02416
acMicro-4.genome.CDS.1345,group06479
acMicro-4.genome.CDS.1344,group05594
acMicro-4.genome.CDS.1347,group00598
acMicro-4.genome.CDS.1346,group01078
acMicro-4.genome.CDS.1349,group01555
acMicro-4.genome.CDS.1451,group00824
acMicro-4.genome.CDS.1984,group02432
acMicro-4.genome.CDS.1747,group00009
acMicro-4.genome.CDS.1898,group01261
acMicro-4.genome.CDS.1583,group00068
acMicro-4.genome.CDS.1429,group00665
acMicro-4.genome.CDS.1581,group00677
acMicro-4.genome.CDS.1746,group02471
acMicro-4.genome.CDS.1586,group02683
acMicro-4.genome.CDS.1585,group00571
acMicro-4.genome.CDS.1584,group00047
acMicro-4.genome.CDS.1420,group01525
acMicro-4.genome.CDS.1421,group01426
acMicro-4.genome.CDS.1589,group00591
acMicro-4.genome.CDS.1588,group00630
acMicro-4.genome.CDS.1424,group01297
acMicro-4.genome.CDS.1425,group00645
acMicro-4.genome.CDS.1426,group02478
acMicro-4.genome.CDS.1427,group00093
acMicro-4.genome.CDS.2014,group01150
acMicro-4.genome.CDS.2015,group01609
acMicro-4.genome.CDS.2016,group02470
acMicro-4.genome.CDS.2017,group03809
acMicro-4.genome.CDS.2010,group01188
acMicro-4.genome.CDS.751,group06467
acMicro-4.genome.CDS.2012,group04225
acMicro-4.genome.CDS.2013,group00475
acMicro-4.genome.CDS.1742,group00752
acMicro-4.genome.CDS.2019,group00557
acMicro-4.genome.CDS.1569,group00112
acMicro-4.genome.CDS.1601,group00130
acMicro-4.genome.CDS.1602,group00018
acMicro-4.genome.CDS.1508,group00381
acMicro-4.genome.CDS.1604,group00076
acMicro-4.genome.CDS.1605,group00789
acMicro-4.genome.CDS.1606,group00884
acMicro-4.genome.CDS.1607,group00790
acMicro-4.genome.CDS.1608,group02120
acMicro-4.genome.CDS.1560,group00904
acMicro-4.genome.CDS.1563,group00905
acMicro-4.genome.CDS.1562,group00973
acMicro-4.genome.CDS.1565,group00637
acMicro-4.genome.CDS.1974,group00624
acMicro-4.genome.CDS.1567,group01870
acMicro-4.genome.CDS.1566,group00114
acMicro-4.genome.CDS.1165,group00275
acMicro-4.genome.CDS.1164,group01276
acMicro-4.genome.CDS.1695,group00698
acMicro-4.genome.CDS.1166,group00392
acMicro-4.genome.CDS.1693,group00615
acMicro-4.genome.CDS.1519,group03622
acMicro-4.genome.CDS.1163,group00919
acMicro-4.genome.CDS.1162,group01040
acMicro-4.genome.CDS.1514,group00202
acMicro-4.genome.CDS.1626,group05598
acMicro-4.genome.CDS.1516,group00284
acMicro-4.genome.CDS.1517,group00482
acMicro-4.genome.CDS.1510,group02688
acMicro-4.genome.CDS.1168,group00453
acMicro-4.genome.CDS.1512,group00394
acMicro-4.genome.CDS.1513,group00425
acMicro-4.genome.CDS.1467,group00320
acMicro-4.genome.CDS.1460,group00439
acMicro-4.genome.CDS.1249,group02284
acMicro-4.genome.CDS.1461,group00386
acMicro-4.genome.CDS.513,group02945
acMicro-4.genome.CDS.897,group02562
acMicro-4.genome.CDS.18,group06432
acMicro-4.genome.CDS.124,group06429
acMicro-4.genome.CDS.1768,group00085
acMicro-4.genome.CDS.1763,group00334
acMicro-4.genome.CDS.1301,group03122
acMicro-4.genome.CDS.1761,group00328
acMicro-4.genome.CDS.1760,group05610
acMicro-4.genome.CDS.1767,group01159
acMicro-4.genome.CDS.1766,group00101
acMicro-4.genome.CDS.1765,group00196
acMicro-4.genome.CDS.1764,group00295
acMicro-4.genome.CDS.2061,group01610
acMicro-4.genome.CDS.2060,group00457
acMicro-4.genome.CDS.2063,group00724
acMicro-4.genome.CDS.1676,group06499
acMicro-4.genome.CDS.2065,group00289
acMicro-4.genome.CDS.2064,group00342
acMicro-4.genome.CDS.2067,group00006
acMicro-4.genome.CDS.2066,group00006
acMicro-4.genome.CDS.2068,group00325
acMicro-4.genome.CDS.837,group01795
acMicro-4.genome.CDS.1479,group00366
acMicro-4.genome.CDS.1833,group00044
acMicro-4.genome.CDS.1832,group00766
acMicro-4.genome.CDS.1831,group00260
acMicro-4.genome.CDS.1830,group01931
acMicro-4.genome.CDS.1837,group00810
acMicro-4.genome.CDS.1836,group02124
acMicro-4.genome.CDS.1835,group00587
acMicro-4.genome.CDS.1834,group06440
acMicro-4.genome.CDS.1610,group00283
acMicro-4.genome.CDS.1838,group02469
acMicro-4.genome.CDS.1805,group00687
acMicro-4.genome.CDS.1576,group00541
acMicro-4.genome.CDS.1678,group00321
acMicro-4.genome.CDS.1337,group06485
acMicro-4.genome.CDS.1239,group00168
acMicro-4.genome.CDS.1636,group06497
acMicro-4.genome.CDS.1238,group00078
acMicro-4.genome.CDS.1907,group03785
acMicro-4.genome.CDS.1906,group00590
acMicro-4.genome.CDS.1905,group00090
acMicro-4.genome.CDS.1904,group00895
acMicro-4.genome.CDS.1903,group00613
acMicro-4.genome.CDS.1902,group00336
acMicro-4.genome.CDS.1901,group01155
acMicro-4.genome.CDS.1900,group00900
acMicro-4.genome.CDS.678,group06442
acMicro-4.genome.CDS.1909,group01535
acMicro-4.genome.CDS.1908,group02677
acMicro-4.genome.CDS.1396,group00586
acMicro-4.genome.CDS.1397,group00421
acMicro-4.genome.CDS.1394,group00970
acMicro-4.genome.CDS.1175,group00388
acMicro-4.genome.CDS.1392,group00593
acMicro-4.genome.CDS.1393,group03397
acMicro-4.genome.CDS.1390,group00994
acMicro-4.genome.CDS.1391,group00468
acMicro-4.genome.CDS.1398,group00034
acMicro-4.genome.CDS.1399,group00803
acMicro-4.genome.CDS.1262,group00544
acMicro-4.genome.CDS.1263,group00163
acMicro-4.genome.CDS.1260,group00116
acMicro-4.genome.CDS.1261,group00592
acMicro-4.genome.CDS.1266,group00190
acMicro-4.genome.CDS.1267,group00067
acMicro-4.genome.CDS.1264,group06426
acMicro-4.genome.CDS.1265,group05593
acMicro-4.genome.CDS.1338,group06484
acMicro-4.genome.CDS.1268,group03101
acMicro-4.genome.CDS.1269,group00431
acMicro-4.genome.CDS.1488,group00082
acMicro-4.genome.CDS.1339,group03896
acMicro-4.genome.CDS.1464,group00410
acMicro-4.genome.CDS.1465,group00217
acMicro-4.genome.CDS.1466,group00206
acMicro-4.genome.CDS.1526,group06492
acMicro-4.genome.CDS.1309,group00392
acMicro-4.genome.CDS.1308,group03026
acMicro-4.genome.CDS.1462,group00139
acMicro-4.genome.CDS.1463,group00050
acMicro-4.genome.CDS.1305,group06423
acMicro-4.genome.CDS.1304,group06424
acMicro-4.genome.CDS.1307,group03025
acMicro-4.genome.CDS.1306,group03384
acMicro-4.genome.CDS.1468,group02700
acMicro-4.genome.CDS.1469,group06477
acMicro-4.genome.CDS.1303,group05576
acMicro-4.genome.CDS.1302,group06425
acMicro-4.genome.CDS.403,group00844
acMicro-4.genome.CDS.407,group06475
acMicro-4.genome.CDS.1522,group00019
acMicro-4.genome.CDS.1525,group00982
acMicro-4.genome.CDS.1524,group02593
acMicro-4.genome.CDS.1527,group03534
acMicro-4.genome.CDS.1489,group00150
acMicro-4.genome.CDS.1521,group01451
acMicro-4.genome.CDS.1520,group00692
acMicro-4.genome.CDS.1523,group00887
acMicro-4.genome.CDS.797,group00573
acMicro-4.genome.CDS.1482,group00297
acMicro-4.genome.CDS.1483,group00227
acMicro-4.genome.CDS.1480,group00296
acMicro-4.genome.CDS.1070,group00461
acMicro-4.genome.CDS.1529,group01483
acMicro-4.genome.CDS.1528,group01399
acMicro-4.genome.CDS.1484,group01356
acMicro-4.genome.CDS.1485,group00048
acMicro-4.genome.CDS.1410,group00162
acMicro-4.genome.CDS.1413,group00314
acMicro-4.genome.CDS.1412,group00659
acMicro-4.genome.CDS.1415,group03296
acMicro-4.genome.CDS.1414,group00293
acMicro-4.genome.CDS.1417,group00498
acMicro-4.genome.CDS.1416,group00377
acMicro-4.genome.CDS.1419,group00290
acMicro-4.genome.CDS.1486,group00063
acMicro-4.genome.CDS.1326,group00344
acMicro-4.genome.CDS.2136,group03800
acMicro-4.genome.CDS.1990,group00650
acMicro-4.genome.CDS.1190,group00678
acMicro-4.genome.CDS.2122,group06454
acMicro-4.genome.CDS.1993,group01904
acMicro-4.genome.CDS.2124,group01588
acMicro-4.genome.CDS.1995,group01806
acMicro-4.genome.CDS.1996,group00081
acMicro-4.genome.CDS.1997,group00827
acMicro-4.genome.CDS.2128,group01503
acMicro-4.genome.CDS.1999,group01089
acMicro-4.genome.CDS.2171,group00519
acMicro-4.genome.CDS.1741,group03287
acMicro-4.genome.CDS.2170,group00236
acMicro-4.genome.CDS.2029,group00992
acMicro-4.genome.CDS.2028,group01714
acMicro-4.genome.CDS.2025,group00738
acMicro-4.genome.CDS.1194,group02480
acMicro-4.genome.CDS.2027,group04961
acMicro-4.genome.CDS.2026,group01560
acMicro-4.genome.CDS.2021,group02008
acMicro-4.genome.CDS.2020,group00558
acMicro-4.genome.CDS.2023,group00945
acMicro-4.genome.CDS.2022,group00946
acMicro-4.genome.CDS.1639,group00829
acMicro-4.genome.CDS.1638,group00428
acMicro-4.genome.CDS.1732,group05607
acMicro-4.genome.CDS.1733,group06445
acMicro-4.genome.CDS.1734,group01604
acMicro-4.genome.CDS.2175,group01048
acMicro-4.genome.CDS.1736,group00576
acMicro-4.genome.CDS.1681,group06501
acMicro-4.genome.CDS.1631,group00747
acMicro-4.genome.CDS.1630,group00042
acMicro-4.genome.CDS.1633,group00924
acMicro-4.genome.CDS.1632,group00702
acMicro-4.genome.CDS.1635,group00575
acMicro-4.genome.CDS.1634,group01530
acMicro-4.genome.CDS.1637,group00043
acMicro-4.genome.CDS.1881,group00039
acMicro-4.genome.CDS.1160,group00119
acMicro-4.genome.CDS.1138,group02697
acMicro-4.genome.CDS.1139,group01147
acMicro-4.genome.CDS.1648,group00128
acMicro-4.genome.CDS.1649,group00279
acMicro-4.genome.CDS.1644,group00027
acMicro-4.genome.CDS.1133,group00234
acMicro-4.genome.CDS.1130,group04904
acMicro-4.genome.CDS.1647,group00375
acMicro-4.genome.CDS.1136,group00396
acMicro-4.genome.CDS.1641,group00225
acMicro-4.genome.CDS.1642,group00240
acMicro-4.genome.CDS.1135,group02958
acMicro-4.genome.CDS.1686,group00822
acMicro-4.genome.CDS.1418,group00130
acMicro-4.genome.CDS.1687,group01384
acMicro-4.genome.CDS.2037,group00854
acMicro-4.genome.CDS.1933,group05613
acMicro-4.genome.CDS.1151,group00091
acMicro-4.genome.CDS.2134,group01895
acMicro-4.genome.CDS.2180,group00404
acMicro-4.genome.CDS.2181,group00492
acMicro-4.genome.CDS.1936,group00927
acMicro-4.genome.CDS.1937,group01020
acMicro-4.genome.CDS.2120,group05198
acMicro-4.genome.CDS.2184,group03102
acMicro-4.genome.CDS.2121,group05199
acMicro-4.genome.CDS.2185,group00307
acMicro-4.genome.CDS.1992,group00433
acMicro-4.genome.CDS.2123,group01648
acMicro-4.genome.CDS.1994,group00094
acMicro-4.genome.CDS.2188,group00470
acMicro-4.genome.CDS.2125,group06453
acMicro-4.genome.CDS.2189,group01033
acMicro-4.genome.CDS.2126,group06452
acMicro-4.genome.CDS.2127,group00742
acMicro-4.genome.CDS.1868,group00517
acMicro-4.genome.CDS.1942,group05614
acMicro-4.genome.CDS.1645,group06495
acMicro-4.genome.CDS.1940,group00809
acMicro-4.genome.CDS.1947,group01118
acMicro-4.genome.CDS.1946,group00991
acMicro-4.genome.CDS.1945,group01067
acMicro-4.genome.CDS.1944,group06465
acMicro-4.genome.CDS.1860,group06468
acMicro-4.genome.CDS.1861,group02271
acMicro-4.genome.CDS.1862,group01841
acMicro-4.genome.CDS.1863,group00001
acMicro-4.genome.CDS.1864,group00003
acMicro-4.genome.CDS.1438,group00547
acMicro-4.genome.CDS.1866,group00520
acMicro-4.genome.CDS.1867,group00463
acMicro-4.genome.CDS.1991,group00787
acMicro-4.genome.CDS.1407,group03282
acMicro-4.genome.CDS.1228,group00070
acMicro-4.genome.CDS.1348,group00918
acMicro-4.genome.CDS.1226,group03764
acMicro-4.genome.CDS.1227,group00088
acMicro-4.genome.CDS.1224,group00054
acMicro-4.genome.CDS.1225,group05590
acMicro-4.genome.CDS.1222,group05589
acMicro-4.genome.CDS.1223,group01311
acMicro-4.genome.CDS.1220,group00729
acMicro-4.genome.CDS.1221,group00165
acMicro-4.genome.CDS.523,group03124
acMicro-4.genome.CDS.522,group01302
acMicro-4.genome.CDS.2168,group00934
acMicro-4.genome.CDS.2169,group00761
acMicro-4.genome.CDS.1843,group01267
acMicro-4.genome.CDS.299,group01373
acMicro-4.genome.CDS.2165,group05620
acMicro-4.genome.CDS.2166,group02681
acMicro-4.genome.CDS.2167,group00584
acMicro-4.genome.CDS.2160,group03435
acMicro-4.genome.CDS.2161,group01551
acMicro-4.genome.CDS.2162,group05461
acMicro-4.genome.CDS.2163,group06446
acMicro-4.genome.CDS.1809,group00486
acMicro-4.genome.CDS.1713,group02684
acMicro-4.genome.CDS.1428,group00640
acMicro-4.genome.CDS.1350,group03134
acMicro-4.genome.CDS.1351,group00538
acMicro-4.genome.CDS.1356,group00415
acMicro-4.genome.CDS.1357,group00527
acMicro-4.genome.CDS.1354,group00585
acMicro-4.genome.CDS.1355,group00493
acMicro-4.genome.CDS.1293,group03097
acMicro-4.genome.CDS.1292,group00117
acMicro-4.genome.CDS.1358,group02484
acMicro-4.genome.CDS.1359,group00255
acMicro-4.genome.CDS.1297,group00025
acMicro-4.genome.CDS.1296,group00252
acMicro-4.genome.CDS.1295,group00675
acMicro-4.genome.CDS.1594,group00828
acMicro-4.genome.CDS.1894,group00987
acMicro-4.genome.CDS.1596,group05596
acMicro-4.genome.CDS.1597,group01219
acMicro-4.genome.CDS.1590,group00794
acMicro-4.genome.CDS.1458,group00141
acMicro-4.genome.CDS.1592,group00001
acMicro-4.genome.CDS.1593,group00003
acMicro-4.genome.CDS.1455,group00291
acMicro-4.genome.CDS.1454,group00080
acMicro-4.genome.CDS.1457,group00379
acMicro-4.genome.CDS.1456,group00491
acMicro-4.genome.CDS.1899,group01085
acMicro-4.genome.CDS.1450,group02121
acMicro-4.genome.CDS.1453,group00364
acMicro-4.genome.CDS.1452,group00488
acMicro-4.genome.CDS.1748,group00745
acMicro-4.genome.CDS.2176,group00564
acMicro-4.genome.CDS.1889,group03098
acMicro-4.genome.CDS.1675,group00287
acMicro-4.genome.CDS.1674,group00251
acMicro-4.genome.CDS.1677,group00220
acMicro-4.genome.CDS.1579,group03099
acMicro-4.genome.CDS.1671,group00608
acMicro-4.genome.CDS.1670,group00442
acMicro-4.genome.CDS.1673,group06500
acMicro-4.genome.CDS.1672,group00372
acMicro-4.genome.CDS.1572,group03104
acMicro-4.genome.CDS.1573,group02111
acMicro-4.genome.CDS.1570,group02594
acMicro-4.genome.CDS.1571,group02376
acMicro-4.genome.CDS.1679,group01391
acMicro-4.genome.CDS.1422,group00384
acMicro-4.genome.CDS.1574,group00049
acMicro-4.genome.CDS.1575,group00010
acMicro-4.genome.CDS.1176,group00408
acMicro-4.genome.CDS.1730,group00374
acMicro-4.genome.CDS.1174,group00507
acMicro-4.genome.CDS.1423,group01945
acMicro-4.genome.CDS.1172,group00269
acMicro-4.genome.CDS.1173,group00506
acMicro-4.genome.CDS.1170,group00731
acMicro-4.genome.CDS.1731,group00017
acMicro-4.genome.CDS.1178,group00272
acMicro-4.genome.CDS.1179,group00443
acMicro-4.genome.CDS.2119,group05201
acMicro-4.genome.CDS.2118,group00036
acMicro-4.genome.CDS.1680,group00781
acMicro-4.genome.CDS.2110,group00418
acMicro-4.genome.CDS.1682,group00632
acMicro-4.genome.CDS.2112,group01669
acMicro-4.genome.CDS.2115,group06455
acMicro-4.genome.CDS.2114,group06456
acMicro-4.genome.CDS.2117,group03595
acMicro-4.genome.CDS.2116,group00954
acMicro-4.genome.CDS.1448,group00414
acMicro-4.genome.CDS.1539,group00834
acMicro-4.genome.CDS.189,group00566
acMicro-4.genome.CDS.2174,group00565
acMicro-4.genome.CDS.1737,group00770
acMicro-4.genome.CDS.1708,group00249
acMicro-4.genome.CDS.1964,group03787
acMicro-4.genome.CDS.1701,group06439
acMicro-4.genome.CDS.1700,group06434
acMicro-4.genome.CDS.1703,group06437
acMicro-4.genome.CDS.1702,group06438
acMicro-4.genome.CDS.1705,group00607
acMicro-4.genome.CDS.1704,group00477
acMicro-4.genome.CDS.1131,group00855
acMicro-4.genome.CDS.1706,group00218
acMicro-4.genome.CDS.2137,group00382
acMicro-4.genome.CDS.1778,group00110
acMicro-4.genome.CDS.1779,group00601
acMicro-4.genome.CDS.1379,group00172
acMicro-4.genome.CDS.1774,group00125
acMicro-4.genome.CDS.1775,group00479
acMicro-4.genome.CDS.1776,group00120
acMicro-4.genome.CDS.1777,group00040
acMicro-4.genome.CDS.1770,group00041
acMicro-4.genome.CDS.1771,group00294
acMicro-4.genome.CDS.1772,group00166
acMicro-4.genome.CDS.1773,group02119
acMicro-4.genome.CDS.2072,group00656
acMicro-4.genome.CDS.2073,group01673
acMicro-4.genome.CDS.2070,group02280
acMicro-4.genome.CDS.2071,group00495
acMicro-4.genome.CDS.2076,group00516
acMicro-4.genome.CDS.2077,group00634
acMicro-4.genome.CDS.2074,group00016
acMicro-4.genome.CDS.2075,group00004
acMicro-4.genome.CDS.1578,group01485
acMicro-4.genome.CDS.2078,group00014
acMicro-4.genome.CDS.2079,group00612
acMicro-4.genome.CDS.1535,group01203
acMicro-4.genome.CDS.1814,group00773
acMicro-4.genome.CDS.1824,group00238
acMicro-4.genome.CDS.1825,group00995
acMicro-4.genome.CDS.1826,group00473
acMicro-4.genome.CDS.1827,group00605
acMicro-4.genome.CDS.1820,group01009
acMicro-4.genome.CDS.1821,group00755
acMicro-4.genome.CDS.1822,group02954
acMicro-4.genome.CDS.1823,group02953
acMicro-4.genome.CDS.1828,group00660
acMicro-4.genome.CDS.1829,group00641
acMicro-4.genome.CDS.1373,group00072
acMicro-4.genome.CDS.1568,group00524
acMicro-4.genome.CDS.2109,group00528
acMicro-4.genome.CDS.2201,group00559
acMicro-4.genome.CDS.1132,group00305
acMicro-4.genome.CDS.2203,group06473
acMicro-4.genome.CDS.2202,group06474
acMicro-4.genome.CDS.2205,group00156
acMicro-4.genome.CDS.2204,group06472
acMicro-4.genome.CDS.2207,group00292
acMicro-4.genome.CDS.2206,group00124
acMicro-4.genome.CDS.2209,group03805
acMicro-4.genome.CDS.1819,group00676
acMicro-4.genome.CDS.1646,group00106
acMicro-4.genome.CDS.1818,group01185
acMicro-4.genome.CDS.1851,group00635
acMicro-4.genome.CDS.1850,group00795
acMicro-4.genome.CDS.1853,group03814
acMicro-4.genome.CDS.397,group00121
acMicro-4.genome.CDS.1855,group00664
acMicro-4.genome.CDS.1854,group04100
acMicro-4.genome.CDS.1857,group03964
acMicro-4.genome.CDS.1856,group01341
acMicro-4.genome.CDS.1859,group06469
acMicro-4.genome.CDS.1858,group06470
acMicro-4.genome.CDS.1953,group00432
acMicro-4.genome.CDS.1137,group00578
acMicro-4.genome.CDS.1918,group00427
acMicro-4.genome.CDS.1919,group00469
acMicro-4.genome.CDS.1134,group00135
acMicro-4.genome.CDS.1609,group00693
acMicro-4.genome.CDS.1911,group03786
acMicro-4.genome.CDS.1912,group00685
acMicro-4.genome.CDS.1643,group05599
acMicro-4.genome.CDS.1914,group03272
acMicro-4.genome.CDS.1915,group03273
acMicro-4.genome.CDS.1916,group03274
acMicro-4.genome.CDS.1917,group02118
acMicro-4.genome.CDS.1257,group00806
acMicro-4.genome.CDS.1256,group02696
acMicro-4.genome.CDS.1255,group02665
acMicro-4.genome.CDS.1254,group02666
acMicro-4.genome.CDS.1253,group01459
acMicro-4.genome.CDS.1252,group04950
acMicro-4.genome.CDS.1251,group04223
acMicro-4.genome.CDS.1250,group03299
acMicro-4.genome.CDS.1811,group00950
acMicro-4.genome.CDS.1259,group01027
acMicro-4.genome.CDS.1258,group03516
acMicro-4.genome.CDS.852,group00981
acMicro-4.genome.CDS.1318,group02451
acMicro-4.genome.CDS.1319,group04103
acMicro-4.genome.CDS.1316,group03114
acMicro-4.genome.CDS.1317,group05264
acMicro-4.genome.CDS.990,group00069
acMicro-4.genome.CDS.1315,group05331
acMicro-4.genome.CDS.1312,group00012
acMicro-4.genome.CDS.1313,group00882
acMicro-4.genome.CDS.1310,group00453
acMicro-4.genome.CDS.1311,group00471
acMicro-4.genome.CDS.1697,group00032
acMicro-4.genome.CDS.1684,group05605
acMicro-4.genome.CDS.860,group00561
acMicro-4.genome.CDS.1696,group00255
acMicro-4.genome.CDS.1167,group00012
acMicro-4.genome.CDS.1536,group05595
acMicro-4.genome.CDS.1537,group00302
acMicro-4.genome.CDS.1534,group06491
acMicro-4.genome.CDS.1694,group00723
acMicro-4.genome.CDS.1532,group00959
acMicro-4.genome.CDS.1896,group00935
acMicro-4.genome.CDS.1530,group00079
acMicro-4.genome.CDS.1531,group00563
acMicro-4.genome.CDS.1161,group02274
acMicro-4.genome.CDS.1242,group00368
acMicro-4.genome.CDS.1538,group00178
acMicro-4.genome.CDS.1692,group00662
acMicro-4.genome.CDS.1402,group00721
acMicro-4.genome.CDS.1403,group00695
acMicro-4.genome.CDS.1401,group00416
acMicro-4.genome.CDS.1406,group01770
acMicro-4.genome.CDS.1691,group00540
acMicro-4.genome.CDS.1404,group00406
acMicro-4.genome.CDS.1405,group00481
acMicro-4.genome.CDS.1408,group00228
acMicro-4.genome.CDS.1409,group00518
acMicro-4.genome.CDS.1245,group00401
acMicro-4.genome.CDS.2155,group00730
acMicro-4.genome.CDS.2154,group06447
acMicro-4.genome.CDS.1039,group06448
acMicro-4.genome.CDS.2156,group01306
acMicro-4.genome.CDS.2151,group03894
acMicro-4.genome.CDS.2150,group00149
acMicro-4.genome.CDS.2153,group03518
acMicro-4.genome.CDS.1515,group00306
acMicro-4.genome.CDS.2159,group03949
acMicro-4.genome.CDS.2158,group04700
acMicro-4.genome.CDS.1034,group06450
acMicro-4.genome.CDS.2038,group00874
acMicro-4.genome.CDS.2039,group00873
acMicro-4.genome.CDS.2036,group00792
acMicro-4.genome.CDS.1169,group00471
acMicro-4.genome.CDS.2034,group00862
acMicro-4.genome.CDS.2035,group00848
acMicro-4.genome.CDS.2032,group00920
acMicro-4.genome.CDS.2033,group00886
acMicro-4.genome.CDS.2030,group00922
acMicro-4.genome.CDS.1511,group00362
acMicro-4.genome.CDS.1745,group03797
acMicro-4.genome.CDS.1744,group00577
acMicro-4.genome.CDS.1628,group00467
acMicro-4.genome.CDS.1629,group03592
acMicro-4.genome.CDS.1640,group06496
acMicro-4.genome.CDS.1740,group00691
acMicro-4.genome.CDS.1743,group01012
acMicro-4.genome.CDS.1559,group06487
acMicro-4.genome.CDS.1622,group05597
acMicro-4.genome.CDS.1623,group00796
acMicro-4.genome.CDS.1698,group06435
acMicro-4.genome.CDS.1749,group00181
acMicro-4.genome.CDS.1627,group00631
acMicro-4.genome.CDS.1624,group00687
acMicro-4.genome.CDS.1625,group03378
acMicro-4.genome.CDS.1957,group03807
acMicro-4.genome.CDS.1109,group00808
acMicro-4.genome.CDS.1123,group00345
acMicro-4.genome.CDS.1121,group05584
acMicro-4.genome.CDS.1758,group00213
acMicro-4.genome.CDS.1580,group01445
acMicro-4.genome.CDS.1735,group00113
acMicro-4.genome.CDS.2135,group00948
acMicro-4.genome.CDS.1323,group00530
acMicro-4.genome.CDS.2089,group00751
acMicro-4.genome.CDS.2088,group02691
acMicro-4.genome.CDS.2083,group00649
acMicro-4.genome.CDS.2082,group00361
acMicro-4.genome.CDS.2081,group03445
acMicro-4.genome.CDS.2080,group03528
acMicro-4.genome.CDS.2087,group00152
acMicro-4.genome.CDS.2086,group00060
acMicro-4.genome.CDS.2085,group00057
acMicro-4.genome.CDS.1921,group00489
acMicro-4.genome.CDS.1577,group00540
acMicro-4.genome.CDS.1920,group00733
acMicro-4.genome.CDS.1124,group00346
acMicro-4.genome.CDS.1923,group01342
acMicro-4.genome.CDS.1954,group01198
acMicro-4.genome.CDS.1955,group01247
